ACCE_ABSORB_COST	Kombinations omkostninger: %d
GUILD_BANKINFO_CLOSE	Luk
GUILD_BANKINFO_NAME	Medlem
GUILD_BANKINFO_TYPE	Genstand/Valuta
GUILD_BANKINFO_USETYPE	Handling
GUILD_BANK_CLOSE	Luk
GUILD_BANK_INFO	Ordens Lagerhus Historik
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Du har registreret dig til Ordens Kampen med succes.
GUILD_BATTLE_AREA_INFO_TEXT	Resterende tid: %s\nResterende monstre (%d/61)\nBlå: (%s) Gul: (%s) Grøn: (%s) Rød: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Monstrene bliver angrebet i %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Du kan ikke deltage i Ordens Kampen denne gang, da alle pladserne er fyldte. Prøv igen næste gang!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Du kan ikke deltage endnu. Resterende tid: %d minutter.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Du kan kun komme ind fra den første landsby eller Dong Gwang Almindelig.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Ikke i stand til at finde en passende udfordrer til din orden. Prøv venligst igen næste gang.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Der er ikke nok plads i din inventar.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Du opfylder ikke alle kravene til at deltage i Ordens Kampen.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Du kan ikke komme ind til denne zone, da den allerede er blevet erobret af en anden orden.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Du kan kun bruge det så snart zonen er blevet erobret af din orden.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Kun ordens lederen kan bruge denne genstand.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Du kan ikke bruge Ordens Kamp Billetten.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Det er allerede blevet brugt, og kan ikke blive brugt igen.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Du skal vente indtil mindst 2 andre ordener deltager.
GUILD_BATTLE_DEAD_TO_PLAYER	Du blev dræbt af et medlem af %s ordenen.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	Fra %s har du modtaget %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Ordens Kampen starter om %d minutter. Du er registreret til at deltage. Gør dig klar og giv den dit bedste!
GUILD_BATTLE_END_MESSAGE	Ordens Kampen er slut.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Ordens Kampen slutter om %d minutter.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Du er kommet ind til %s. Besejr alle monstrene!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Træd ind
GUILD_BATTLE_ENTER_MESSAGE	Du vil blive registreret til Ordens Kampen om et kort øjeblik.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Du er kommet ind til %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Du er et medlem af det blå hold. Brug portalen til at komme ind til Ordens Kamp zonen.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Du er et medlem af det grønne hold. Brug portalen til at komme ind til Ordens Kamp zonen.
GUILD_BATTLE_ENTER_OUTPOST_RED	Du er et medlem af det røde hold. Brug portalen til at komme ind til Ordens Kamp zonen.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Du er et medlem af det gule hold. Brug portalen til at komme ind til Ordens Kamp zonen.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Du har modtaget en ordens belønning. Du kan finde den i dit inventar.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Du har modtaget en buff belønning! Tjek buff ikonet for at læse mere.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Indsaml Ordens Belønning
GUILD_BATTLE_LIST_REMAIN_TIME	Resterende tid: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s dræbte %d monstre.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Du har ikke en Sejrens Nøgle til at åbne kisten. Besejr monstre for at finde en nøgle.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Lav noget plads i dit inventar og prøv igen.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Du har ikke en Ordens Portal Billet.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Du kan ikke deltage endnu, da din orden kun blev grundlagt indenfor de sidste 24 timer.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Zonen er blevet erobret. En portal vil komme frem om et kort øjeblik, og monstrene vil komme frem for at forsvare zonen.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s er blevet erobret. En portal vil komme frem om et kort øjeblik, og monstrene vil komme frem for at forsvare zonen.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Denne zone er allerede blevet erobret af en anden orden. Du vil blive teleporteret tilbage til Ordens Forposten om et kort øjeblik.
GUILD_BATTLE_ONGOING	Kamp i Gang
GUILD_BATTLE_OPEN_REWARD_BOX	Ønsker du at åbne %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	De andre ordner kæmper allerede.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Resterende tid: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Er betingelserne opfyldt?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Kampen begynder om: %s
GUILD_BATTLE_PERSONAL_BUFF	Belønnings Buff
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Modtag Belønnings Buff
GUILD_BATTLE_PK_GUILD_MESSAGE	%s dræbte %d spillere fra andre ordener.
GUILD_BATTLE_PLAYER_KILL	Du har dræbt et medlem af %s ordenen.
GUILD_BATTLE_QUALIFICATION	Besejr Drage Kongen eller brug en\nOrdens Kamp Billet for at deltage.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Prøv venligst igen.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Du vil blive teleporteret om %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Du er blevet genopstået med Ordens Genopstandelse.
GUILD_BATTLE_START_MESSAGE	Ordens Kampen er begyndt! Deltag i udfordringen ved at klikke på Træd ind knappen i Ordens Kamp menuen!
GUILD_BATTLE_STATUS_BOARD_PK	DS: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Blå
GUILD_BATTLE_TEAM_NAME_GREEN	Grøn
GUILD_BATTLE_TEAM_NAME_RED	Rød
GUILD_BATTLE_TEAM_NAME_YELLOW	Gul
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Du har brugt Ordens Portal Billetten og vil blive teleporteret til %s om et kort øjeblik.
GUILD_BATTLE_USE_SCROLL	Ønsker du at deltage i Ordens Kampen?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Din registrering til Ordens Kampen blev annulleret.
GUILD_BOARD_ID	Medlem
GUILD_BOARD_TEXT	Besked
GUILD_BUILDING_CATEGORY_ALTAR	Alter
GUILD_BUILDING_CATEGORY_SMELT	Forædlings Bygninger
GUILD_BUILDING_CATEGORY_SPECIAL	Helligdomme
GUILD_BUILDING_CATEGORY_STORAGE	Ordens Lagerhus
GUILD_BUILDING_FIX_CHANGE	Er du sikker på du vil skifte placering
GUILD_BUILDING_FIX_CHANGE_GOLD	Pris: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Er du sikker på at du vil slette objektet?
GUILD_BUILDING_FIX_NEED_BUILDING	Ingen bygning til stede.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Du kunne ikke investere i denne bygning, da den blev ændret.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Bygnings EXP
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Invester Bygnings EXP
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Der er ikke nok plads i dit inventar til at modtage Speciel Bygnings Billet.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Du har allerede opbrugt alle dine investerings muligheder.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Du mangler %s genstande.
GUILD_BUILDING_INVEST_QUESTION	Ønsker du at investere 1 %s i %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s har nået level %s.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Denne bygning har allerede nået sit maksimale level og kan ikke blive opgraderet yderligere.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Du har brugt en %s til at investere i %s (%s EXP).
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Ordens level er ikke høj nok til at opgradere denne bygning yderligere. Øg din ordens level først.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Landskab
GUILD_BUILDING_LOG_PLUS	Træstamme+
GUILD_BUILDING_NAME	Bygningsnavn
GUILD_BUILDING_PLY_PLUS	Krydsfiner+
GUILD_BUILDING_SMELT_STONE	Runesten
GUILD_BUILDING_STONE_PLUS	Fundamentsten+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Du har ikke tilladelse til at bruge denne genstand.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Forbedrings Bygninger
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Forædlings Bygninger
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Helligdomme
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Luk
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Navn
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Bygnings Type
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Beløb Modtaget
GUILD_CANNOT_HEAL_GSP_ANYMORE	Drageånd er allerede fyldt.
GUILD_CHANGEMASTER_TEXT1	Ny leder vil være: %s
GUILD_CHANGEMASTER_TEXT2	Kunne du tænke dig at udpege en ny ordens leder?
GUILD_CHANGEMASTER_TEXT3	Er du sikker på at du ønsker at give
GUILD_CHANGEMASTER_TEXT4	ordens leder positionen videre?
GUILD_COMMENT	Skriv
GUILD_CONTENTS_ONGOING	Kamp i Gang
GUILD_CREATE_ERROR_INSULT_NAME	Ordensnavnet er ikke tilladt.
GUILD_DEFAULT_GRADE	Ordensmedlemmer
GUILD_DELETE	Slet
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	EXP Brugt
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Min. Beløb: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Der er ingen erfaring der kan bruges.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Ikke nok erfaring.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Ikke nok Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Nødvendig mængde
GUILD_DEPOSIT	Deponere
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Du kan ikke forlade ordenen nu, da du er i kamp.
GUILD_DISBAND_SUCCESS_MESSAGE	Ordenen er blevet opløst.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Du har ikke nok Store Donations Billetter.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Dit inventar er fyldt. Du kan ikke donere.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Du skal have nået op på level 30 for at kunne donere.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Du har ikke nok Mellem Donations Billetter.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Ikke nok Yang.
GUILD_DONATE_FAIL_TIME	Du kan ikke donere i 24 timer efter du kommer med i ordenen.
GUILD_DONATE_QUESTION_HIGH	Ønsker du at lave en Stor Donation?
GUILD_DONATE_QUESTION_MIDDLE	Ønsker du at lave en Mellem Donation?
GUILD_DONATE_QUESTION_NORMAL	Ønsker du at lave en Lille Donation?
GUILD_DO_YOU_HEAL_GSP	Vil du bruge %d Yang for at reproducere %d stykker drageånd?
GUILD_DO_YOU_JOIN	 har inviteret dig. Vil du tilslutte dig ordenen?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Samlede Rangliste: Meleys Grotte
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Samlede Rangliste: Balathor's Krypt
GUILD_DRAGONLAIR_PARTY_ALL	Samlede Rangliste
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11 Plads og Mindre: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Hjælp
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1 Plads: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10 Plads: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3 Plads: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Medlemmer
GUILD_DRAGONLAIR_PARTY_NOW	Ugentlig Rangliste
GUILD_DRAGONLAIR_PARTY_PAST	Forrige Rangliste
GUILD_DRAGONLAIR_PARTY_TIME	Tid
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Belønning
GUILD_DRAGONLAIR_RANKING_FAIL	MISLYKKEDES
GUILD_DRAGONLAIR_RANKING_NONE	NY
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCES
GUILD_DRAGONLAIR_SECOND	sek.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Nuværende Rangliste: Meleys Grotte
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Nuværende Rangliste: Balathor's Krypt
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Du har tilmeldt dig til Balathor's Krypt. Snak med Drage Vogter Dolnarr for at komme ind. Efter det, har du 10 minutter til at starte kampen.
GUILD_DRAGON_LAIR_DUNGEON_START	Kampen for Balathor's Krypt er begyndt. Tidsgrænsen i fangehullet er en time.
GUILD_EMPTY_AREA	Tomt areal
GUILD_ENEMY_GUILD_NAME	Fjendens Ordensnavn
GUILD_FACILITY	Sidebygning
GUILD_GEM	Ædelsten
GUILD_HEADQUARTER	Hovedbygning
GUILD_HEAL_GSP	Gendan drageånd.
GUILD_INFO_ENEMY_GUILD_EMPTY	Ingen
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	Ordens området kan findes i %s på koordinaterne %d, %d.
GUILD_LAND_TEXT	Ordens Område
GUILD_MARK_NOT_ENOUGH_LEVEL	Level skal minimum være 3
GUILD_MARK_UPLOAD_NOTICE	Vent venligst et øjeblik så du kan tilføje ordens logoer.
GUILD_MEMBEROUT_AUTH	Du kan ikke fjerne nogen medlemmer.
GUILD_MEMBEROUT_NOMAL	Ønsker du at fjerne dette medlem?
GUILD_MEMBER_JOB	Karakterklasse
GUILD_MEMBER_KNIGHT	Krigsdeltager
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Medlem
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Donéret EXP
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Tilgængelig fra ordens level 21.
GUILD_NAME	Ordensnavn
GUILD_NOT_ENOUGH_MATERIAL	Du har ikke materialer nok til denne bygningen.
GUILD_NOT_ENOUGH_MONEY	Du har ikke Yang nok til denne bygningen.
GUILD_NO_NOTICE_PERMISSION	Du har ingen rettigheder til bekendtgørelser.
GUILD_OBJECT	Objekter
GUILD_OBJECT_POSSIBLE_NEWWORLD	Denne bygning er kun tilgængelig på Yohara kontinentet.
GUILD_OFFER_EXP	Investere erfaring
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Rangliste Belønninger:\n1.: Flammende Sejrherre titel og Magma Drage (5 Dage)\n2.: Magma Drage (3 Dage)\n3.: Magma Drage (1 Dag)
GUILD_SELECT_ONE	Vælg et ordens medlem.
GUILD_SHORT_EXP	Ikke nok erfaring.
GUILD_SITE_AUCTION_END_TIME	Territorie Auktion: %02d/%02d (måned/dag) kl. %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Territorie auktion: N/A
GUILD_SITE_AUCTION_INFO	Territoriet bliver tilbudt: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Territoriet bliver tilbudt: N/A
GUILD_SITE_AUCTION_MAP_INFO	Dato (måned/dag): %02d/%02d; Tid: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Alle bud er blevet indsendt.
GUILD_SITE_AUCTION_STATE_REGIST	Om %s, bliver territoriet på %s,%s auktioneret. Kun ordens lederne kan registrere sig til territorie auktionen.
GUILD_SITE_AUCTION_STATE_RUN	Territorie auktionen slutter den %02d/%02d (måned/dag) kl. %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Territorie auktionen starter den %02d/%02d (måned/dag) kl. %02d:%02d for %s, territorie %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Automatisk Forladelse af Territoriet: %s
GUILD_SITE_TAX_INFO	Ordens området vil blive forladt om %s. Alle genstande i ordens lagerhuset vil blive slettet.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Modtag Buff
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Du har ikke nok Specielle Bygnings Billetter.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Du har ikke nok Yang.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Ønsker du at modtage buffs? Skulle de samme effekter blive anvendt, vil kun den højere værdi tælle.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Du kan udskifte den nuværende buff liste om til en ny en for de tilhørende omkostninger.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	Buff listen er blevet udskiftet.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	Tilkaldelses listen er blevet udskiftet.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Du har ikke nok Specielle Bygnings Billetter.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Du har ikke nok Yang.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Ønsker du at tilkalde monstre?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Du kan udskifte den nuværende tilkaldelses liste om til en ny en for de tilhørende omkostninger.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Tilkald
GUILD_TILE_BASEINFO	Område Informationer
GUILD_TILE_BOARD	Ordens Meddelelser
GUILD_TILE_GRADE	Forvaltning af rettigheder
GUILD_TILE_GUILD_BATTLE	Ordens Kamp
GUILD_TILE_GUILD_CONTENTS_LIST	Ordens Kamp
GUILD_TILE_INFO	Ordensinformationer
GUILD_TILE_MEMBER	Medlem
GUILD_TILE_SKILL	Ordensfærdigheder
GUILD_USE_MASTER_ONLY	Kun ordenslederen har denne rettighed.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Ordenskrigs område
GUILD_WAR2	Ordenskrigs område
GUILD_WAR3	Ordenskrigs område
GUILD_WAR4	Ordenskrigs område
GUILD_WAR_GAINSCORE_FIFTY	50 point
GUILD_WAR_GAINSCORE_HUNDRED	100 point
GUILD_WAR_GAINSCORE_THIRTY	30 point
GUILD_WAR_GAMETIME_SIXTY	60 minutter
GUILD_WAR_GAMETIME_TEN	10 minutter
GUILD_WAR_GAMETIME_THIRTY	30 minutter
GUILD_WAR_LIMIT_30MIN	Tid: 30 Minutter
GUILD_WAR_REWARD_POTION	Belønning: Vinderen får eliksirer.
GUILD_WAR_SELECT_WAR	Vælg type
GUILD_WAR_TYPE_DEFENSE	Skjold Kamp
GUILD_WAR_TYPE_DIE	Arena Kamp
GUILD_WAR_TYPE_FLAG	Fang Flaget
GUILD_WAR_TYPE_NORMAL	Kampfelt
GUILD_WAR_TYPE_TIGER	Udslettelse
GUILD_WAR_TYPE_TIME	Tids Angreb
GUILD_WAR_USE_BATTLE_MAP	Sted: Ordenskrig Arena
GUILD_WAR_USE_NORMAL_MAP	Sted: Normal kort
GUILD_WAR_WIN_CHECK_SCORE	Højest resultat vinder krigen.
GUILD_WAR_WIN_FIVE	5 runder
GUILD_WAR_WIN_ONE	1 runde
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Få fat i fjendens flag
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	og bring det til din base.
GUILD_WAR_WIN_THREE	3 runder
GUILD_WAR_WIN_WIPE_OUT_GUILD	Besejre alle fjender for at vinde.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Rangliste Belønninger:\n1.: Arktisk Dommer titel og Balathor's Isvinge (5 Dage)\n2.: Balathor's Isvinge (3 Dage)\n3.: Balathor's Isvinge (1 Dag)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Effekterne er allerede aktive.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Du kan kun bruge det i Balathor's Krypt.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Du skal flytte det Flammende Drage Æg i den anden retning.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	Hwachaen er klar til at blive affyret!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Koncentrere dig om det Frossende Drage Æg før den forsvinder om %d sekunder.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Du har afværget det iskolde med succes.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Balathor's brøl ryster krypten.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Balathor har mistet synet af hans Drage Æg. Nu bliver han sur!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Balathor har hans Drage Æg igen. Han vil være forsigtig med at ikke at bruge hans fulde kraft.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Din gennemførelse af Balathor's Krypt mislykkedes. Du vil blive teleporteret ud om 5 minutter.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	Du vil blive teleporteret ud om 3 minutter. Du kan snakke med Drage Vogter Dolnarr for at forlade fangehullet med det samme.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Du kan ikke indlæse flere pile.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	Balathor's segl er blevet svækket meget, da et Drage Æg er blevet ødelagt.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	En helts død har svækket Balathor's segl.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Balathor's segl er blevet svækket, da nogen er blevet frosset.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Ødelæg Ældgamle Is Krystaller for at få Ildpile.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Ødelæg det Frossende Drage Æg hurtigt!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	Om 10 sekunder, vil Balathor's Drage Æg komme frem og du kan påbegynde et målrettet angreb.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor flygter og efterlader hans skat.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Du vil få brug for mere skade til det næste angreb.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Et af Balathor's Drage Æg tilkalder iskold! Fokuser dine angreb for at stoppe den.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Du har annulleret dit forsøg på at mestre Balathor's Krypt. Du vil blive teleporteret ud om 1 minut.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	Hwachaen er i øjeblikket ladt med %d Ildpile.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Resterende tid: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	Du vil blive teleporteret ud om %d minutter. Du kan snakke med Drage Vogter Dolnarr for at forlade fangehullet med det samme.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Du kan indsamle din belønning fra Balathor's Skat. Du vil blive teleporteret ud om 5 minutter.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	Et Flammende Drage Æg er kommet frem.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Du har ikke nok Dragegudens Magt.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Ødelæg æggene for at påføre skade!
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	Balathor's Drage Æg kommer frem igen på dens oprindelige placering.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	Hwachaen kan ikke blive ladt før den er blevet repareret.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	Hwachaen er nu fuldt repareret.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Balathor så et Drage Æg blive ødelagt. Undgå hans isende ånde!
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Resterende
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	Chancer: %d
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_TOOLTIP	Hvis %d Flammende Drage Æg bliver ødelagt, mislykkes fangehuls forsøget.
GUILD_WHITE_DRAGON_LAIR_UI_FLYING_FLMAE_BREATH_TOOLTIP	Hvis seglet mislykkes 100%%, vil Balathor rette sit dødbringende blik på dig. (Nuværende segl svaghed: %d%%)
GUILD_WHITE_DRAGON_LAIR_UI_HIDDEN_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_NAME_TOOLTIP	Hwacha
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_TOOLTIP	Så snart 8 pile bliver ladt, kan Balathor's skala rustning blive ødelagt. Ildpile kan blive erhvervet fra Ældgamle Is Krystaller. Ladt i øjeblikket: %d
GUILD_WITHDRAW	Tilbagetræk
