ACCE_ABSORB_COST	Combinatiekosten: %d
GEM_SYSTEM_ADD_SLOT	Vereist item: %s.\nWil je er %d van gebruiken om een extra plaats te ontgrendelen?
GEM_SYSTEM_BUY_ITEM	Wil je dit item kopen?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Je hebt niet genoeg Ververs Gaya Markt-items.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Je hebt niet genoeg Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Er kunnen geen plaatsen meer ontgrendeld worden.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Open eerst de Gaya Markt.
GEM_SYSTEM_PICK_GEM	Je hebt %s Gaya ontvangen.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Wil je de shop verversen?
GEM_USE_GEM	%s Gaya is in mindering gebracht.
GIVEUP_QUESTION	Wil je echt opgeven?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Het evenement is voorbij. Je kunt dit item niet gebruiken.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Je kunt dit niet gebruiken zodra er een Bommentoren geactiveerd is.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Je hebt alle Goudbesvakjes gevonden! Je ontvangt je beloningen via de post.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Je hebt een Goudbesvakje gevonden!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Het ziet ernaar uit dat dit geen Goudbesvakje was.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Je hebt niet genoeg Goudbessen.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	Je bent nu Bomvrij en bent beschermd tegen de volgende Bommentoren.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	De Bomvrij-buff heeft je beschermd en is nu opgebruikt. Bommentorens kunnen je weer schade toebrengen.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Je wordt naar het volgende niveau geteleporteerd.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Je kunt slechts %d minuten in het Land van Goud verblijven.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	De Primordis Expeditie is voorbij.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	De Primordis Expeditie is begonnen! Versla de Primordis Wachter en reis af naar het Land van Goud!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Je kunt items kopen van de Caravaan Handelaar.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Je wordt naar de oase geteleporteerd.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Primordis Standbeelden verschijnen over 10 seconden.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Je kunt dit item niet gebruiken omdat je level te laag is.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Je hebt dat al gereset.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Je hebt geen Primordis Reset.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Jouw toegangen en het speelbord zijn gereset.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Er is niet genoeg ruimte in je inventaris.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Je hebt niet genoeg Bitterbessen.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Je kunt geen Goudbessen meer kopen omdat je al de maximale hoeveelheid in bezit hebt.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Je ontvangt %d Bitterbessen.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Je ontvangt %d Bitterbessen. (Je hebt %d.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Je ontvangt %d Goudbessen.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Wil je een vakje onthullen voor %d Goudbessen?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Als je dit gebruikt worden je toegangen voor het Land van Goud en jouw speelbord van Goudbesjacht gereset. Wil je doorgaan?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Resterende Bommentorens: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Resterende Primordis Standbeelden: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Wil je deze plek verlaten? Je kunt niet opnieuw naar binnen.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Je hebt je beloning nog niet opgehaald.\nWeet je zeker dat je deze plaats wilt verlaten? Je kunt niet opnieuw naar binnen.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Verlaten
GUILDBANK_CLEARBANK	Waarschuwing: Het Gilde Warenhuis moet geleegd worden!
GUILDBANK_DONT_MONEY_OUT	Je hebt geen Yang op de gildebank staan!
GUILDBANK_GOLD_IN	Storting
GUILDBANK_GOLD_OUT	Opname
GUILDBANK_ITEM_IN	Opslaan
GUILDBANK_ITEM_OUT	Verwijderen
GUILDBANK_MONEYIN	Yang storten
GUILDBANK_MONEYOUT	Yang opnemen
GUILDBANK_NOTUSE	Je hebt niet de benodigde machtigingen.
GUILDBANK_NOT_ENOUGH_MONEY	Je hebt niet genoeg Yang om te storten.
GUILDBANK_OVER_INCOME	Accountlimiet bereikt.
GUILDBANK_OVER_MONEY	Het gildeaccount is vol.
GUILDLAND_ABANDON	Gilde Gebied opgeven
GUILDLAND_ABANDON_TEXT1	Wil je het gildegebied opgeven?
GUILDLAND_ABANDON_TEXT2	Weet je zeker dat je het gildegebied wilt opgeven?
GUILDLAND_ABANDON_TEXT3	Het gildewarenhuis en alle gebouwen worden verwijderd.
GUILDLAND_ACCEPT	Ja
GUILDLAND_DONTHAVE_LAND	Je bent niet in het bezit van een gildegebied.
GUILDLAND_NOT	Nee
GUILDLIST_APPLICANT	Wil je jezelf aanmelden?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Hoogte is niet 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breedte is niet 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breedte is niet 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Hoogte is niet 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Het spel ondersteunt deze afbeelding niet.
GUILDMARK_UPLOADER_ERROR_PATH	Plaats de data in de folder metin2/upload
GUILDMARK_UPLOADER_ERROR_SELECT	Geen afbeelding bestand geselecteerd.
GUILDWAR_ALL	Gevechten (G)
GUILDWAR_CTF_TITLE	Verover de Vlag
GUILDWAR_DRAW	Quitte (Q)
GUILDWAR_GAINSCORE_FIFTY	50 punten
GUILDWAR_GAINSCORE_HUNDRED	100 punten
GUILDWAR_GAINSCORE_THIRTY	30 punten
GUILDWAR_GAMETIME_SIXTY	60 minuten
GUILDWAR_GAMETIME_TEN	10 minuten
GUILDWAR_GAMETIME_THIRTY	30 minuten
GUILDWAR_INPUT_OTHERGUILD	Voer a.u.b. het tegengestelde gilde in.
GUILDWAR_LADDER	Rang Punten
GUILDWAR_LIMIT_MEMBER_FIVE	Minimaal 5 deelnemers.
GUILDWAR_LOSE	Verliezen (V)
GUILDWAR_NORMAL_TITLE	Veld Gevecht
GUILDWAR_OVER_MEMBERCOUNT	Je hebt de deelnemerslimiet bereikt.
GUILDWAR_QUESTION_LINE_1	De %s Gilde heeft de oorlog verklaard aan jouw Gilde.
GUILDWAR_QUESTION_LINE_2	Accepteren?(%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d G, %d O, %d V, %d Q
GUILDWAR_SELECT_MEMBER_COUNT	Kies het aantal deelnemers.
GUILDWAR_TYPE_DEFENSE	Schild Gevecht
GUILDWAR_TYPE_TIGER	Vernietiging
GUILDWAR_TYPE_TIME	Tijd Aanval
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Gilde theater van Oorlog
GUILDWAR_WIN	Overwinningen (O)
GUILDWAR_WIN_FIVE	5 ronden
GUILDWAR_WIN_ONE	1 ronde
GUILDWAR_WIN_THREE	3 ronden
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	Huidig ERV/Max. ERV (Max: Level %d)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	Je kunt dit verbeteren in het gildegebied (max. level 3).
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Lvl
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	Je hebt geen gildegebied.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Gildegebiedlocatie
GUILDWINDOW_BUTTON_BANKGOLDINFO	Gilde Warenhuis Log
GUILDWINDOW_BUTTON_BASEABANDON	Gilde Gebied opgeven
GUILDWINDOW_BUTTON_BASEDEAL	Gilde Gebied verkopen
GUILDWINDOW_BUTTON_BOARD	Gilde Berichten
GUILDWINDOW_BUTTON_BUILDING_USE_COST_LOG_BUTTON	Gebruikskostenoverzicht
GUILDWINDOW_BUTTON_CHANGEMASTER	Gilde Leider veranderen
GUILDWINDOW_BUTTON_DECLARE	Oorlog verklaren
GUILDWINDOW_BUTTON_DONATE	Doneren
GUILDWINDOW_BUTTON_GOLDIN	Storting
GUILDWINDOW_BUTTON_GOLDOUT	Opname
GUILDWINDOW_BUTTON_GRADE	Machtigingen beheren
GUILDWINDOW_BUTTON_GUILDLIST	Gilde Lijst
GUILDWINDOW_BUTTON_GUILD_BATTLE	Gildegevecht
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Terug naar het Gildegevecht-venster
GUILDWINDOW_BUTTON_HEALGSP	Herstel Draken God Kracht
GUILDWINDOW_BUTTON_INFO	Gilde Informatie
GUILDWINDOW_BUTTON_LANDINFO	Gebied Informatie
GUILDWINDOW_BUTTON_MARK	Gilde Embleem uploaden
GUILDWINDOW_BUTTON_MEMBER	Lid
GUILDWINDOW_BUTTON_OFFER	ERV doneren
GUILDWINDOW_BUTTON_OUTMEMBER	Lid verwijderen
GUILDWINDOW_BUTTON_SKILL	Gilde Vaardigheden
GUILDWINDOW_BUTTON_SYMBOL	Gilde Vlag uploaden
GUILDWINDOW_BUY_GUILD_LAND	Land kopen
GUILDWINDOW_CHANGE_BLACKSMITH	Beroep Wijzigen
GUILDWINDOW_CHANGE_OBJECT	Reconstructie
GUILDWINDOW_CHANGE_SMELTER	Oven veranderen
GUILDWINDOW_CHANGE_SPECIAL_BUILDING	Altaarwijzigingen
GUILDWINDOW_CREATE_OBJECT	Constructie
GUILDWINDOW_DEAL_GUILD_LAND	Land verkopen
GUILDWINDOW_GRADE_BANK	Mag gildebank en warenhuis gebruiken
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Mag leden verwijderen uit het gilde
GUILDWINDOW_GRADE_GRADENAME	Rang Naam
GUILDWINDOW_GRADE_GRADENUMBER	Rang Nummer
GUILDWINDOW_GRADE_GUILDWAR	Mag leden selecteren als strijders
GUILDWINDOW_GRADE_INVITEAUTHORITY	Mag spelers accepteren voor gilde
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Mag gildeberichten opstellen
GUILDWINDOW_GRADE_SKILLAUTHORITY	Mag gildevaardigheden gebruiken
GUILDWINDOW_INFO_LEVEL5	+5% ERV naar gildedonaties
GUILDWINDOW_INFO_LEVEL10	Verhoogd max. ledenaantal
GUILDWINDOW_INFO_LEVEL15	Kostenred.: Draken God Kr.
GUILDWINDOW_INFO_LEVEL20	Bank: Belastingvrijstelling
GUILDWINDOW_INFO_LEVEL25	+10% ERV voor gebouwen
GUILDWINDOW_INFO_LEVEL30	-10% huur
GUILDWINDOW_INFO_LEVEL35	-15% huur
GUILDWINDOW_INFO_LEVEL40	-20% huur
GUILDWINDOW_INFO_LEVEL_TEXT	Gildelevel %d
GUILDWINDOW_LAND_BUY	Land kopen
GUILDWINDOW_LAND_TAX	Huur
GUILDWINDOW_LIST_ALL	Alle Koninkrijken
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilde] Je hebt je al aangemeld.
GUILDWINDOW_LIST_APPLICANT_LIST	Aanmeldingenlijst
GUILDWINDOW_LIST_CHRACTER_JOB	Klasse
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Karakter Naam
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subklasse
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Lid
GUILDWINDOW_LIST_GUILD_LIST	Gilde Lijst
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Gilde
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilde] Vul a.u.b. een gildenaam in.
GUILDWINDOW_LIST_LADDER	Rang Punten
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilde] Dit gilde adverteert niet.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aanmelding
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Gilde Lijst
GUILDWINDOW_LIST_RANKING	Positie
GUILDWINDOW_LIST_RANKING_COUNT	Positie
GUILDWINDOW_LIST_REGISTER	Aanmeldingen
GUILDWINDOW_LIST_REGISTER_GUILD	Aanmelden bij gilde
GUILDWINDOW_LIST_SEARCH	Zoeken
GUILDWINDOW_LIST_SELECT_GUILD	[Gilde] Kies a.u.b. een gilde om je bij aan te melden.
GUILDWINDOW_PROMOTE_REFRESH	Adverteren
GUILDWINDOW_PROMOTE_REGISTER	Adverteren
GUILDWINDOW_REFUND_REDUCED_TAX	Gebruikskostenteruggave
GUILDWINDOW_SP_RECOVER	Draken God Kracht
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Altaar verbeteren
GUILDWINDOW_UPGRADE_GUILDBANK	Bank verbeteren
GUILD_ATTENDANCE_FAIL_ALREADY	Je hebt vandaag al deelgenomen.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Je kunt nu niet deelnemen. Deelname wordt dagelijks gereset om vijf uur 's nachts.
GUILD_BANKINFO_CLOSE	Sluiten
GUILD_BANKINFO_NAME	Lid
GUILD_BANKINFO_TYPE	Item/Valuta
GUILD_BANKINFO_USETYPE	Actie
GUILD_BANK_CLOSE	Sluiten
GUILD_BANK_INFO	Gilde Warenhuis Log
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Je hebt je succesvol ingeschreven voor het Gildegevecht.
GUILD_BATTLE_AREA_INFO_TEXT	Resterende tijd: %s\nResterende monsters (%d/61)\nBlauw: (%s) Geel: (%s) Groen: (%s) Rood: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Monsters worden aangevallen in %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Je kunt op dit moment niet meedoen aan het Gildegevecht omdat alle plaatsen al vol zijn. Probeer het de volgende keer opnieuw!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Je kunt nog niet deelnemen. Resterende tijd: %d minuten.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Je kunt alleen naar binnengaan vanuit het eerste dorp of de Dong Gwang Vlakte.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Niet gelukt om een geschikte uitdager te vinden voor jouw gilde. Probeer het de volgende keer opnieuw alsjeblieft.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Er is niet genoeg ruimte in je inventaris.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Je voldoet niet aan alle vereisten om deel te kunnen nemen aan het Gildegevecht.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Je kunt deze zone niet betreden omdat deze al veroverd is door een ander gilde.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Je kunt dat pas gebruiken zodra de zone veroverd is door jouw gilde.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Alleen de gildeleider kan dit item gebruiken.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Je kunt het Gildegevecht Ticket niet gebruiken.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Dat is al gebruikt en kan niet opnieuw gebruikt worden.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Je moet wachten tot er minimaal twee andere gildes meedoen.
GUILD_BATTLE_DEAD_TO_PLAYER	Je werd gedood door een lid van het gilde %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	Van de %s heb je ontvangen %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Het Gildegevecht start over %d minuten. Jij staat geregistreerd om deel te nemen. Maak je klaar en geef alles wat je in je hebt!
GUILD_BATTLE_END_MESSAGE	Het Gildegevecht is voorbij.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Het Gildegevecht eindigt over %d minuten.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Je bent %s binnengegaan. Versla alle monsters!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Betreden
GUILD_BATTLE_ENTER_MESSAGE	Je wordt spoedig geregistreerd voor het Gildegevecht.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Je bent %s binnengegaan.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Je bent lid van het blauwe team. Gebruik het portaal om de Gildegevecht-zone binnen te treden.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Je bent lid van het groene team. Gebruik het portaal om de Gildegevecht-zone binnen te treden.
GUILD_BATTLE_ENTER_OUTPOST_RED	Je bent lid van het rode team. Gebruik het portaal om de Gildegevecht-zone binnen te treden.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Je bent lid van het gele team. Gebruik het portaal om de Gildegevecht-zone binnen te treden.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Je hebt een gildebeloning ontvangen. Je vindt het in je inventaris.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Je hebt een buff-beloning ontvangen. Controleer het buff-icoontje om meer te weten te komen.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Gildebeloning Innen
GUILD_BATTLE_LIST_REMAIN_TIME	Resterende tijd: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s heeft %d monsters gedood.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Je hebt geen Overwinnaarssleutel om de kist te openen. Versla monsters om een sleutel te vinden.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Maak wat ruimte in je inventaris en probeer het opnieuw.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Je hebt geen Gildeportaal Ticket.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Je kunt nog niet deelnemen omdat jouw gilde pas in de afgelopen 24 uur gesticht is.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	De zone is veroverd. Er verschijnt spoedig een portaal en monsters zullen spawnen om de zone te verdedigen.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s is veroverd. Er verschijnt spoedig een portaal en monsters zullen spawnen om de zone te verdedigen.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Deze zone is al veroverd door een ander gilde. Je wordt spoedig teruggeteleporteerd naar de Gilde Voorpost.
GUILD_BATTLE_ONGOING	Gevecht in Uitvoering
GUILD_BATTLE_OPEN_REWARD_BOX	Wil je %s openen?
GUILD_BATTLE_OTHER_GUILD_ONGOING	De andere gildes zijn al aan het vechten.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Resterende tijd: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Voldoe je aan de eisen?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Het gevecht barst los over: %s
GUILD_BATTLE_PERSONAL_BUFF	Buff-beloning
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Buff-beloning Ontvangen
GUILD_BATTLE_PK_GUILD_MESSAGE	%s heeft %d spelers van andere gildes gedood.
GUILD_BATTLE_PLAYER_KILL	Je hebt een lid gedood van het gilde %s.
GUILD_BATTLE_QUALIFICATION	Versla de Drakenkoning of gebruik een\nGildegevecht Ticket om deel te nemen.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Probeer het opnieuw alsjeblieft.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Je wordt geteleporteerd over %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Je hebt opnieuw tot leven gewekt met de Gilde Respawn.
GUILD_BATTLE_START_MESSAGE	Het Gildegevecht is begonnen! Doe mee met de uitdaging door te klikken op de knop Betreden in het Gildegevecht-menu!
GUILD_BATTLE_STATUS_BOARD_PK	PK: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Blauw
GUILD_BATTLE_TEAM_NAME_GREEN	Groen
GUILD_BATTLE_TEAM_NAME_RED	Rood
GUILD_BATTLE_TEAM_NAME_YELLOW	Geel
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Je hebt het Gildeportaal Ticket gebruikt en wordt spoedig naar %s geteleporteerd.
GUILD_BATTLE_USE_SCROLL	Wil je deelnemen aan het Gildegevecht?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Jouw registratie voor het Gildegevecht werd geannulleerd.
GUILD_BOARD_ID	Lid
GUILD_BOARD_TEXT	Bericht
GUILD_BUILDING_CATEGORY_ALTAR	Altaar
GUILD_BUILDING_CATEGORY_SMELT	Verfijningsgebouwen
GUILD_BUILDING_CATEGORY_SPECIAL	Altaren
GUILD_BUILDING_CATEGORY_STORAGE	Gilde Warenhuis
GUILD_BUILDING_FIX_CHANGE	Wil je echt de positie veranderen?
GUILD_BUILDING_FIX_CHANGE_GOLD	Kosten: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Wil je het object echt verwijderen?
GUILD_BUILDING_FIX_NEED_BUILDING	Geen gebouw aanwezig.
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Je kon niet investeren in dit gebouw omdat het gewijzigd is.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Gebouw ERV
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Gebouw ERV investeren
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Er is niet genoeg ruimte in je inventaris om Speciale Bouwtickets te kunnen ontvangen.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Je hebt al je investeringsmogelijkheden al opgebruikt.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Je komt %s items tekort.
GUILD_BUILDING_INVEST_QUESTION	Wil je één %s investeren in de %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s heeft level %s bereikt.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Dit gebouw heeft zijn maximale level al bereikt en kan niet verder worden verbeterd.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Je hebt een %s gebruikt om te investeren in %s (%s ERV).
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Het gildelevel is niet hoog genoeg om dit gebouw verder te kunnen verbeteren. Verhoog eerst je gildelevel.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Landschap
GUILD_BUILDING_LOG_PLUS	Stam+
GUILD_BUILDING_NAME	Naam van het gebouw
GUILD_BUILDING_PLY_PLUS	Triplex+
GUILD_BUILDING_SMELT_STONE	Runesteen
GUILD_BUILDING_STONE_PLUS	Fundament Steen+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Je hebt geen toestemming om dit item te gebruiken.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Verbeteringsgebouwen
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Verfijningsgebouwen
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Altaren
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Sluiten
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Naam
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Gebouwtype
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Aantal ontvangen
GUILD_CANNOT_HEAL_GSP_ANYMORE	De Drakengeest energie is volledig hersteld
GUILD_CHANGEMASTER_TEXT1	De nieuwe leider wordt: %s
GUILD_CHANGEMASTER_TEXT2	Wil je een nieuwe gildeleider aanwijzen?
GUILD_CHANGEMASTER_TEXT3	Weet je zeker dat
GUILD_CHANGEMASTER_TEXT4	je de positie van gildeleider wilt opgeven?
GUILD_COMMENT	Schrijf
GUILD_CONTENTS_ONGOING	Gevecht in Uitvoering
GUILD_CREATE_ERROR_INSULT_NAME	Gildenaam is ongeldig.
GUILD_DEFAULT_GRADE	Gilde leden
GUILD_DELETE	Verwijder
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	ERV gebruikt
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Min. Aantal: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Er is geen ervaring die gebruikt kan worden.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Niet genoeg ervaringspunten.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Niet genoeg Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Vereist aantal
GUILD_DEPOSIT	Deponeer
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Je kunt het gilde momenteel niet verlaten omdat je in gevecht bent.
GUILD_DISBAND_SUCCESS_MESSAGE	Het gilde is opgeheven.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Je hebt niet genoeg Grote Donatie Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Je inventaris is vol. Je kunt niet doneren.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Je moet level 30 bereikt hebben om te kunnen doneren.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Je hebt niet genoeg Gemiddelde Donatie Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Niet genoeg Yang.
