ACCE_ABSORB_COST	Combination costs: %d
GEM_CONVERTER_MESSAGE_GEM_MAX	You already have the maximum amount of Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	You require at least %s Glimmerstones.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	You don't have enough Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Do you want to use the Gaya Transmuter?
GEM_SYSTEM_ADD_SLOT	Item required: %s.\nDo you want use %d of them to unlock an additional slot?
GEM_SYSTEM_BUY_ITEM	Do you want to purchase this item?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] You don't have enough Refresh Gaya Market items.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] You don't have enough Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] No more slots can be unlocked.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Open the Gaya Market first.
GEM_SYSTEM_PICK_GEM	You have received %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Do you want to refresh the shop?
GEM_USE_GEM	%s Gaya have been deducted.
GIVEUP_QUESTION	Do you really want to give up?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	The event is over. You cannot use this item.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	You cannot use this once a Bomb Tower has been activated.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	You have found all the Goldberry squares! You will receive your reward per post.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	You have found a Goldberry square!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	It seems that wasn't a Goldberry square.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	You don't have enough Goldberries.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	You are now Bombproof and protected from the next Bomb Tower.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	The Bombproof buff protected you and has been consumed. Bomb Towers can damage you again.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	You will be teleported to the next level.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	You can only remain in the Land of Gold for %d minutes.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	The Primordis Expedition is over.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	The Primordis Expedition has started! Defeat the Primordis Guardian and travel to the Land of Gold!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	You can purchase items from the Caravan Trader.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	You will be teleported to the oasis.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Primordis Statues will appear in 10 seconds.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	You cannot use this item as your level is too low.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	You have already reset that.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	You do not have a Primordis Reset.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Your entries and the game board have been reset.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	There isn't enough space in your inventory.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	You don't have enough Bitterberries.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	You cannot purchase any more Goldberries as you have already exceeded the maximum.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	You receive %d Bitterberries.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	You receive %d Bitterberries. (You have %d.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	You receive %d Goldberries.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Do you want to reveal a square for %d Goldberries?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	When you use this, your entries to the Land of Gold and your Goldberry Hunt game board will be reset. Do you want to continue?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Remaining Bomb Towers: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Remaining Primordis Statues: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Do you want to leave this place? You cannot re-enter.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	You have not collected your reward.\nAre you sure that you want to leave this place? You cannot re-enter.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Leave
GUILDBANK_CLEARBANK	Warning: The Guild Warehouse must be emptied!
GUILDBANK_DONT_MONEY_OUT	You don't have any Yang in the guild bank!
GUILDBANK_GOLD_IN	Deposit
GUILDBANK_GOLD_OUT	Withdrawal
GUILDBANK_ITEM_IN	Store
GUILDBANK_ITEM_OUT	Remove
GUILDBANK_MONEYIN	Deposit Yang
GUILDBANK_MONEYOUT	Withdraw Yang
GUILDBANK_NOTUSE	You do not have the necessary permissions.
GUILDBANK_NOT_ENOUGH_MONEY	You do not have enough Yang to deposit.
GUILDBANK_OVER_INCOME	Account limit reached.
GUILDBANK_OVER_MONEY	The guild account is full.
GUILDLAND_ABANDON	Abandon Guild Territory
GUILDLAND_ABANDON_TEXT1	Do you want to abandon the guild territory?
GUILDLAND_ABANDON_TEXT2	Are you sure you want to abandon the guild territory?
GUILDLAND_ABANDON_TEXT3	The guild warehouse and all buildings will be removed.
GUILDLAND_ACCEPT	Yes
GUILDLAND_DONTHAVE_LAND	You do not own any guild territory.
GUILDLAND_NOT	No
GUILDLIST_APPLICANT	Do you want to apply?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Height is not 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Width is not 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Width is not 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Height is not 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	The game does not support this picture.
GUILDMARK_UPLOADER_ERROR_PATH	Move the data into the folder metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No picture file chosen.
GUILDWAR_ALL	Battles (B)
GUILDWAR_CTF_TITLE	Capture the Flag
GUILDWAR_DRAW	Draws (D)
GUILDWAR_GAINSCORE_FIFTY	50 points
GUILDWAR_GAINSCORE_HUNDRED	100 points
GUILDWAR_GAINSCORE_THIRTY	30 points
GUILDWAR_GAMETIME_SIXTY	60 minutes
GUILDWAR_GAMETIME_TEN	10 minutes
GUILDWAR_GAMETIME_THIRTY	30 minutes
GUILDWAR_INPUT_OTHERGUILD	Please enter opposing guild.
GUILDWAR_LADDER	Rank Points
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 participants.
GUILDWAR_LOSE	Losses (L)
GUILDWAR_NORMAL_TITLE	Field Battle
GUILDWAR_OVER_MEMBERCOUNT	You have reached the member limit.
GUILDWAR_QUESTION_LINE_1	The Guild %s  declared war on your Guild.
GUILDWAR_QUESTION_LINE_2	Do you accept? (%s)
GUILDWAR_RANKING	Rank
GUILDWAR_RECODE_ALL	%d B, %d W, %d L, %d D
GUILDWAR_SELECT_MEMBER_COUNT	Select the number of participants.
GUILDWAR_TYPE_DEFENSE	Shield Battle
GUILDWAR_TYPE_TIGER	Annihilation
GUILDWAR_TYPE_TIME	Time Attack
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Battle
GUILDWAR_WIN	Wins (W)
GUILDWAR_WIN_FIVE	5 rounds
GUILDWAR_WIN_ONE	1 round
GUILDWAR_WIN_THREE	3 rounds
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	Current EXP/Max. EXP (Max: Level %d)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	You can upgrade this in the guild territory (max. level 3).
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Lvl
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	You do not have a guild territory.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Guild Territory Location
GUILDWINDOW_BUTTON_BANKGOLDINFO	Guild Warehouse Log
GUILDWINDOW_BUTTON_BASEABANDON	Abandon Guild Territory
GUILDWINDOW_BUTTON_BASEDEAL	Sell Guild Territory
GUILDWINDOW_BUTTON_BOARD	Guild Messages
GUILDWINDOW_BUTTON_BUILDING_USE_COST_LOG_BUTTON	Usage Cost Overview
GUILDWINDOW_BUTTON_CHANGEMASTER	Change Guild Leader
GUILDWINDOW_BUTTON_DECLARE	Declare War
GUILDWINDOW_BUTTON_DONATE	Donate
GUILDWINDOW_BUTTON_GOLDIN	Deposit
GUILDWINDOW_BUTTON_GOLDOUT	Withdrawal
GUILDWINDOW_BUTTON_GRADE	Manage Permissions
GUILDWINDOW_BUTTON_GUILDLIST	Guild List
GUILDWINDOW_BUTTON_GUILD_BATTLE	Guild Battle
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Back to Guild Battle Window
GUILDWINDOW_BUTTON_HEALGSP	Restore Dragon God Power
GUILDWINDOW_BUTTON_INFO	Guild Information
GUILDWINDOW_BUTTON_LANDINFO	Territory Information
GUILDWINDOW_BUTTON_MARK	Upload Guild Symbol
GUILDWINDOW_BUTTON_MEMBER	Member
GUILDWINDOW_BUTTON_OFFER	Donate EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Remove Member
GUILDWINDOW_BUTTON_SKILL	Guild Skills
GUILDWINDOW_BUTTON_SYMBOL	Upload Guild Flag
GUILDWINDOW_BUY_GUILD_LAND	Purchase Land
GUILDWINDOW_CHANGE_BLACKSMITH	Change Profession
GUILDWINDOW_CHANGE_OBJECT	Reconstruction
GUILDWINDOW_CHANGE_SMELTER	Change Smelter
GUILDWINDOW_CHANGE_SPECIAL_BUILDING	Shrine Changes
GUILDWINDOW_CREATE_OBJECT	Construction
GUILDWINDOW_DEAL_GUILD_LAND	Sell Land
GUILDWINDOW_GRADE_BANK	May use guild bank and warehouse
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	May remove members from the guild
GUILDWINDOW_GRADE_GRADENAME	Rank Name
GUILDWINDOW_GRADE_GRADENUMBER	Rank Number
GUILDWINDOW_GRADE_GUILDWAR	May select members to participate as combatants
GUILDWINDOW_GRADE_INVITEAUTHORITY	May accept players into the guild
GUILDWINDOW_GRADE_NOTICEAUTHORITY	May compose guild messages
GUILDWINDOW_GRADE_SKILLAUTHORITY	May use guild skills
GUILDWINDOW_INFO_LEVEL5	+5% EXP to guild donations
GUILDWINDOW_INFO_LEVEL10	Increased max. member count
GUILDWINDOW_INFO_LEVEL15	Cost red.: Dragon God Power
GUILDWINDOW_INFO_LEVEL20	Bank: Tax exemption
GUILDWINDOW_INFO_LEVEL25	+10% EXP for buildings
GUILDWINDOW_INFO_LEVEL30	-10% lease
GUILDWINDOW_INFO_LEVEL35	-15% lease
GUILDWINDOW_INFO_LEVEL40	-20% lease
GUILDWINDOW_INFO_LEVEL_TEXT	Guild Level %d
GUILDWINDOW_LAND_BUY	Buy Land
GUILDWINDOW_LAND_TAX	Lease
GUILDWINDOW_LIST_ALL	All Kingdoms
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] You have already applied.
GUILDWINDOW_LIST_APPLICANT_LIST	Application List
GUILDWINDOW_LIST_CHRACTER_JOB	Class
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Character Name
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclass
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Member
GUILDWINDOW_LIST_GUILD_LIST	Guild List
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Please enter a guild name.
GUILDWINDOW_LIST_LADDER	Rank Points
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guild] This guild is not advertising.
GUILDWINDOW_LIST_PROMOTE_GUILD	Application
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Guild List
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Applications
GUILDWINDOW_LIST_REGISTER_GUILD	Apply to guild
GUILDWINDOW_LIST_SEARCH	Search
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Please select a guild to apply to.
GUILDWINDOW_PROMOTE_REFRESH	Advertise
GUILDWINDOW_PROMOTE_REGISTER	Advertise
GUILDWINDOW_REFUND_REDUCED_TAX	Usage Cost Refund
GUILDWINDOW_SP_RECOVER	Dragon God Power
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Upgrade Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Upgrade Bank
GUILD_ATTENDANCE_FAIL_ALREADY	You have already attended today.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	You cannot attend now. Attendance is reset every day at 5:00 AM.
GUILD_BANKINFO_CLOSE	Close
GUILD_BANKINFO_NAME	Member
GUILD_BANKINFO_TYPE	Item/Currency
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Close
GUILD_BANK_INFO	Guild Warehouse Log
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	You have successfully registered for the Guild Battle.
GUILD_BATTLE_AREA_INFO_TEXT	Time remaining: %s\nMonsters remaining (%d/61)\nBlue: (%s) Yellow: (%s) Green: (%s) Red: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Monsters are being attacked in %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	You cannot participate in the Guild Battle this time as all slots are full. Try again next time!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	You cannot participate yet. Time remaining: %d minutes.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	You can only enter from the first village or the Dong Gwang Plain.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Unable to find a suitable challenger for your guild. Please try again next time.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	There isn't enough space in your inventory.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	You don't fulfil all the requirements to participate in the Guild Battle.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	You cannot enter this zone as it has already been conquered by another guild.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	You can only use that once the zone has been conquered by your guild.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Only the guild leader can use this item.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	You cannot use the Guild Battle Ticket.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	That has already been used and cannot be used again.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	You must wait until at least 2 other guilds are participating.
GUILD_BATTLE_DEAD_TO_PLAYER	You were killed by a member of the %s guild.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	From the %s you have received %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	The Guild Battle starts in %d minutes. You are registered to participate. Get ready and give it your best!
GUILD_BATTLE_END_MESSAGE	The Guild Battle is over.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	The Guild Battle ends in %d minutes.
GUILD_BATTLE_ENTER_AREA_MESSAGE	You have entered %s. Defeat all the monsters!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Enter
GUILD_BATTLE_ENTER_MESSAGE	You will be registered for the Guild Battle shortly.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	You have entered %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	You are a member of the blue team. Use the portal to enter the Guild Battle zone.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	You are a member of the green team. Use the portal to enter the Guild Battle zone.
GUILD_BATTLE_ENTER_OUTPOST_RED	You are a member of the red team. Use the portal to enter the Guild Battle zone.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	You are a member of the yellow team. Use the portal to enter the Guild Battle zone.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	You have received a guild reward. You'll find it in your inventory.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	You have received a buff reward! Check the buff icon to learn more.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Collect Guild Reward
GUILD_BATTLE_LIST_REMAIN_TIME	Time remaining: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s killed %d monsters.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	You don't have a Victor's Key to open the chest. Defeat monsters to find a key.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Make some space in your inventory and try again.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	You don't have a Guild Portal Ticket.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	You cannot participate yet as your guild was only founded within the last 24 hours.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	The zone has been conquered. A portal will appear shortly and monsters will spawn to defend the zone.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s has been conquered. A portal will appear shortly and monsters will spawn to defend the zone.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	This zone has already been conquered by another guild. You will be teleported back to the Guild Outpost shortly.
GUILD_BATTLE_ONGOING	Battle in Progress
GUILD_BATTLE_OPEN_REWARD_BOX	Do you want to open %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	The other guilds are already fighting.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Time remaining: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Conditions met?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	The battle begins in: %s
GUILD_BATTLE_PERSONAL_BUFF	Reward Buff
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Receive Reward Buff
GUILD_BATTLE_PK_GUILD_MESSAGE	%s killed %d players from other guilds.
GUILD_BATTLE_PLAYER_KILL	You have killed a member of the %s guild.
GUILD_BATTLE_QUALIFICATION	Defeat the Dragon King or use a\nGuild Battle Ticket to participate.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Please try again.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	You will be teleported in %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	You have been resurrected with the Guild Respawn.
GUILD_BATTLE_START_MESSAGE	The Guild Battle has started! Join the challenge by clicking the Enter button in the Guild Battle menu!
GUILD_BATTLE_STATUS_BOARD_PK	PK: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Blue
GUILD_BATTLE_TEAM_NAME_GREEN	Green
GUILD_BATTLE_TEAM_NAME_RED	Red
GUILD_BATTLE_TEAM_NAME_YELLOW	Yellow
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	You have used the Guild Portal Ticket and will be teleported to %s shortly.
GUILD_BATTLE_USE_SCROLL	Do you want to participate in the Guild Battle?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Your registration for the Guild Battle was cancelled.
GUILD_BOARD_ID	Member
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_CATEGORY_ALTAR	Altar
GUILD_BUILDING_CATEGORY_SMELT	Refinement Buildings
GUILD_BUILDING_CATEGORY_SPECIAL	Shrines
GUILD_BUILDING_CATEGORY_STORAGE	Guild Warehouse
GUILD_BUILDING_FIX_CHANGE	Do you really want to change the position?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Do you really want to delete the object?
GUILD_BUILDING_FIX_NEED_BUILDING	No building present.
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_INVEST_BUILDING_CHANGED	You could not invest in this building as it was changed.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Building EXP
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Invest Building EXP
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	There isn't enough space in your inventory to receive Special Building Tickets.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	You have already exhausted all your investment possibilities.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	You lack %s items.
GUILD_BUILDING_INVEST_QUESTION	Do you want to invest 1 %s in the %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s has reached level %s.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	This building has already reached its maximum level and cannot be upgraded further.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	You have used a %s to invest in %s (%s EXP).
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	The guild level is not high enough to upgrade this building further. Increase your guild level first.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Landscape
GUILD_BUILDING_LOG_PLUS	Trunk+
GUILD_BUILDING_NAME	Name of building
GUILD_BUILDING_PLY_PLUS	Plywood+
GUILD_BUILDING_SMELT_STONE	Runestone
GUILD_BUILDING_STONE_PLUS	Foundation Stone+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	You do not have permission to use this item.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Improvement Buildings
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Refinement Buildings
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Shrines
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Close
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Name
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Building Type
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Amount Received
GUILD_CANNOT_HEAL_GSP_ANYMORE	The Dragon Ghost Energy is already fully restored.
GUILD_CHANGEMASTER_TEXT1	New leader will be: %s
GUILD_CHANGEMASTER_TEXT2	Would you like to appoint a new guild leader?
GUILD_CHANGEMASTER_TEXT3	Are you sure that you want to hand
GUILD_CHANGEMASTER_TEXT4	over the position of guild leader?
GUILD_COMMENT	Write
GUILD_CONTENTS_ONGOING	Battle in Progress
GUILD_CREATE_ERROR_INSULT_NAME	Guildname is not valid.
GUILD_DEFAULT_GRADE	Guild members
GUILD_DELETE	Delete
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	EXP Used
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Min. Amount: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	There is no experience which can be used.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Not enough experience points.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Not enough Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Required amount
GUILD_DEPOSIT	Deposit
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	You cannot leave the guild now as you are in combat.
GUILD_DISBAND_SUCCESS_MESSAGE	The guild has been disbanded.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	You don't have enough Large Donation Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Your inventory is full. You cannot donate.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	You must have reached level 30 to be able to donate.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	You don't have enough Medium Donation Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Not enough Yang.
GUILD_DONATE_FAIL_TIME	You cannot donate for 24 hours after joining the guild.
GUILD_DONATE_QUESTION_HIGH	Do you want to make a Large Donation?
GUILD_DONATE_QUESTION_MIDDLE	Do you want to make a Medium Donation?
GUILD_DONATE_QUESTION_NORMAL	Do you want to make a Small Donation?
GUILD_DO_YOU_HEAL_GSP	Do you want to use %d Yang to restore %d units of Dragon Ghost?
GUILD_DO_YOU_JOIN	 has invited you. Do you want to join the guild?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Overall Rankings: Meley's Lair
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Overall Rankings: Balathor's Crypt
GUILD_DRAGONLAIR_PARTY_ALL	Overall Rankings
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11th Place and Below: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Help
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1st Place: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4th-10th Place: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2nd-3rd Place: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Members
GUILD_DRAGONLAIR_PARTY_NOW	Weekly Rankings
GUILD_DRAGONLAIR_PARTY_PAST	Previous Rankings
GUILD_DRAGONLAIR_PARTY_TIME	Time
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Reward
GUILD_DRAGONLAIR_RANKING_FAIL	FAILED
GUILD_DRAGONLAIR_RANKING_NONE	NEW
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCESS
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Current Rankings: Meley's Lair
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Current Rankings: Balathor's Crypt
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	You have registered for Balathor's Crypt. Talk to Dragon Watcher Dolnarr to enter. After that, you have 10 minutes to start the fight.
GUILD_DRAGON_LAIR_DUNGEON_START	The battle for Balathor's Crypt has started. The time limit in the dungeon is one hour.
GUILD_EMPTY_AREA	Empty land
GUILD_ENEMY_GUILD_NAME	Guild name of the enemy
GUILD_FACILITY	Outbuilding
GUILD_GEM	Gem
GUILD_HEADQUARTER	Main Building
GUILD_HEAL_GSP	Restore Dragon ghost
GUILD_INFO_ENEMY_GUILD_EMPTY	None
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	The guild territory can be found in %s at the coordinates %d, %d.
GUILD_LAND_TEXT	Guild Territory
GUILD_MARK_NOT_ENOUGH_LEVEL	Minimum level of 3 required
GUILD_MARK_UPLOAD_NOTICE	Please wait a moment so you can add guild logos.
