ACCE_ABSORB_COST	Coste de combinación: %d
FORCE_EVENT_CAN_USE_BUTTON	¡Tu eco es lo suficientemente fuerte como para activarlo!
FORCE_EVENT_EMPTY_NORMAL_FORCE_SLOT_TOOLTIP	Puedes elegir tu Eco de fuerza arrastrándolo desde el inventario.
FORCE_EVENT_EMPTY_SKILL_FORCE_SLOT_TOOLTIP	Puedes elegir tu Eco de poder arrastrándolo desde el inventario.
FORCE_EVENT_END_NOTICE	El evento "Ecos del pasado" ha finalizado.
FORCE_EVENT_FORCE_CHANGE_BUFF	Ya has elegido un eco. ¿Quieres cambiarlo?
FORCE_EVENT_FORCE_GAGUE_REMAIN_TIME	%d / %d minutos
FORCE_EVENT_FORCE_GAUGE_REFINE_TOOLTIP	Tu eco gana fuerza.
FORCE_EVENT_FORCE_NOTICE_CAN_USE_FORCE_BUFF	%s se puede activar. Mira en el menú correspondiente.
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_1	¿Quieres seleccionar %s?
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_2	Si cambias el eco seleccionado, se restaurará el tiempo de juego.
FORCE_EVENT_FORCE_SLOT_REMAIN_TIME	Tiempo restante:
FORCE_EVENT_INVALIED_SLOT_ITEM	Este eco se debe activar en otra casilla.
FORCE_EVENT_NOTICE_REMAIN_PLAY_TIME	Tu %s seleccionado ha alcanzado %d / %d.
FORCE_EVENT_NOT_ENOUGH_FORCE_CANNOT_USE_BUTTON	Tu eco aún no es lo suficientemente fuerte como para utilizarlo.
FORCE_EVENT_NOT_ENOUGH_LEVEL	Para participar, tienes que haber subido al menos al nivel 70.
FORCE_EVENT_READY_TO_USE_FORCE_BUFF	%s se puede activar. Mira en el menú de eco.
FORCE_EVENT_REMOVE_REGIST_FORCE	¿Retirar el eco elegido? Al hacerlo, el tiempo de juego se restablecerá y se destruirá el eco.
FORCE_EVENT_START_NOTICE	El evento "Ecos del pasado" ha comenzado.
FOR_FEMALE	para mujer
FOR_MALE	para hombre
FRAGMENT_COMB_COST	Costes de combinación: %s
FREEZING_BUTTON_COOLTIME	Inténtalo de nuevo más tarde.
GAME_CANNOT_MINING	No puedes extraer minerales mientras estés cabalgando.
GAME_CANNOT_PICK_ITEM	No puedes recoger este objeto ya que no lo ganaste.
GAME_GUILDWAR_NOW_JOIN	¿Quieres entrar en la guerra de gremios?
GAME_INIT_ERROR_CURSOR	El cursor no pudo ser establecido.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 debe estar instalado para que este juego pueda arrancar.\nInstala DirectX 8.1 o superior.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No se ha encontrado ningún dispositivo gráfico.\nRevisa si tu tarjeta VGA está instalada correctamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	El dispositivo gráfico no está establecido.\nRevisa si tienes tarjeta VGA.\nAlternativamente, puedes activar el hardware acelerador.\n(Fija el hardware acelerador al máximo. \nPanel de Control->Pantalla->Configuración->Avanzado->Registro de tarjeta.)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La tarjeta gráfica del ordenador no soporta el modo de ventana al modo 32bit.\nCambialo al modo 16bit o a Modo Pantalla Completa.
GAME_INIT_ERROR_ITEM_PROTO	No existen datos de objetos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_MAIN_WINDOW	El servidor no pudo ser establecido
GAME_INIT_ERROR_MOB_PROTO	No existen datos de monstruos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_NETWORK	No pudieron establecerse dispositivos de red.\nRevisa tu conexión a internet.
GAME_OPTION_GAME	Juego
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Selecciona para guardar la configuración de teclado para este personaje.
GAME_OPTION_KEYSETTING	Configuración de teclado
GAME_OPTION_KEYSETTING_CHECK_KEY	Hay una función que no tiene asignada ninguna configuración de teclado.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Esta tecla ya se está utilizando para %s. ¿Quieres modificarlo?
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	Se ha restablecido %s. Vuelve a seleccionar.
GAME_OPTION_LOOTING	Botín
GAME_OPTION_SYSTEM	Sistema
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Se muestran los Yang si esta opción se selecciona, y se ocultan si se deselecciona.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Esconder decoración
GAME_PICK_MONEY	Has obtenido %s Yang.
GAME_USE_MONEY	Se ha gastado una cantidad de %s Yang.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	Has usado %d Transformadores de Gaya.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	Se han utilizado %d Gemas.
GEM_CONVERTER_MESSAGE_GEM_MAX	Ya tienes la cantidad máxima de Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	Necesitas al menos %s Gemas.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	No tienes suficiente Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	¿Quieres usar el Transformador de Gaya?
GEM_SYSTEM_ADD_SLOT	Objeto necesario: %s.\n¿Quieres usar %d para abrir un espacio más?
GEM_SYSTEM_BUY_ITEM	¿Quieres comprar este objeto?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] No tienes suficientes "Restaurar Mercado Gaya".
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] No tienes suficiente Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] No se pueden añadir más espacios.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Primero abre el Mercado de Gaya.
GEM_SYSTEM_PICK_GEM	Has obtenido %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	¿Quieres restablecer?
GEM_USE_GEM	Se ha gastado una cantidad de %s Gaya.
GIVEUP_QUESTION	¿Seguro que quieres abandonar?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	No puedes utilizar este objeto porque el evento ya ha pasado.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	No se puede utilizar si ya se ha activado un Polvorín.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	¡Has encontrado todo todos los campos de Frutos dorados! Recibirás la recompensa en el buzón.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	¡Has encontrado un campo de Frutos dorados!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Vaya, no era un campo de Frutos dorados.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	No tienes suficientes Frutos dorados.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	La protección está activada. No te preocupes por el próximo Polvorín.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	La protección ya se ha acabado. Los Polvorines vuelven a hacerte daño.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Se te teletransportará al siguiente nivel.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Puedes quedarte otros %d minutos en la Tierra Dorada.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	La expedición de Primordis ha finalizado.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	¡La expedición de Primordis ha comenzado! ¡Derrota al Guardia de Primordis y viaja a la Tierra Dorada!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	El Mercader ambulante vende objetos.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Se te teletransportará al oasis.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Las Estatuas de Primordis aparecerán en 10 segundos.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	No puedes utilizar este objeto porque tu nivel es demasiado bajo.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Ya se ha restaurado.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	No tienes ningún Reinicio de Primordis.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Se han restaurado correctamente los accesos y el tablero.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	No tienes suficiente espacio en el inventario.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	No tienes suficientes Frutos ácidos.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	No puedes adquirir más Frutos dorados porque ya tienes la cantidad máxima.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Recibes %d Frutos ácidos.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Recibes %d Frutos ácidos. (Tienes %d Frutos ácidos).
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Recibes %d Frutos dorados.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	¿Quieres destapar un campo por %d Frutos dorados?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Al utilizarlo, restaurarás tus accesos a la Tierra Dorada y el tablero de Buscafrutos Dorados. ¿Deseas continuar?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Polvorines restantes: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Estatuas de Primordis restantes: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	¿Quieres abandonar este lugar? No puedes volver a entrar.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Aún no has recogido tu recompensa.\n ¿Seguro que quieres abandonar este lugar? No puedes volver a entrar.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Salir
GUILDBANK_CLEARBANK	Atención: ¡el almacén del gremio tiene que estar vacío!
GUILDBANK_DONT_MONEY_OUT	¡No tienes Yang en el banco del gremio!
GUILDBANK_GOLD_IN	Depósito
GUILDBANK_GOLD_OUT	Extracción
GUILDBANK_ITEM_IN	Almacenar
GUILDBANK_ITEM_OUT	Retirar
GUILDBANK_MONEYIN	Depositar Yang
GUILDBANK_MONEYOUT	Extraer Yang
GUILDBANK_NOTUSE	Te faltan derechos para hacer esto.
GUILDBANK_NOT_ENOUGH_MONEY	No tienes suficiente Yang para hacer el depósito.
GUILDBANK_OVER_INCOME	Se ha llegado al límite de cuenta.
GUILDBANK_OVER_MONEY	La cuenta del gremio está llena.
GUILDLAND_ABANDON	Abandonar terreno del gremio
GUILDLAND_ABANDON_TEXT1	¿Quieres abandonar el terreno del gremio?
GUILDLAND_ABANDON_TEXT2	¿Seguro que quieres abandonar el terreno del gremio?
GUILDLAND_ABANDON_TEXT3	Se eliminará el almacén del gremio y todos los edificios.
GUILDLAND_ACCEPT	Sí
GUILDLAND_DONTHAVE_LAND	No tienes ningún terreno del gremio.
GUILDLAND_NOT	No
GUILDLIST_APPLICANT	¿Quieres presentar tu candidatura?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	La altura no es de 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	El ancho no es de 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	El ancho no es de 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	La altura no es de 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	El juego no soporta esta imagen.
GUILDMARK_UPLOADER_ERROR_PATH	Mueve los datos a la carpeta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No se seleccionó una carpeta de imágenes.
GUILDWAR_ALL	Luchas (L)
GUILDWAR_CTF_TITLE	Lucha por bandera
GUILDWAR_DRAW	Empate (E)
GUILDWAR_GAINSCORE_FIFTY	50 puntos
GUILDWAR_GAINSCORE_HUNDRED	100 puntos
GUILDWAR_GAINSCORE_THIRTY	30 puntos
GUILDWAR_GAMETIME_SIXTY	60 minutos
GUILDWAR_GAMETIME_TEN	10 minutos
GUILDWAR_GAMETIME_THIRTY	30 minutos
GUILDWAR_INPUT_OTHERGUILD	Por favor, introduce el gremio enemigo.
GUILDWAR_LADDER	Puntos de clasificación
GUILDWAR_LIMIT_MEMBER_FIVE	La cantidad mínima de participantes es de 5.
GUILDWAR_LOSE	Derrotas (D)
GUILDWAR_NORMAL_TITLE	Batalla de campo
GUILDWAR_OVER_MEMBERCOUNT	Has alcanzado el límite de miembros.
GUILDWAR_QUESTION_LINE_1	El gremio %s le ha declarado la guerra a tu gremio.
GUILDWAR_QUESTION_LINE_2	¿Aceptas? (%s)
GUILDWAR_RANKING	Clasificación
GUILDWAR_RECODE_ALL	%d L, %d V, %d D, %d E
GUILDWAR_SELECT_MEMBER_COUNT	Elige la cantidad de participantes.
GUILDWAR_TYPE_DEFENSE	Lucha de escudos
GUILDWAR_TYPE_TIGER	Lucha de destrucción
GUILDWAR_TYPE_TIME	Ataque temporal
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Guerra en la arena
GUILDWAR_WIN	Victorias (V)
GUILDWAR_WIN_FIVE	Cinco rondas
GUILDWAR_WIN_ONE	Una ronda
GUILDWAR_WIN_THREE	Tres rondas
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	EXP actual / EXP máxima (niv. máx.: %d)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	Puedes mejorar esto en el terreno del gremio. (Nivel máx.: 3)
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Nv.
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	No tienes terreno del gremio.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Localización del terreno del gremio
GUILDWINDOW_BUTTON_BANKGOLDINFO	Registro del almacén del gremio
GUILDWINDOW_BUTTON_BASEABANDON	Abandonar terreno del gremio
GUILDWINDOW_BUTTON_BASEDEAL	Vender terreno del gremio
GUILDWINDOW_BUTTON_BOARD	Notas del gremio
GUILDWINDOW_BUTTON_BUILDING_USE_COST_LOG_BUTTON	Vista general de los costes de uso
GUILDWINDOW_BUTTON_CHANGEMASTER	Cambiar de líder del gremio
GUILDWINDOW_BUTTON_DECLARE	Declaración de guerra
GUILDWINDOW_BUTTON_DONATE	Donar
GUILDWINDOW_BUTTON_GOLDIN	Depósito
GUILDWINDOW_BUTTON_GOLDOUT	Extracción
GUILDWINDOW_BUTTON_GRADE	Administración de derechos
GUILDWINDOW_BUTTON_GUILDLIST	Lista de gremios
GUILDWINDOW_BUTTON_GUILD_BATTLE	Batalla Gremial
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Volver a la ventana de la Batalla Gremial
GUILDWINDOW_BUTTON_HEALGSP	Restablecer Fuerza dragón
GUILDWINDOW_BUTTON_INFO	Información del gremio
GUILDWINDOW_BUTTON_LANDINFO	Información del terreno
GUILDWINDOW_BUTTON_MARK	Subir símbolo de gremio
GUILDWINDOW_BUTTON_MEMBER	Miembros
GUILDWINDOW_BUTTON_OFFER	Donar EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Expulsar miembro
GUILDWINDOW_BUTTON_SKILL	Habilidades del gremio
GUILDWINDOW_BUTTON_SYMBOL	Subir bandera del gremio
GUILDWINDOW_BUY_GUILD_LAND	Compra de terreno
GUILDWINDOW_CHANGE_BLACKSMITH	Cambiar profesión
GUILDWINDOW_CHANGE_OBJECT	Modificación
GUILDWINDOW_CHANGE_SMELTER	Modificación de horno
GUILDWINDOW_CHANGE_SPECIAL_BUILDING	Adaptaciones de santuario
GUILDWINDOW_CREATE_OBJECT	Construcción de edificios
GUILDWINDOW_DEAL_GUILD_LAND	Venta de terreno
GUILDWINDOW_GRADE_BANK	Puede utilizar el banco y el almacén del gremio
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Puede expulsar a un miembro del gremio
GUILDWINDOW_GRADE_GRADENAME	Nombre de rango
GUILDWINDOW_GRADE_GRADENUMBER	Número de rango
GUILDWINDOW_GRADE_GUILDWAR	Puede seleccionar miembros para que participen como guerreros
GUILDWINDOW_GRADE_INVITEAUTHORITY	Puede incorporar miembros al gremio
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Puede publicar notas del gremio
GUILDWINDOW_GRADE_SKILLAUTHORITY	Puede utilizar habilidades del gremio
GUILDWINDOW_INFO_LEVEL5	+5% EXP en donac. a gremio
GUILDWINDOW_INFO_LEVEL10	Aumenta el máx. de miembros
GUILDWINDOW_INFO_LEVEL15	Oferta: Fuerza dragón
GUILDWINDOW_INFO_LEVEL20	Banco: exención impositiva
GUILDWINDOW_INFO_LEVEL25	+10 % de EXP para edificios
GUILDWINDOW_INFO_LEVEL30	-10 % de arrendamiento de tierras
GUILDWINDOW_INFO_LEVEL35	-15 % de arrendamiento de tierras
GUILDWINDOW_INFO_LEVEL40	-20 % de arrendamiento de tierras
GUILDWINDOW_INFO_LEVEL_TEXT	Nivel del gremio %d
GUILDWINDOW_LAND_BUY	Adquirir terreno
GUILDWINDOW_LAND_TAX	Arriendo
GUILDWINDOW_LIST_ALL	Todos los reinos
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gremio] Ya has solicitado acceso para este gremio.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista de candidatos
GUILDWINDOW_LIST_CHRACTER_JOB	Clase
GUILDWINDOW_LIST_CHRACTER_LV	Nivel
GUILDWINDOW_LIST_CHRACTER_NAME	Nombre del personaje
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Entrenamiento
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Miembros
GUILDWINDOW_LIST_GUILD_LIST	Lista de gremios
GUILDWINDOW_LIST_GUILD_LV	Nivel
GUILDWINDOW_LIST_GUILD_NAME	Gremio
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gremio] Por favor, introduce el nombre de un gremio.
GUILDWINDOW_LIST_LADDER	Puntos de clasificación
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gremio] Este gremio no tiene ningún anuncio.
GUILDWINDOW_LIST_PROMOTE_GUILD	Solicitud
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista de gremios
GUILDWINDOW_LIST_RANKING	Posición
GUILDWINDOW_LIST_RANKING_COUNT	Posición
GUILDWINDOW_LIST_REGISTER	Solicitudes
GUILDWINDOW_LIST_REGISTER_GUILD	Solicitar acceso a gremio
GUILDWINDOW_LIST_SEARCH	Buscar
GUILDWINDOW_LIST_SELECT_GUILD	[Gremio] Por favor, escoge un gremio al que solicitar acceso.
GUILDWINDOW_PROMOTE_REFRESH	Publicidad
GUILDWINDOW_PROMOTE_REGISTER	Publicidad
GUILDWINDOW_REFUND_REDUCED_TAX	Reembolso de los costes de uso
GUILDWINDOW_SP_RECOVER	Fuerza Dragón
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Expansión de altar
GUILDWINDOW_UPGRADE_GUILDBANK	Expansión de banco
GUILD_ATTENDANCE_FAIL_ALREADY	Hoy ya has participado.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Ahora no puedes participar. La participación se restablece a las 5:00 h.
GUILD_BANKINFO_CLOSE	Cerrar
GUILD_BANKINFO_NAME	Miembro
GUILD_BANKINFO_TYPE	Objeto/Moneda
GUILD_BANKINFO_USETYPE	Acción
GUILD_BANK_CLOSE	Cerrar
GUILD_BANK_INFO	Registro del almacén del gremio
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Te has apuntado a la Batalla Gremial.
GUILD_BATTLE_AREA_INFO_TEXT	Tiempo restante: %s\nMonstruos restantes (%d/61)\nAzul: (%s) Amarillo: (%s) Verde: (%s) Rojo: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Están atacando a los monstruos en %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	La Batalla Gremial ya está llena, así que no puedes unirte. ¡Vuelve a intentarlo la próxima vez!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Todavía no puedes participar. Tiempo restante: %d minuto/s.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Solo se puede entrar desde la primera aldea o desde la Llanura Dongan.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	No se ha encontrado rival adecuado para tu gremio. Vuelve a intentarlo la próxima vez.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	No tienes suficiente espacio en el inventario.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	No cumples los requisitos para apuntarte a la Batalla Gremial.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	No puedes entrar en esta zona porque ya la ha conquistado otro gremio.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Solo se puede utilizar cuando tu gremio conquiste la zona.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Solo lo puede utilizar el líder del gremio.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	No puedes usar el Tique de Batalla Gremial.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Ya se ha utilizado y no puede volverse a utilizar.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Tienes que esperar a que se apunten al menos otros 2 gremios.
GUILD_BATTLE_DEAD_TO_PLAYER	Te ha derrotado un miembro del gremio %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	%s: Has obtenido %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	La Batalla Gremial comienza en %d minuto/s. Te has apuntado para participar. ¡Prepárate y dalo todo!
GUILD_BATTLE_END_MESSAGE	La Batalla Gremial ha concluido.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	La Batalla Gremial acabará en %d minuto/s.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Has entrado en %s. ¡Derrota a todos los monstruos!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Entrar
GUILD_BATTLE_ENTER_MESSAGE	Se te inscribirá en la Batalla Gremial.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Has entrado en %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Formas parte del equipo azul. Utiliza el portal para ir a la zona de la Batalla Gremial.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Formas parte del equipo verde. Utiliza el portal para ir a la zona de la Batalla Gremial.
GUILD_BATTLE_ENTER_OUTPOST_RED	Formas parte del equipo rojo. Utiliza el portal para ir a la zona de la Batalla Gremial.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Formas parte del equipo amarillo. Utiliza el portal para ir a la zona de la Batalla Gremial.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Has obtenido una recompensa gremial. La encontrarás en tu inventario.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	¡Has obtenido un potenciador de recompensa! Mira en el icono de potenciador para saber más.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Aceptar recompensa gremial
GUILD_BATTLE_LIST_REMAIN_TIME	Tiempo restante: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s ha vencido a %d monstruo/s.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	No tienes Llaves de la victoria para abrir el baúl. Acaba con monstruos para conseguirlas.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Haz espacio en tu inventario e inténtalo de nuevo.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	No tienes ningún Tique de portal gremial.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Todavía no puedes participar porque tu gremio se fundó durante las 24 últimas horas.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Zona conquistada. En breve se abrirá un portal y aparecerán monstruos que defenderán el área.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	Se ha conquistado %s. En breve se abrirá un portal y aparecerán monstruos que defenderán el área.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Esta zona ya la ha conquistado otro gremio. En breve se te teletransportará de vuelta a la Avanzadilla gremial.
GUILD_BATTLE_ONGOING	Batalla en curso
GUILD_BATTLE_OPEN_REWARD_BOX	¿Quieres abrir %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Los otros gremios ya están luchando.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Tiempo restante: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	¿Puedes participar?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	La batalla comienza en: %s
GUILD_BATTLE_PERSONAL_BUFF	Bonificación de recompensa
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Aceptar potenciador de recompensa
GUILD_BATTLE_PK_GUILD_MESSAGE	%s ha derrotado a %d jugador/es de otro gremio.
GUILD_BATTLE_PLAYER_KILL	Has derrotado a un miembro del gremio %s.
GUILD_BATTLE_QUALIFICATION	Para participar, derrota al Rey dragón\no utiliza un Tique de Batalla Gremial.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Por favor, inténtalo de nuevo.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Se te teletransportará en %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Has resucitado con la Resurrección gremial.
GUILD_BATTLE_START_MESSAGE	¡Ha comenzado la Batalla Gremial! ¡Enfréntate al desafío! Haz clic en "Entrar" en el menú de Batalla Gremial.
GUILD_BATTLE_STATUS_BOARD_PK	Asesinatos: %d personajes
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d / %d
GUILD_BATTLE_TEAM_NAME_BLUE	Azul
GUILD_BATTLE_TEAM_NAME_GREEN	Verde
GUILD_BATTLE_TEAM_NAME_RED	Rojo
GUILD_BATTLE_TEAM_NAME_YELLOW	Amarillo
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Has utilizado el Tique de portal gremial y te teletransportarás en breve a %s.
GUILD_BATTLE_USE_SCROLL	¿Quieres participar en la Batalla Gremial?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Se ha cancelado tu inscripción en la Batalla Gremial.
GUILD_BOARD_ID	Miembro
GUILD_BOARD_TEXT	Mensaje
GUILD_BUILDING_CATEGORY_ALTAR	Altar
GUILD_BUILDING_CATEGORY_SMELT	Edificio de refinamiento
GUILD_BUILDING_CATEGORY_SPECIAL	Santuarios
GUILD_BUILDING_CATEGORY_STORAGE	Almacén del gremio
GUILD_BUILDING_FIX_CHANGE	¿De verdad quieres cambiar la posición?
GUILD_BUILDING_FIX_CHANGE_GOLD	Costes: 1 000 000 de Yang
