ACCE_ABSORB_COST	Kombinationskosten: %d
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	%s wurde zurückgesetzt. Bitte wähle erneut.
GAME_OPTION_LOOTING	Beute
GAME_OPTION_SYSTEM	System
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Yang werden angezeigt, wenn diese Option ausgewählt ist und verborgen, wenn du sie abwählst.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Dekor ausblenden
GAME_PICK_MONEY	Du hast %s Yang erhalten.
GAME_USE_MONEY	%s Yang wurden ausgegeben.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	Du hast %d Gaya-Wandler verwendet.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	%d Schmucksteine wurden verbraucht.
GEM_CONVERTER_MESSAGE_GEM_MAX	Du besitzt bereits die maximale Anzahl an Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	Du benötigst mindestens %s Schmucksteine.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	Du besitzt nicht genügend Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Möchtest du den Gaya-Wandler benutzen?
GEM_SYSTEM_ADD_SLOT	Erforderlicher Gegenstand: %s.\nMöchtest du jetzt %d davon einsetzen, um einen weiteren Platz zu öffnen?
GEM_SYSTEM_BUY_ITEM	Möchtest du diesen Gegenstand kaufen?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Du besitzt nicht genügend 'Gayahandel zurücksetzen'.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Du besitzt nicht genug Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Es können keine Plätze mehr erweitert werden.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Öffne zuerst den Gayahandel.
GEM_SYSTEM_PICK_GEM	Du hast %s Gaya erhalten.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Möchtest du zurücksetzen?
GEM_USE_GEM	%s Gaya wurden ausgegeben.
GIVEUP_QUESTION	Möchtest du wirklich aufgeben?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Du kannst diesen Gegenstand nicht verwenden, da das Event vorbei ist.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Das kann nicht verwendet werden, wenn bereits ein Sprengturm aktiviert wurde.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Du hast alle Goldbeeren-Felder gefunden! Deine Belohnung erhältst du per Post.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Du hast ein Goldbeeren-Feld gefunden!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Das war wohl kein Goldbeeren-Feld.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Du hast nicht genügend Goldbeeren.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	Der Sprengschutz wurde aktiviert. Du bist vor dem nächsten Sprengturm geschützt.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	Der Sprengschutz hat dich beschützt und ist verbraucht. Sprengtürme können dir jetzt wieder schaden.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Du wirst zur nächsten Ebene teleportiert.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Du kannst noch %d Minuten im Goldenen Land bleiben.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	Die Primordis-Expedition ist vorbei.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	Die Primordis-Expedition hat begonnen! Bezwinge den Primordis-Wächter und reise ins Goldene Land!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Du kannst Gegenstände beim Karawanenhändler erwerben.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Du wirst zur Oase teleportiert.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Primordis-Statuen werden in 10 Sekunden erscheinen.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Du kannst diesen Gegenstand nicht verwenden, da dein Level zu niedrig ist.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Du hast das bereits zurückgesetzt.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Du besitzt keinen Primordis-Neuanfang.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Deine Eintritte und das Spielbrett wurden erfolgreich zurückgesetzt.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Du hast nicht genügend Platz im Inventar.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Du hast nicht genügend Bitterbeeren.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Du kannst nicht noch mehr Goldbeeren erwerben, weil du bereits die maximale Anzahl überschritten hast.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Du erhältst %d Bitterbeeren.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Du erhältst %d Bitterbeeren. (Du besitzt %d Bitterbeeren.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Du erhältst %d Goldbeeren.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Möchtest du für %d Goldbeeren ein Feld aufdecken?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Wenn du das verwendest, werden sowohl deine Eintritte für das Goldene Land als auch das Spielbrett bei der Goldbeerensuche zurückgesetzt. Möchtest du fortfahren?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Verbleibende Sprengtürme: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Verbleibende Primordis-Statuen: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Möchtest du diesen Ort verlassen? Du kannst ihn nicht erneut betreten.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Du hast deine Belohnung noch nicht abgeholt.\n Bist du sicher, dass du diesen Ort verlassen möchtest? Du kannst ihn nicht erneut betreten.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Verlassen
GUILDBANK_CLEARBANK	Achtung: Das Gildenlager muss geleert sein!
GUILDBANK_DONT_MONEY_OUT	Du hast kein Yang in der Gildenbank!
GUILDBANK_GOLD_IN	Einzahlung
GUILDBANK_GOLD_OUT	Auszahlung
GUILDBANK_ITEM_IN	Einlagern
GUILDBANK_ITEM_OUT	Auslagern
GUILDBANK_MONEYIN	Yang einzahlen
GUILDBANK_MONEYOUT	Yang auszahlen
GUILDBANK_NOTUSE	Dir fehlen die Rechte dazu.
GUILDBANK_NOT_ENOUGH_MONEY	Du hast nicht so viel Yang zum Einzahlen.
GUILDBANK_OVER_INCOME	Kontolimit erreicht.
GUILDBANK_OVER_MONEY	Das Gildenkonto ist voll.
GUILDLAND_ABANDON	Gildenland aufgeben
GUILDLAND_ABANDON_TEXT1	Willst du das Gildenland aufgeben?
GUILDLAND_ABANDON_TEXT2	Bist du sicher, dass du das Gildenland aufgeben willst?
GUILDLAND_ABANDON_TEXT3	Das Gildenlager und alle Gebäude werden entfernt.
GUILDLAND_ACCEPT	Ja
GUILDLAND_DONTHAVE_LAND	Du besitzt kein Gildenland.
GUILDLAND_NOT	Nein
GUILDLIST_APPLICANT	Möchtest du dich bewerben?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Höhe beträgt nicht 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breite beträgt nicht 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breite beträgt nicht 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Höhe beträgt nicht 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Das Spiel unterstützt dieses Bild nicht.
GUILDMARK_UPLOADER_ERROR_PATH	Verschiebe die Dateien in den Ordner metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Keine Bilddatei ausgewählt.
GUILDWAR_ALL	Kämpfe (K)
GUILDWAR_CTF_TITLE	Flaggenkampf
GUILDWAR_DRAW	Unentschieden (U)
GUILDWAR_GAINSCORE_FIFTY	50 Punkte
GUILDWAR_GAINSCORE_HUNDRED	100 Punkte
GUILDWAR_GAINSCORE_THIRTY	30 Punkte
GUILDWAR_GAMETIME_SIXTY	60 Minuten
GUILDWAR_GAMETIME_TEN	10 Minuten
GUILDWAR_GAMETIME_THIRTY	30 Minuten
GUILDWAR_INPUT_OTHERGUILD	Bitte gegnerische Gilde eintragen.
GUILDWAR_LADDER	Rangpunkte
GUILDWAR_LIMIT_MEMBER_FIVE	Mindestanzahl der Teilnehmer beträgt 5.
GUILDWAR_LOSE	Niederlagen (N)
GUILDWAR_NORMAL_TITLE	Feldschlacht
GUILDWAR_OVER_MEMBERCOUNT	Du hast das Mitgliederlimit erreicht.
GUILDWAR_QUESTION_LINE_1	Die Gilde %s hat deiner Gilde den Krieg erklärt.
GUILDWAR_QUESTION_LINE_2	Nimmst du an? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d K, %d S, %d N, %d U
GUILDWAR_SELECT_MEMBER_COUNT	Wähle die Anzahl der Teilnehmer.
GUILDWAR_TYPE_DEFENSE	Schildkampf
GUILDWAR_TYPE_TIGER	Vernichtungskampf
GUILDWAR_TYPE_TIME	Zeitangriff
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arenakampf
GUILDWAR_WIN	Siege (S)
GUILDWAR_WIN_FIVE	Fünf Runden
GUILDWAR_WIN_ONE	Eine Runde
GUILDWAR_WIN_THREE	Drei Runden
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	Momentane EXP / Maximale EXP (Max: %d Level)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	Dies kannst du im Gildenland verbessern. (Max. Level: 3)
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Lvl
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	Du hast kein Gildenland.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Ort des Gildenlands
GUILDWINDOW_BUTTON_BANKGOLDINFO	Gildenlager-Log
GUILDWINDOW_BUTTON_BASEABANDON	Gildenland aufgeben
GUILDWINDOW_BUTTON_BASEDEAL	Gildenland verkaufen
GUILDWINDOW_BUTTON_BOARD	Gildennotizen
GUILDWINDOW_BUTTON_BUILDING_USE_COST_LOG_BUTTON	Nutzungskosten-Übersicht
GUILDWINDOW_BUTTON_CHANGEMASTER	Gildenleiter wechseln
GUILDWINDOW_BUTTON_DECLARE	Kriegserklärung
GUILDWINDOW_BUTTON_DONATE	Spende
GUILDWINDOW_BUTTON_GOLDIN	Einzahlung
GUILDWINDOW_BUTTON_GOLDOUT	Auszahlung
GUILDWINDOW_BUTTON_GRADE	Rechteverwaltung
GUILDWINDOW_BUTTON_GUILDLIST	Gildenliste
GUILDWINDOW_BUTTON_GUILD_BATTLE	Gildenschlacht
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Zurück zum Gildenschlacht-Fenster
GUILDWINDOW_BUTTON_HEALGSP	Drachenmacht wiederherstellen
GUILDWINDOW_BUTTON_INFO	Gildeninformationen
GUILDWINDOW_BUTTON_LANDINFO	Landinformationen
GUILDWINDOW_BUTTON_MARK	Gildenzeichen hochladen
GUILDWINDOW_BUTTON_MEMBER	Mitglieder
GUILDWINDOW_BUTTON_OFFER	EXP spenden
GUILDWINDOW_BUTTON_OUTMEMBER	Mitglied entfernen
GUILDWINDOW_BUTTON_SKILL	Gildenfertigkeiten
GUILDWINDOW_BUTTON_SYMBOL	Gildenflagge hochladen
GUILDWINDOW_BUY_GUILD_LAND	Landkauf
GUILDWINDOW_CHANGE_BLACKSMITH	Profession ändern
GUILDWINDOW_CHANGE_OBJECT	Umbau
GUILDWINDOW_CHANGE_SMELTER	Ofen-Umbau
GUILDWINDOW_CHANGE_SPECIAL_BUILDING	Schrein-Anpassungen
GUILDWINDOW_CREATE_OBJECT	Gebäudebau
GUILDWINDOW_DEAL_GUILD_LAND	Landverkauf
GUILDWINDOW_GRADE_BANK	Darf die Gildenbank und das Gildenlager nutzen
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Darf Mitglieder aus der Gilde entfernen
GUILDWINDOW_GRADE_GRADENAME	Rangname
GUILDWINDOW_GRADE_GRADENUMBER	Rangnummer
GUILDWINDOW_GRADE_GUILDWAR	Darf Mitglieder auswählen, die als Kämpfer teilnehmen können
GUILDWINDOW_GRADE_INVITEAUTHORITY	Darf Spieler in die Gilde aufnehmen
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Darf Gildennotizen anpinnen
GUILDWINDOW_GRADE_SKILLAUTHORITY	Darf Gildenfertigkeiten nutzen
GUILDWINDOW_INFO_LEVEL5	+5% EXP auf Gildenspende
GUILDWINDOW_INFO_LEVEL10	Erhöht max. Mitgliederzahl
GUILDWINDOW_INFO_LEVEL15	Preisnachlass: Drachenmacht
GUILDWINDOW_INFO_LEVEL20	Bank: Steuerbefreiung
GUILDWINDOW_INFO_LEVEL25	+10 % EXP für Gebäude
GUILDWINDOW_INFO_LEVEL30	-10 % Landpacht
GUILDWINDOW_INFO_LEVEL35	-15 % Landpacht
GUILDWINDOW_INFO_LEVEL40	-20 % Landpacht
GUILDWINDOW_INFO_LEVEL_TEXT	Gildenlevel %d
GUILDWINDOW_LAND_BUY	Land erwerben
GUILDWINDOW_LAND_TAX	Pacht
GUILDWINDOW_LIST_ALL	Alle Reiche
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilde] Du hast dich bereits beworben.
GUILDWINDOW_LIST_APPLICANT_LIST	Bewerberliste
GUILDWINDOW_LIST_CHRACTER_JOB	Klasse
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Charaktername
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Lehre
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Mitglieder
GUILDWINDOW_LIST_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Gilde
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilde] Bitte gib einen Gildennamen ein.
GUILDWINDOW_LIST_LADDER	Rangpunkte
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilde] Diese Gilde hat keine Ausschreibung.
GUILDWINDOW_LIST_PROMOTE_GUILD	Bewerbung
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Bewerbungen
GUILDWINDOW_LIST_REGISTER_GUILD	Bei Gilde bewerben
GUILDWINDOW_LIST_SEARCH	Suchen
GUILDWINDOW_LIST_SELECT_GUILD	[Gilde] Bitte wähle eine Gilde, um dich zu bewerben.
GUILDWINDOW_PROMOTE_REFRESH	Werbung
GUILDWINDOW_PROMOTE_REGISTER	Werbung
GUILDWINDOW_REFUND_REDUCED_TAX	Nutzungskosten-Erstattung
GUILDWINDOW_SP_RECOVER	Drachenmacht
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Altar-Ausbau
GUILDWINDOW_UPGRADE_GUILDBANK	Bank-Ausbau
GUILD_ATTENDANCE_FAIL_ALREADY	Du hast heute bereits teilgenommen.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Du kannst jetzt nicht teilnehmen. Die Teilnahme wird immer um 5:00 Uhr zurückgesetzt.
GUILD_BANKINFO_CLOSE	Schließen
GUILD_BANKINFO_NAME	Mitglied
GUILD_BANKINFO_TYPE	Gegenstand/Währung
GUILD_BANKINFO_USETYPE	Aktion
GUILD_BANK_CLOSE	Schließen
GUILD_BANK_INFO	Gildenlager-Log
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Du hast dich erfolgreich für die Gildenschlacht angemeldet.
GUILD_BATTLE_AREA_INFO_TEXT	Verbleibende Zeit: %s\nVerbleibende Monster (%d/61)\nBlau: (%s) Gelb: (%s) Grün: (%s) Rot: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Monster in %s werden angegriffen.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Du kannst diesmal nicht an der Gildenschlacht teilnehmen, da schon alle Plätze belegt sind. Versuche es beim nächsten Mal wieder!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Du kannst noch nicht teilnehmen. Verbleibende Zeit: %d Minuten.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Du kannst nur vom ersten Dorf oder der Donganebene aus eintreten.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Es konnte kein passender Herausforderer für deine Gilde gefunden werden. Bitte versuche es beim nächsten Mal erneut.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Du hast nicht genügend Platz im Inventar.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Du erfüllst nicht alle Vorraussetzungen, um an der Gildenschlacht teilzunehmen.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Du kannst diese Zone nicht betreten, da sie bereits von einer anderen Gilde erobert wurde.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Du kannst das erst nutzen, wenn die Zone von deiner Gilde erobert wurde.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Nur der Gildenleiter kann diesen Gegenstand benutzen.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Du kannst das Gildenschlacht-Ticket nicht verwenden.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Das wurde bereits angewandt und kann nicht erneut verwendet werden.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Du musst warten, bis wenigstens 2 andere Gilden teilnehmen.
GUILD_BATTLE_DEAD_TO_PLAYER	Du wurdest von einem Mitglied der %s Gilde besiegt.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	Du hast aus der %s %s erhalten.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Die Gildenschlacht beginnt in %d Minuten. Du bist zur Teilnahme angemeldet. Halte dich bereit und gib dein Bestes!
GUILD_BATTLE_END_MESSAGE	Die Gildenschlacht ist vorüber.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Die Gildenschlacht endet in %d Minuten.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Du hast %s betreten. Besiege alle Monster!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Betreten
GUILD_BATTLE_ENTER_MESSAGE	Du wirst in Kürze für die Gildenschlacht angemeldet.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Du hast %s betreten.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Du bist Teil des blauen Teams. Verwende das Portal, um dich zur Gildenschlacht-Zone zu begeben.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Du bist Teil des grünen Teams. Verwende das Portal, um dich zur Gildenschlacht-Zone zu begeben.
GUILD_BATTLE_ENTER_OUTPOST_RED	Du bist Teil des roten Teams. Verwende das Portal, um dich zur Gildenschlacht-Zone zu begeben.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Du bist Teil des gelben Teams. Verwende das Portal, um dich zur Gildenschlacht-Zone zu begeben.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Du hast eine Gildenbelohnung erhalten. Du findest sie in deinem Inventar.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Du hast einen Buff als Belohnung erhalten! Schau dir das Buff-Icon an, um mehr zu erfahren.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Gildenbelohnung erhalten
GUILD_BATTLE_LIST_REMAIN_TIME	Verbleibende Zeit: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s hat %d Monster besiegt.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Du hast keinen Schlüssel des Siegers, um diese Truhe zu öffnen. Besiege Monster, um einen Schlüssel zu finden.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Schaffe Platz in deinem Inventar und versuche es dann erneut.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Du besitzt kein Gildenportal-Ticket.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Du kannst noch nicht teilnehmen, da deine Gilde in den letzten 24 Stunden gegründet wurde.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Die Zone wurde erobert. In Kürze öffnet sich ein Portal und Monster werden erscheinen, um dieses Gebiet zu verteidigen.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s wurde erobert. In Kürze öffnet sich ein Portal und Monster werden erscheinen, um dieses Gebiet zu verteidigen.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Diese Zone wurde bereits von einer anderen Gilde erobert. Du wirst in Kürze zum Gilden-Außenposten zurück teleportiert.
GUILD_BATTLE_ONGOING	Schlacht im Gange
GUILD_BATTLE_OPEN_REWARD_BOX	Möchtest du %s öffnen?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Die anderen Gilden kämpfen bereits.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Verbleibende Zeit: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Qualifiziert?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Die Schlacht beginnt in: %s
GUILD_BATTLE_PERSONAL_BUFF	Belohnungs-Buff
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Belohnungsbuff erhalten
GUILD_BATTLE_PK_GUILD_MESSAGE	%s hat %d Spieler aus anderen Gilden besiegt.
GUILD_BATTLE_PLAYER_KILL	Du hast ein Gildenmitglied von %s besiegt.
GUILD_BATTLE_QUALIFICATION	Besiege zur Teilnahme den Drachenkönig\noder verwende ein Gildenschlacht-Ticket.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Bitte versuche es erneut.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Du wirst in %s teleportiert.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Du wurdest mit der Gilden-Wiederbelebung wiederbelebt.
GUILD_BATTLE_START_MESSAGE	Die Gildenschlacht hat begonnen! Stelle dich der Herausforderung, indem du im Gildenschlacht-Menü auf "Betreten" klickst!
GUILD_BATTLE_STATUS_BOARD_PK	SC-Kills: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d / %d
GUILD_BATTLE_TEAM_NAME_BLUE	Blau
GUILD_BATTLE_TEAM_NAME_GREEN	Grün
GUILD_BATTLE_TEAM_NAME_RED	Rot
GUILD_BATTLE_TEAM_NAME_YELLOW	Gelb
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Du hast das Gildenportal-Ticket verwendet und wirst in Kürze zu %s teleportiert.
GUILD_BATTLE_USE_SCROLL	Möchtest du an der Gildenschlacht teilnehmen?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Deine Anmeldung zur Gildenschlacht wurde abgebrochen.
GUILD_BOARD_ID	Mitglied
GUILD_BOARD_TEXT	Nachricht
GUILD_BUILDING_CATEGORY_ALTAR	Altar
GUILD_BUILDING_CATEGORY_SMELT	Veredelungsgebäude
GUILD_BUILDING_CATEGORY_SPECIAL	Schreine
GUILD_BUILDING_CATEGORY_STORAGE	Gildenlager
GUILD_BUILDING_FIX_CHANGE	Möchtest du die Position wirklich verändern?
GUILD_BUILDING_FIX_CHANGE_GOLD	Kosten: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Möchtest du das Objekt wirklich löschen?
GUILD_BUILDING_FIX_NEED_BUILDING	Kein Gebäude vorhanden.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Du konntest nicht in dieses Gebäude investieren, da es verändert wurde.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Gebäude-Erfahrung
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Gebäude-Erfahrung investieren
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Du hast nicht genügend Platz im Inventar, um Spezial-Bautickets zu erhalten.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Du hast bereits alle deine Investitionsmöglichkeiten verbraucht.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Dir fehlen %s Gegenstände.
GUILD_BUILDING_INVEST_QUESTION	Möchtest du 1 %s in %s investieren?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s hat Level %s erreicht.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Dieses Gebäude hat bereits sein maximales Level erreicht und kann nicht weiter aufgewertet werden.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Du hast mit einem %s in %s %s EXP investiert.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Das Gildenlevel ist nicht hoch genug, um dieses Gebäude weiter aufwerten zu können. Erhöhe zunächst das Gildenlevel.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Landschaft
GUILD_BUILDING_LOG_PLUS	Stamm+
GUILD_BUILDING_NAME	Gebäudename
GUILD_BUILDING_PLY_PLUS	Sperrholz+
GUILD_BUILDING_SMELT_STONE	Runenstein
GUILD_BUILDING_STONE_PLUS	Fundamentstein+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Du hast keine Rechte zum Nutzen dieses Gegenstands.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Verbesserungsgebäude
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Veredelungsgebäude
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Schreine
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Schließen
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Name
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Gebäudetyp
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Erhaltene Menge
GUILD_CANNOT_HEAL_GSP_ANYMORE	Die Drachengeist-Energie ist bereits vollständig aufgeladen.
