ACCE_ABSORB_COST	ÊßÇáíİ ÇáÏãÌ: %d
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_HEART_CANNOT_EXTRACT_WHEN_EQUIP	áÇ íãßäß ÊØÈíŞ "ßãÇÔÉ ÇáÒãä" Úáì ÍÌÑ ÇáÊäíä ÇáãõÌåÒ ÍÇáíÇğ.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_CHANGE_ATTR	áÇ íãßä ÇÓÊÎÏÇã Ğáß ÃËäÇÁ ÊÛííÑ ãßÇİÂÊ ÍÌÑ ÇáÊäíä ÇáÃÓØæÑí.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_REFINE	áÇ íãßä ÇÓÊÎÏÇã åĞÇ ÃËäÇÁ ÊÍÓíä Ãæ ÊÑŞíÉ ÍÌÑ ÇáÊäíä.
DRAGON_SOUL_CANNOT_REFINE	áÇ íãßäß ÕŞá ÍÌÑ ÇáÊäíä åĞÇ.
DRAGON_SOUL_CANNOT_REFINE_MORE	áŞÏ æÕá ÍÌÑ ÇáÊäíä åĞÇ ÃÚáì ãÓÊæì íõãßä æÕæáå.
DRAGON_SOUL_EQUIP_WARNING1	Åä ÍĞİ ÍÌÑ ÇáÊäíä ãä ÌÏíÏ İí ÛÇíÉ ÇáÕÚæÈÉ.
DRAGON_SOUL_EQUIP_WARNING2	åá ÊÑÛÈ ÑÛã Ğáß İí ÇáÇÓÊãÑÇÑ¿
DRAGON_SOUL_EXPIRED	ÍÌÑ Êäíä ãõäÊåí ÇáÕáÇÍíÉ
DRAGON_SOUL_INVALID_DRAGON_SOUL	Åäå áíÓ ÍÌÑ ÇáÊäíä ÇáÍŞíŞí.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Åäå áíÓ ÈÍÌÑ Êäíä.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Åä åĞÇ áíÓ åæ ÍÌÑ ÇáÊäíä ÇáÍŞíŞí.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Åäß áÇ Êãáß ãÇ íßİí ãä ÇáãæÇÏ áÊäİíĞ ÚãáíÉ ÇáÕŞá.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	ãä ÃÌá %s\n ÓÊÍÊÇÌ Åáì: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	ÃäÊ áÇ ÊãÊáß ãÇ íßİí ãä ÇáíÇäÛ áÊÍæíá ÇáÚáÇæÉ.
DRAGON_SOUL_NOT_MATCHED_SLOT	Åä ÍÌÑ ÇáÊäíä áÇ íõäÇÓÈ åĞå ÇáİÊÍÉ.
DRAGON_SOUL_SEAL_CANNOT_CHANGE_ATTR	áÇ íãßä ÊÛííÑ ÇáÈäæÏ ÇáãÑÊÈØÉ ÈÇáÃÑæÇÍ.
DRAGON_SOUL_SEAL_CANNOT_EQUIP	áÇ íãßä ÊÌåíÒ ÍÌÑ ÇáÊäíä ÇáãÑÊÈØ ÈÇáÃÑæÇÍ.
DRAGON_SOUL_SEAL_CANNOT_EXTRACT	áÇ íãßäß ÊØÈíŞ åĞÇ Úáì ÃÍÌÇÑ ÇáÊäíä ÇáãÑÈæØÉ ÈÇáÑæÍ.
DRAGON_SOUL_SEAL_CANNOT_REFINE	áÇ íãßä ÊÍÓíä ÇáÈäæÏ ÇáãÑÊÈØÉ ÈÇáÃÑæÇÍ.
DRAGON_SOUL_SEAL_CANNOT_UN_EQUIP	áÇ íãßä Ñãí ÍÌÑ ÇáÊäíä ÇáãÑÊÈØ ÈÇáÃÑæÇÍ.
DRAGON_SOUL_STEP_LEVEL1	ÕİÇÁ: áÇãÓ¡
DRAGON_SOUL_STEP_LEVEL2	ÕİÇÁ: ÎÇáÕ¡
DRAGON_SOUL_STEP_LEVEL3	ÕİÇÁ: äÇÕÚ¡
DRAGON_SOUL_STEP_LEVEL4	ÕİÇÁ: áÇãÚ¡
DRAGON_SOUL_STEP_LEVEL5	ÕİÇÁ: ããÊÇÒ¡
DRAGON_SOUL_STRENGTH	ÇáãÓÊæì: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	ŞÏ íõÏãøÑ ÍÌÑ ÇáÊäíä ÃËäÇÁåÇ.
DRAGON_SOUL_UNEQUIP_WARNING2	åá ÊÑÛÈ ÑÛã Ğáß İí ÇáÇÓÊãÑÇÑ¿
DRAGON_SOUL_UNMATCHED_SLOT	ÅäåÇ áíÓÊ ÇáİÊÍÉ ÇáÕÍíÍÉ.
DRAGON_SOUL_UNQUALIFIED	áÇ íãßäß ÇÓÊÚãÇá ßíãíÇÁ ÍÌÑ ÇáÊäíä ÈÚÏ.
DROP_ITEM_FAILURE_EQUIP_ITEM	áÇ ÊÓÊØíÚ ÅÓŞÇØ ÇáÃÔíÇÁ ÇáãÌåÒÉ.
DROP_ITEM_FAILURE_PRIVATE_SHOP	áÇ íãßäß ÅÓŞÇØ Ãí ÔíÁ¡ ØÇáãÇ Ãäß Êãáß ãÊÌÑÇğ ÔÎÕíÇğ.
DROP_MONEY_FAILURE_1000_OVER	áÇ íãßäß ÅÓŞÇØ ÃßËÑ ãä 999 íÇäÛ.
DS_SYSTEM_MSG_1	ÇäÊ ÈÍÇÌÉ Åáì %s %d ãÑÇÊ.
DUNGEON_END_TIME_NOTICE	ÇáæŞÊ ÇáãÊÈŞí ááäãæĞÌ: %d
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	íÑÌì ÇÛáÇŞ ÌãíÚ ÇáäæÇİĞ ŞÈá İÊÍ äÇİĞÉ ÇáãÒÇÏ ÇáÓÑíÚ.
EASTER_EGG_CANT_GET_EGG_ANYMORE	áã íÚÏ ÈÅãßÇäß ÌãÚ ÇáãÒíÏ ãä ÈíÖ ÇÍÊİÇáíÉ ÇáãİÇÌÂÊ.
EASTER_EGG_CANT_USE_ANYMORE	áŞÏ ŞãÊ ÈÇáİÚá ÈÌãÚ ÇáÚÏÏ ÇáÃŞÕì ãä åĞÇ ÇáäæÚ ãä ÇáÈíÖ.
EASTER_EGG_CLICK_BANNER_AFTER_END_EVENT	ÇäÊåÊ ÇÍÊİÇáíÉ ÇáãõİÇÌÂÊ.
EASTER_EGG_COMPLETE_RABBIT_BELIEF	áŞÏ ÍŞŞÊ ÌãíÚ ÑÛÈÇÊ ÃÑäÈ ÚíÏ ÇáİÕÍ. İí æÇÌåÉ ÇáãÓÊÎÏã ÇáÎÇÕÉ ÈÇáÇÍÊİÇáíÉ¡ íãßäß ÇÓÊÈÏÇá ÈíÖ ÇÍÊİÇáíÉ ÇáãİÇÌÂÊ ÇáĞí ÌãÚÊå ÈÇáãßÇİÂÊ.
EASTER_EGG_EVENT_IS_END	ÇáÇÍÊİÇáíÉ ÛíÑ äÔØÉ ÍÇáíğÇ.
EASTER_EGG_GET_EGG	Óæİ ÊÊáŞì ÈíÖÉ ãİÇÌÃÉ.
EASTER_EGG_USE_EGG_ITEM	ÊãÊ ÅÖÇİÉ ÈíÖÉ ãİÇÌÃÉ Åáì æÇÌåÉ ÇáãÓÊÎÏã ÇáÎÇÕÉ ÈÇáÇÍÊİÇáíÉ.
ELEMENT_BUFF_DARK_TOOLTIP	íãßäß Ãä ÊÓÈÈ ÖÑÑğÇ ÅÖÇİíğÇ æÃäÊ ÊÍÊ ÊÃËíÑ ÒåÑÉ ŞæÉ ÇáÙáÇã.
ELEMENT_BUFF_EARTH_TOOLTIP	íãßäß Ãä ÊÓÈÈ ÖÑÑğÇ ÅÖÇİíğÇ æÃäÊ ÊÍÊ ÊÃËíÑ ÒåÑÉ ŞæÉ ÇáÃÑÖ.
ELEMENT_BUFF_ELECT_TOOLTIP	íãßäß Ãä ÊÓÈÈ ÖÑÑğÇ ÅÖÇİíğÇ æÃäÊ ÊÍÊ ÊÃËíÑ ÒåÑÉ ŞæÉ ÇáÈÑŞ.
ELEMENT_BUFF_FIRE_TOOLTIP	íãßäß Ãä ÊÓÈÈ ÖÑÑğÇ ÅÖÇİíğÇ æÃäÊ ÊÍÊ ÊÃËíÑ ÒåÑÉ ŞæÉ ÇáäÇÑ.
ELEMENT_BUFF_ICE_TOOLTIP	íãßäß Ãä ÊÓÈÈ ÖÑÑğÇ ÅÖÇİíğÇ æÃäÊ ÊÍÊ ÊÃËíÑ ÒåÑÉ ŞæÉ ÇáÌáíÏ.
ELEMENT_BUFF_NONE_TOOLTIP	íãßäß Ãä ÊÓÈÈ ÖÑÑğÇ ÅÖÇİíğÇ æÃäÊ ÊÍÊ ÊÃËíÑ ÒåÑÉ ŞæÉ ÇáØÇŞÉ.
ELEMENT_BUFF_WIND_TOOLTIP	íãßäß Ãä ÊÓÈÈ ÖÑÑğÇ ÅÖÇİíğÇ æÃäÊ ÊÍÊ ÊÃËíÑ ÒåÑÉ ŞæÉ ÇáÑíÇÍ.
EMOTION_ALCOHOL	ÓÎíİ!
EMOTION_ANGRY	ãõÛÖÈ
EMOTION_ATTRACTIVE	ÅÛÑÇÁ
EMOTION_BANTER	åÇÒÆ
EMOTION_BUSY	ÅäÔÛÇá
EMOTION_CALL	ãßÇáãÉ åÇÊİíÉ
EMOTION_CELEBRATION	ÇÍÊİÇá
EMOTION_CHARGING	ÅÚÇÏÉ ÔÍä
EMOTION_CHEERS_1	Êåáíá 1
EMOTION_CHEERS_2	Êåáíá 2
EMOTION_CHEERUP	Êåáíá
EMOTION_CHOOSE_ONE	ÇÎÊÑ åÏİÇğ ãÇ.
EMOTION_CLAP	ÊÕİíŞ
EMOTION_CLAP_KISS	ŞÈáÉ
EMOTION_CONGRATULATION	ÇáŞÈæá
EMOTION_DANCE_1	ÑŞÕÉ 1
EMOTION_DANCE_2	ÇáÑŞÕÉ 2
EMOTION_DANCE_3	ÑŞÕÉ 3
EMOTION_DANCE_4	ÇáÑŞÕÉ 4
EMOTION_DANCE_5	ÇáÑŞÕÉ 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	ÓÇãÈÇ
EMOTION_DOZE	äÚÇÓ
EMOTION_EXERCISE	ÊãÑíä
EMOTION_FORGIVE	ÇáÓãÇÍ
EMOTION_FRENCH_KISS	ŞÈáÉ ÍÇÑÉ
EMOTION_HUNGRY	ÌÇÆÚ
EMOTION_JOY	İÑÍ
EMOTION_LETTER	ÑÓÇáÉ ÍÈ
EMOTION_NOSAY	ÚÇÌÒ Úä ÇáßáÇã
EMOTION_PUSH_UP	ÊãÑíä ÑİÚ
EMOTION_SAD	ÍÒíä
EMOTION_SELFIE	Óíáİí
EMOTION_SHY	ÑİÖ
EMOTION_SIREN	ÅäĞÇÑ
EMOTION_SLAP	ÖÑÈÉ
EMOTION_SMH	ÈÑÌ ÌÍíã ÓæäÛ ãÇåí
EMOTION_WEATHER_1	ÔãÓ
EMOTION_WEATHER_2	ŞæÓ ŞÒÍ
EMOTION_WEATHER_3	ŞãÑ
EMOTION_WHIRL	ãÑÊÈß
EMPIRE_A	ÇãÈÑÇØæÑíÉ ÇáÔíäÓæ
EMPIRE_B	ÇãÈÑÇØæÑíÉ ÇáÔæäÌæ
EMPIRE_C	ÇãÈÑÇØæÑíÉ ÇáÌíäæ
EMPIRE_SELECT_MODE	ÇÎÊíÇÑ ÅãÈÑÇØæÑíÉ
EQUIPMENT_ADDITIONAL_PAGE_ACTIVE	Êã ÊäÔíØ ÕİÍÉ ÇáÚÊÇÏ ÇáÅÖÇİíÉ. íãßäß ÇáÚËæÑ ÚáíåÇ İí äÇİĞÉ ÇáÚÊÇÏ.
EQUIPMENT_ALREADY_USE_ITEM	áÇ íãßäß ÅÓÊÎÏÇãåÇ ãÌÏÏÇ.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE	áÇ íãßäß ÊÈÏíá ÇáÚÊÇÏ ÇáÌÇäÈí ÃËäÇÁ ÇäÔÛÇáß ÈÔíÁ ÂÎÑ.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE_ITEM	áÇ íãßäß ÊÛííÑ ÇáÚÊÇÏ ÇáÌÇäÈí ÚäÏãÇ íßæä áÏíß ÈäÏ ÛíÑ ÕÍíÍ ãÌåÒ.
EQUIPMENT_CHANGE_PAGE_COOLTIME_FAIL	íÑÌì ÇáãÍÇæáÉ ãÑÉ ÃÎÑì ÈÚÏ ÏŞíŞÉ.
EQUIPMENT_CHANGE_PAGE_SUCCESS	Êã ÊÛííÑ ÇáÚÊÇÏ ÇáÌÇäÈí.
EQUIPMENT_TITLE_NAME	äÇİĞÉ ÇáÚÊÇÏ
EXCHANGE_CANNOT_GIVE	áÇ íãßä ÇáãÊÇÌÑÉ ÈåĞÇ ÇáÔíÁ.
EXCHANGE_CANT_EDIT_MONEY	áÇ íãßäß ÊÛíÑ ÇáãÈáÛ ÇáÂä.
EXCHANGE_FAILURE_EQUIP_ITEM	áÇ íõãßäß ÇÓÊÈÏÇá ÇáãÚÏÇÊ ÇáãÏÌÌÉ.
EXCHANGE_MONEY	ãÈáÛ
EXCHANGE_TITLE	ÊÇÌöÑú ãÚ %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	áÇ ÒáÊ ÈÍÇÌÉ Åáì %d ÈäÏ ãä ÈäæÏ ÊæÓíÚ ŞÇÆãÉ ÇáÌÑÏ.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	ÇÓÊäİĞÊ ŞÇÆãÉ ÇáÌÑÏ ÇáÎÇÕÉ Èß ÚÏÏ ÈäæÏ ÇáÊæÓíÚ Çáããßä ÇáÇÓÊİÇÏÉ ãäåÇ áÊæÓíÚåÇ.
EXINVEN_USE_ITEM_QUESTION	åá ÊÑÛÈ İí ÒíÇÏÉ ÓÚÉ ŞÇÆãÉ ÇáÌÑÏ ÇáÎÇÕÉ Èß ÈÜÇÓÊÚãÇá %d ãä ÈäæÏ ÊæÓíÚ ŞÇÆãÉ ÇáÌÑÏ¿
FAILED_WARP_MAP_CHECK	áÇ íãßäß ÇÓÊÚãÇá åĞÇ åäÇ.
FISHING_FAILURE	áŞÏ ÃÖÚÊ ÇáØøõÚã.
FISHING_NOTIFY1	íÈÏæ Ãä %s ÚáöŞ İí ÇáØøõÚã.
FISHING_NOTIFY2	íÈÏæ Ãä %s ÓõÌä.
FISHING_RENEWAL_CANNOT_EMOTION	áÇ íãßäß ÅÓÊÎÏÇã ÇáÚÇØİÉ ÃËäÇÁ ÇáÕíÏ.
FISHING_RENEWAL_CANNOT_OPEN_1	áÇ íãßäß İÊÍå ÃËäÇÁ ÇáÕíÏ.
FISHING_RENEWAL_CANNOT_OPEN_2	áÇ íãßäß ÇáŞíÇã ÈåĞÇ ÇáÃãÑ ØÇáãÇ ÊŞæã ÈÇáÕíÏ.
FISHING_RENEWAL_QUESTION	áŞÏ ÃãÓßÊ ÇáÓãßÉ ÈÇáØÚã. åá ÊÑíÏ ÇáÅãÓÇß ÈåÇ¿
FISHING_RENEWAL_TIMEOUT	ÊÑÏÏÊ ßËíÑÇ. áŞÏ åÑÈÊ ÇáÓãßÉ.
FISHING_SUCCESS1	áŞÏ äÌÍÊ İí ÃÓÑ %s!
FISHING_SUCCESS2	áŞÏ ÓÍÈÊ %s ãä ÇáãÇÁ!
FISHING_UNKNOWN	íÈÏæ Ãä ÔíÆÇğ ãÇ ÚÖø ÇáÓäÇÑÉ¡ áßäí ÃÌåá ãÇåíÊå.
FISHING_WRONG_PLACE	áÇ íãßäß ÇáÕíÏ åäÇ.
FLOWER_EVENT_ENVELOPE_MAX	áã íÚÏ ÈÅãßÇäß ÇáÍÕæá Úáì ÈĞæÑ ÇáÒåæÑ.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	áŞÏ ÍÕáÊ Úáì ÈÑÇÚã ÃŞÍæÇä.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM_COUNT	áŞÏ ÍÕáÊ Úáì %d ãä ÈÑÇÚã ÃŞÍæÇä.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	áŞÏ ÍÕáÊ Úáì ÈÑÇÚã ÇáäÑÌÓ.
FLOWER_EVENT_GET_SHOOT_DAFFODIL_COUNT	áŞÏ ÍÕáÊ Úáì %d ãä ÈÑÇÚã ÇáäÑÌÓ.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	áŞÏ ÍÕáÊ Úáì ÈĞæÑ ÒåÑÉ.
FLOWER_EVENT_GET_SHOOT_LILY	áŞÏ ÍÕáÊ Úáì ÈÑÇÚã ÇáÒäÈŞ.
FLOWER_EVENT_GET_SHOOT_LILY_COUNT	áŞÏ ÍÕáÊ Úáì %d ãä ÈÑÇÚã ÇáÒäÈŞ.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	áŞÏ ÍÕáÊ Úáì ÈÑÇÚã ÒäÈŞ ÇáæÇÏí.
FLOWER_EVENT_GET_SHOOT_MAY_BELL_COUNT	áŞÏ ÍÕáÊ Úáì %d ãä ÈÑÇÚã ÒäÈŞ ÇáæÇÏí.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	áŞÏ ÍÕáÊ Úáì ÈÑÇÚã ÏæÇÑ ÇáÔãÓ.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER_COUNT	áŞÏ ÍÕáÊ Úáì %d ãä ÈÑÇÚã ÏæÇÑ ÇáÔãÓ.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	áÇ íãßäß ÇáãÊÇÌÑÉ ÈåĞÇ ÇáÈäÏ áÃä áÏíß ÈÇáİÚá ÇáÍÏ ÇáÃŞÕì ãä ÇáÈÑÇÚã.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	áíÓ áÏíß ãßÇä İÇÑÛ İí ŞÇÆãÉ ÇáÌÑÏ.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	áíÓ áÏíß ÇáÚÏÏ ÇáÕÍíÍ ãä ÇáÈÑÇÚã.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	áíÓ áÏíß ãÇ íßİí ãä ÈĞæÑ ÒåÑÉ.
FLOWER_EVENT_USE_ITEM_TEXT1	åá ÊæÏ ÇÓÊÈÏÇá ÇáÊÃËíÑ ÇáİÚÇá¿
FLOWER_EVENT_USE_ITEM_TEXT2	íãßä ááÚãáíÉ Ãä ÊİÔá ãÓÈÈÉ ĞÈæá ÇáÒåÑÉ.
FOOTBALL_EVENT_MESSAGE_BUTTON_COOLTIME	ÇáÑÌÇÁ ÅÚÇÏÉ ÇáãÍÇæáÉ áÇÍŞğÇ.
FOOTBALL_EVENT_MESSAGE_CANNOT_GET_FOOTBALL	áã íÚÏ ÈÅãßÇäß ÇáÍÕæá Úáì ßÑÇÊ ÇáŞÏã.
FOOTBALL_EVENT_MESSAGE_GET_FOOTBALL	áŞÏ ÍÕáÊ Úáì 1 ßÑÉ ÇáŞÏã.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_FOOTBALL	áÇ ÊãÊáß ãÇ íßİí ãä ßÑÇÊ ÇáŞÏã.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	áÇ íæÌÏ ãßÇä ßÇİí İí ŞÇÆãÉ ÇáÌÑÏ.
FOOTS_SOCKET_OPEN_FIRST	ÇÓÊÎÏã ãËŞÇÈ ÇáãÇÓ ÇáÃÓæÏ áÅÖÇİÉ İÊÍÇÊ áÃÍÌÇÑ ÔÈÍíÉ.
FORCE_EVENT_CANNOT_OPEN_UI	áŞÏ ÇäÊåÊ ÇÍÊİÇáíÉ "ÇÕÏÇÁ ÇáŞæÉ".
FORCE_EVENT_CAN_USE_BUTTON	ÕÏì ÕæÊß Şæí ÈãÇ íßİí áíÊã ÊİÚíáå!
FORCE_EVENT_EMPTY_NORMAL_FORCE_SLOT_TOOLTIP	íãßäß ÊÍÏíÏ ÕÏì ÇáŞæÉ ÇáÎÇÕ Èß Úä ØÑíŞ ÓÍÈå ãä ŞÇÆãÉ ÇáÌÑÏ.
FORCE_EVENT_EMPTY_SKILL_FORCE_SLOT_TOOLTIP	íãßäß ÊÍÏíÏ ÕÏì ÇáãåÇÑÉ ÇáÎÇÕ Èß Úä ØÑíŞ ÓÍÈå ãä ŞÇÆãÉ ÇáÌÑÏ.
FORCE_EVENT_END_NOTICE	áŞÏ ÇäÊåÊ ÇÍÊİÇáíÉ "ÇÕÏÇÁ ÇáŞæÉ".
FORCE_EVENT_FORCE_CHANGE_BUFF	áŞÏ ŞãÊ ÈÇáİÚá ÈÇÎÊíÇÑ ÕÏì. åá ÊÑíÏ ÊÛííÑå¿
FORCE_EVENT_FORCE_GAGUE_REMAIN_TIME	%d / %d ÏŞíŞÉ
FORCE_EVENT_FORCE_GAUGE_REFINE_TOOLTIP	ÇáÕÏì ÇáÎÇÕ Èß íßÊÓÈ ŞæÉ.
FORCE_EVENT_FORCE_NOTICE_CAN_USE_FORCE_BUFF	íãßä ÊİÚíá %s. ÊÍŞŞ ãä ÇáŞÇÆãÉ ĞÇÊ ÇáÕáÉ.
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_1	åá ÊÑÛÈ İí ÇÎÊíÇÑ %s¿
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_2	ÅĞÇ ŞãÊ ÈÊÛííÑ ÇáÕÏì ÇáãÍÏÏ¡ ÓíÊã ÅÚÇÏÉ ÖÈØ æŞÊ ÇááÚÈ.
FORCE_EVENT_FORCE_SLOT_REMAIN_TIME	ÇáæŞÊ ÇáãÊÈŞí:
FORCE_EVENT_INVALIED_SLOT_ITEM	íÌÈ Úáíß ÊİÚíá åĞå ÇáÎÇÕíÉ İí ÇáİÊÍÉ ÇáÃÎÑì.
FORCE_EVENT_NOTICE_REMAIN_PLAY_TIME	áŞÏ ÃæÕáÊ %s ÇáãÍÏÏÉ Åáì %d / %d
FORCE_EVENT_NOT_ENOUGH_FORCE_CANNOT_USE_BUTTON	ÕÏì ÕæÊß áíÓ ŞæíğÇ ÈãÇ íßİí áÇÓÊÎÏÇã åĞÇ ÈÚÏ.
FORCE_EVENT_NOT_ENOUGH_LEVEL	íÌÈ Ãä Êßæä ŞÏ ÈáÛÊ ÇáãÓÊæì 70 Úáì ÇáÃŞá ááãÔÇÑßÉ.
FORCE_EVENT_READY_TO_USE_FORCE_BUFF	íãßä ÊİÚíá %s. ÊÍŞŞ ãä ŞÇÆãÉ ÇáÕÏì.
FORCE_EVENT_REMOVE_REGIST_FORCE	åá ÊÑíÏ ÅÒÇáÉ ÇáÕÏì ÇáãÍÏÏ¿ ÓíÄÏí åĞÇ Åáì ÅÚÇÏÉ ÖÈØ æŞÊ ÇááÚÈ æÊÏãíÑ ÇáÕÏì.
FORCE_EVENT_START_NOTICE	áŞÏ ÈÏÃÊ ÇÍÊİÇáíÉ ÃÕÏÇÁ ÇáŞæÉ.
FOR_FEMALE	ááÅäÇË
FOR_MALE	ááĞßæÑ
FRAGMENT_COMB_COST	ÊßÇáíİ ÇáÏãÌ: %s
FREEZING_BUTTON_COOLTIME	ÇáÑÌÇÁ ÅÚÇÏÉ ÇáãÍÇæáÉ áÇÍŞğÇ.
GAME_CANNOT_MINING	áÇ íãßäß ÇÓÊÎÑÇÌ ÇáãÚÏä ÇáÎÇã ÃËäÇÁ ÑßæÈ ÇáÎíá.
GAME_CANNOT_PICK_ITEM	áÇ ÊÓÊØíÚ ÇáÍÕæá Úáì åĞÇ ÇáÔíÁ áÃä áÇÚÈÇğ ÂÎÑ Ûäãå.
GAME_GUILDWAR_NOW_JOIN	åá ÊÑÛÈ İí ÇáÇäÖãÇã Åáì ÍÑÈ ÇáÑæÇÈØ¿
GAME_INIT_ERROR_CURSOR	ÊÚĞÑ ÑÓã ãÄÔÑ ÇáãÇæÓ.
GAME_INIT_ERROR_DIRECTX	íÌÈ ÊËÈíÊ DirectX 8.1 áÊÔÛíá ÇááÚÈÉ.\nÊÈøöË DirectX 8.1 Ãæ ÃÚáì.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	ÊÚĞÑ ÇáÚËæÑ Úáì ÈØÇŞÉ ÕæÑ áÊÔÛíá ÇááÚÈÉ. \nÇáÑÌÇÁ ÇáÊÃßÏ ãä Ãä ÈØÇŞÉ ÇáÕæÑ İí ÍÇÓæÈß ÊÔÊÛá ÈÔßá ÕÍíÍ VGA CARD.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	áŞÏ ÊÚĞÑ ÇáÚËæÑ Úáì ÈØÇŞÉ ÇáÕæÑ. \nÊÍŞŞ ÅĞÇ áÏíß VGA-Card. \n íãßäß ÈÏáÇ Úä Ğáß ÇÓÊÚãÇá ãÓÑÚ ÇáÃÌåÒÉ. \n(ÖÚ ãÓÑÚ ÇáÃÌåÒÉ İí ÓÑÚÊåÇ ÇáŞÕæì \náæÍÉ ÇáÊÍßã -> ÚÑÖ> ÇáÎíÇÑÇÊ > ãÊØæÑ> ÈØÇŞÉ ÇáÊÓÌíá ÇÓÊßÔÇİ ÇáÃÎØÇÁ æÅÕáÇÍå)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	áÇ ÊÏÚã ÈØÇŞÉ ÇáÑÓæãÇÊ ááßãÈíæÊÑ äÙÇã ÇáäÇİĞÉ İí ãæÏ 32 bit.\nÇÎÊÑ ãæÏ 16 bit Ãæ ÇÓÊÚãá äÙÇã ÇáÔÇÔÉ ÇáßÇãáÉ.
GAME_INIT_ERROR_ITEM_PROTO	áÇ ÊæÌÏ åäÇß ãÚáæãÇÊ Úä åĞÇ ÇáÔíÁ.\nÇáÑÌÇÁ ÅÚÇÏÉ ÊËÈíÊ ÇááÚÈÉ.
