ACCEPT	Tamam
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayısı
GUILD_INFO_NAME	Lonca İsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatırım
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	İmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca İmzası
GUILD_MASTER_CHANGE_TITLEBAR	Lonca liderliğini bırak
GUILD_MEMBER_JOB	Sınıf
GUILD_MEMBER_KNIGHT	Savaşçı
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_OUT_TITLEBAR	Üyeyi çıkar
GUILD_MEMBER_PACE_ATTENDANCE	Katılım ({0}/{1})
GUILD_MEMBER_RANK	Sıra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatırım
GUILD_METIN_STONE	Zihin Taşı
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILLPAGE_LADDER	Sıralama Puanları
GUILD_SKILLPAGE_RANK	Rütbe
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayrağı
GUILD_WAR_ACCEPT	Savaş İlanı Kabulü
GUILD_WAR_ALLSCORE	Tüm Savaşlar
GUILD_WAR_BATTLE_TYPE	Savaş Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaşı İlanı
GUILD_WAR_ENEMY	Düşman
GUILD_WAR_GAINSCORE	Puanlar
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaş süresi
GUILD_WAR_GAMETIME_SIXTY	60 dak.
GUILD_WAR_GAMETIME_TEN	10 dak.
GUILD_WAR_GAMETIME_THIRTY	30 dak.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaş listesi
GUILD_WAR_REPORTLIST	Übersicht (Savaşlar: S, Galibiyet: G, Mağlubiyet: M, Berabere: B)
GUILD_WAR_SCORE	Savaş listesi
GUILD_WAR_SKILL	Lonca becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaşı
GUILD_WAR_TYPE_DIE	Arena Savaşı
GUILD_WAR_TYPE_FLAG	Bayrak Savaşı
GUILD_WAR_TYPE_NORMAL	Meydan Savaşı
GUILD_WAR_TYPE_TIGER	İmha Savaşı
GUILD_WAR_TYPE_TIME	Zaman Saldırısı
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Turlar
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taşı
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK	Tek seferli saldırıyı fareyi kullanarak etkinleştir.
HELP_ATTACK_KEY	Saldır: sol fare tuşu veya boşluk tuşu ile
HELP_AUTO_ATTACK	Otomatik saldırıyı fare kullanarak etkinleştirir.
HELP_CAMERA	Kamera Yönetimi
HELP_CHANGE_PK_MODE	Saldırı modunu değiştir: sol fare tuşu ayarını değiştir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaş Listesi ve Seçenekler)
HELP_CHAT	İlgili grupla sohbet etmek için metninin önüne şunlardan birini yaz: !(Genel), #(Grup) veya %(Lonca).
HELP_CLICK_OTHER_PLAYER	Başka bir oyuncuya sağla tıklayarak ticaret yapabilirsin, gruplar kurabilirsin ve onu düelloya davet edebilirsin.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü ayarlama: orta fare tuşu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü ayarını değiştir: sağ veya sol fare tuşu ile
HELP_EMOTINO	Tuş kombinasyonları <Ctrl> + <1~9> ile duygu simgeleri gösterebilirsin.
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesne Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuşları ile
HELP_HELP	Yardım göster: H ile
HELP_HELP_KEY	Yardım bölümü standart ayarları gösterir.
HELP_HP	Hayat Puanı (HP)
HELP_KEYSETTING	Oyun seçeneklerinde kendi tuş kombinasyonlarını oluşturabilirsin.
HELP_MESSENGER_WINDOW	Arkadaş listesini aç: Alt + M tuşları ile
HELP_MINIMAP	Küçük haritayı gösterir.
HELP_MINIMAP_QUEST	Küçük ve genel görünüm haritasında görevler yanıp sönerek görüntülenir.
HELP_MOUSE_LEFT	Sol mouse tuşunun işlevi
HELP_MOUSE_RIGHT	Sağ mouse tuşunun işlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuşları ve ok tuşları ile
HELP_OFF_QUESTSCROLL	-<CTRL> + Q ile görev dizilerini açıp kapatabilirsin.
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuşu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriş tuşu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuşu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuşu ile
HELP_OPEN_MINIMAP	Küçük Haritayı aç: Shift + M tuşları ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuşu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuşu ile
HELP_OPEN_WHISPER	Fısıltı Penceresini aç: üst karakter + giriş tuşu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritası'nı aç: M tuşu ile
HELP_PICK_ITEM	Nesneleri topla: ", Z veya sol fare tuşu ile
HELP_QUICKSLOT	Hızlı Erişim Alanları
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdır veya Print tuşu ile ("Metin2\screenshot" dosyası altında kaydedilecek)
HELP_SERVER	Sana sunucu ve kanalı gösterir.
HELP_SHOW_ALL_NAME	İsimleri göster: Alt tuşu ile
HELP_SKILL	Burada bir beceriyi sağ fare tuşuyla kullanabilirsin.
HELP_SP	Mana Puanı (SP)
HELP_SYSTEM_BUTTON	Sistem Tuşları
ICECREAM_EVENT_TITL	Yaz Etkinliği
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
KEYCHANGE_ACTION_WINDOW	Eylemler
KEYCHANGE_ATTACK	Saldır
KEYCHANGE_AUTORUN	Otomatik yürü
KEYCHANGE_AUTO_WINDOW	Otomatik Av
KEYCHANGE_BASEACTION	Temel Ayarlar
KEYCHANGE_CAM_DOWN1	Kamera (aşağı)
KEYCHANGE_CAM_DOWN2	Kamera (aşağı)
KEYCHANGE_CAM_LEFT1	Kamera (sol)
KEYCHANGE_CAM_LEFT2	Kamera (sol)
KEYCHANGE_CAM_RIGHT1	Kamera (sağ)
KEYCHANGE_CAM_RIGHT2	Kamera (sağ)
KEYCHANGE_CAM_UP1	Kamera (yukarı)
KEYCHANGE_CAM_UP2	Kamera (yukarı)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (büyüteç -)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (büyüteç -)
KEYCHANGE_CANCLE	İptal
KEYCHANGE_CHAT_WINDOW	Sohbet Protokolü
KEYCHANGE_CLEAR	Standart
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Geri
KEYCHANGE_DOWN2	Geri
KEYCHANGE_DRAGON_GATE	
KEYCHANGE_DSS1	DS [Gökyüzü]
KEYCHANGE_DSS2	DS [Dünya]
KEYCHANGE_EMOTION1	İfade (üzgün)
KEYCHANGE_EMOTION2	İfade (Yang)
KEYCHANGE_EMOTION3	İfade (müzik)
KEYCHANGE_EMOTION4	İfade (kalp)
KEYCHANGE_EMOTION5	İfade (kalp)
KEYCHANGE_EMOTION6	İfade (bomba)
KEYCHANGE_EMOTION7	İfade (fikir)
KEYCHANGE_EMOTION8	İfade (fırtına)
KEYCHANGE_EMOTION9	İfade (özür)
KEYCHANGE_GUILD_WINDOW	Lonca
KEYCHANGE_HELP_WINDOW	Yardım
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada kullanılamaz!
KEYCHANGE_INGAMEEVENT	ETKİNLİK
KEYCHANGE_INTERFACE	Pencere
KEYCHANGE_INVENTORY_WINDOW	Envanter
KEYCHANGE_KEY_SETTING	Klavye Ayarları
KEYCHANGE_LEFT1	Sol
KEYCHANGE_LEFT2	Sol
KEYCHANGE_MERCENARY	Paralı asker
KEYCHANGE_MESSENGER_WINDOW	Arkadaşlar
KEYCHANGE_MINIMAP_MINER	Mini Harita (-)
KEYCHANGE_MINIMAP_PLUS	Mini Harita (+)
KEYCHANGE_MINIMAP_WINDOW	Genel Görünüm Haritası
KEYCHANGE_MONSTER_CARD_WINDOW	Canavar Kartı
KEYCHANGE_NEXT_TARGET	Sonraki hedef
KEYCHANGE_PARTY_MATCH_WINDOW	Grup araması
KEYCHANGE_PASSIVE_ATTR1	Kalıntı bonusu (Gökyüzü)
KEYCHANGE_PASSIVE_ATTR2	Kalıntı bonusu (Dünya)
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Görev göstergesi
KEYCHANGE_QUEST_WINDOW	Görevler
KEYCHANGE_QUICKSLOT1	1. kat
KEYCHANGE_QUICKSLOT2	2. kat
KEYCHANGE_QUICKSLOT3	3. kat
KEYCHANGE_QUICKSLOT4	4. kat
KEYCHANGE_RIDE	Biniş
KEYCHANGE_RIDE_BYE	Atı gönder
KEYCHANGE_RIDE_HORSE	Biniş
KEYCHANGE_RIDE_PEED	Atı yemle
KEYCHANGE_RIGHT1	Sağ
KEYCHANGE_RIGHT2	Sağ
KEYCHANGE_ROOT1	Topla
KEYCHANGE_ROOT2	Topla
KEYCHANGE_SAVE	Kaydet
KEYCHANGE_SCREENSHOT	Şipşak
KEYCHANGE_SHOW_NAME	İsmi göster
KEYCHANGE_SKILL_WINDOW	Beceriler
KEYCHANGE_SLOT1	Slot 1 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT2	Slot 2 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT3	Slot 3 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT4	Slot 4 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT5	Slot 5 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT6	Slot 6 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT7	Slot 7 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT8	Slot 8 (mevcut Quickslot sayfası)
KEYCHANGE_SLOT_KET	Hızlı Erişim
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_SUNGMAHEE_GATE_ACHIEV	Kupa
KEYCHANGE_UP1	İleri
KEYCHANGE_UP2	İleri
LANGUAGE_AE	Arapça
LANGUAGE_CZ	Çekçe
LANGUAGE_DE	Almanca
LANGUAGE_DK	Danca
LANGUAGE_EN	İngilizce
LANGUAGE_ES	İspanyolca
LANGUAGE_FR	Fransızca
LANGUAGE_GR	Yunanca
LANGUAGE_HU	Macarca
LANGUAGE_IT	İtalyanca
LANGUAGE_NL	Flamanca
LANGUAGE_NONE	Hiçbir şey seçilmemiş
LANGUAGE_PL	Lehçe
LANGUAGE_PT	Portekizce
LANGUAGE_RO	Rumence
LANGUAGE_RU	Rusça
LANGUAGE_TR	Türkçe
LEFT_SEAT	AFK
LEFT_SEAT_10_MIN	10 dak.
LEFT_SEAT_30_MIN	30 dak.
LEFT_SEAT_60_MIN	60 dak.
LEFT_SEAT_90_MIN	90 dak.
LEFT_SEAT_120_MIN	120 dak.
LEFT_SEAT_180_MIN	180 dak.
LEFT_SEAT_LOGOUT	Çıkış
LEFT_SEAT_OFF	KAPALI
LOAD_ERROR	Dosya hasar görmüş. Lütfen yenisini yükleyiniz. Şimdi ESC tuşuna basınız .
LOGIN_CONNECT	Bağlan
LOGIN_CONNECTING	Servera bağlanacaksınız.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çıkış
LOGIN_ID	Kullanıcı adı
LOGIN_PASSWORD	Şifre
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çıkış
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server Seç
LOOTING_SYSTEM_ARMOR	Zırh
LOOTING_SYSTEM_CATEGORY_COMMON	Diğer
LOOTING_SYSTEM_CATEGORY_COMMON_BELT	Kemer
LOOTING_SYSTEM_CATEGORY_COMMON_EAR	Küpeler
LOOTING_SYSTEM_CATEGORY_COMMON_FOOTS	Ayakkabı
LOOTING_SYSTEM_CATEGORY_COMMON_GLOVE	Eldiven
LOOTING_SYSTEM_CATEGORY_COMMON_NECK	Kolyeler
LOOTING_SYSTEM_CATEGORY_COMMON_PENDANT	Tılsımlar
LOOTING_SYSTEM_CATEGORY_COMMON_PICK	Kazma
LOOTING_SYSTEM_CATEGORY_COMMON_ROD	Oltalar
LOOTING_SYSTEM_CATEGORY_COMMON_SHIELD	Kalkanlar
LOOTING_SYSTEM_CATEGORY_COMMON_WRIST	Bilezikler
LOOTING_SYSTEM_CATEGORY_COSTUME	Kostüm
LOOTING_SYSTEM_CATEGORY_COSTUME_ACCE	Kuşaklar
LOOTING_SYSTEM_CATEGORY_COSTUME_ARMOR	Kostümler
LOOTING_SYSTEM_CATEGORY_COSTUME_AURA	Aura giysileri
LOOTING_SYSTEM_CATEGORY_COSTUME_ETC	Diğerleri
LOOTING_SYSTEM_CATEGORY_COSTUME_HAIR	Saç modelleri
LOOTING_SYSTEM_CATEGORY_COSTUME_WEAPON	Silah görünümleri
LOOTING_SYSTEM_CATEGORY_DS	Tür
LOOTING_SYSTEM_CATEGORY_DS_DS	Cor Draconis
LOOTING_SYSTEM_CATEGORY_DS_ETC	Diğerleri
LOOTING_SYSTEM_CATEGORY_ETC	Diğerleri
LOOTING_SYSTEM_CATEGORY_ETC_ETC	Diğerleri
LOOTING_SYSTEM_CATEGORY_ETC_GIFTBOX	Hediye kutuları
LOOTING_SYSTEM_CATEGORY_ETC_MATRIMONY	Düğün ve evlilik
LOOTING_SYSTEM_CATEGORY_ETC_PARTY	Grup
LOOTING_SYSTEM_CATEGORY_ETC_POLYMORPH	Dönüşüm
LOOTING_SYSTEM_CATEGORY_ETC_RECIPE	Üretim
LOOTING_SYSTEM_CATEGORY_ETC_SEAL	Parşömen
LOOTING_SYSTEM_CATEGORY_ETC_WEAPON_ARROW	Oklar
LOOTING_SYSTEM_CATEGORY_FISH_MINING	Tür
LOOTING_SYSTEM_CATEGORY_FISH_MINING_ETC	Diğerleri
LOOTING_SYSTEM_CATEGORY_FISH_MINING_FOOD	Besin
LOOTING_SYSTEM_CATEGORY_FISH_MINING_STONE	Cevher & taşlar
LOOTING_SYSTEM_CATEGORY_JOB	Sınıf
LOOTING_SYSTEM_CATEGORY_JOB_ASSASSIN	Ninja
LOOTING_SYSTEM_CATEGORY_JOB_PUBLIC	Diğer
LOOTING_SYSTEM_CATEGORY_JOB_SHAMAN	Şaman
LOOTING_SYSTEM_CATEGORY_JOB_SURA	Sura
LOOTING_SYSTEM_CATEGORY_JOB_WARRIOR	Savaşçı
LOOTING_SYSTEM_CATEGORY_JOB_WOLFMAN	Lycan
LOOTING_SYSTEM_CATEGORY_MOUNT_PET	Tür
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_CHARGED_PET	Petler
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_EGG	Pet yumurtaları
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_FREE_PET	Pet aksesuarları
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_MOUNT	Binek hayvanlar
LOOTING_SYSTEM_CATEGORY_POTION	Tür
LOOTING_SYSTEM_CATEGORY_POTION_ABILITY	Kullanım malzemeleri
LOOTING_SYSTEM_CATEGORY_POTION_ETC	Diğerleri
LOOTING_SYSTEM_CATEGORY_POTION_HAIRDYE	Saç renkleri
LOOTING_SYSTEM_CATEGORY_REFINE	Tür
LOOTING_SYSTEM_CATEGORY_REFINE_ALCHEMY	Olasılığı yükseltir
LOOTING_SYSTEM_CATEGORY_REFINE_ETC	Diğerleri
LOOTING_SYSTEM_CATEGORY_REFINE_MATERIAL	Malzemeler
LOOTING_SYSTEM_CATEGORY_REFINE_STONE	Zihin taşı
LOOTING_SYSTEM_CATEGORY_UNIQUE	Tür
LOOTING_SYSTEM_CATEGORY_UNIQUE_ABILITY	Tüketim malzemeleri
LOOTING_SYSTEM_CATEGORY_UNIQUE_ETC	Diğerleri
LOOTING_SYSTEM_COMMON	Diğer ekipmanlar
LOOTING_SYSTEM_COSTUME	Kostüm
LOOTING_SYSTEM_DS	Ejderha taşı simyası
LOOTING_SYSTEM_ETC	Başka eşya
LOOTING_SYSTEM_EVENT	Etkinlik eşyası
LOOTING_SYSTEM_EXIT_WITHOUT_SAVING	Kaydetmeden kapat?
LOOTING_SYSTEM_EXIT_WITH_SAVING	Kaydet ve kapat? Değişiklikler yağma kartını kullanmaya başladığın an gerçekleşecek.
LOOTING_SYSTEM_FISH_MINING	Balıkçılık & madencilik
LOOTING_SYSTEM_HEAD	Kask
LOOTING_SYSTEM_INIT	Sıfırla
LOOTING_SYSTEM_INIT_QUESTION_DIALOG_TITLE	Ayarları sıfırlamak istiyor musun?
LOOTING_SYSTEM_MESSAGE_ENABLE_VOUCHER	Özellikler, yağma kartı ile etkinleştirilir
LOOTING_SYSTEM_MESSAGE_POSSIBLE_ITEM_PICKUP	Ayarlarına uygun ganimet alırsın.
LOOTING_SYSTEM_MOUNT_PET	Binek & petler
LOOTING_SYSTEM_OFF	KAPALI
LOOTING_SYSTEM_ON	AÇIK
LOOTING_SYSTEM_POTION	İksirler
LOOTING_SYSTEM_QUESTION_ARMOR	Burada zırhlar için toplama parametrelerini ayarlayabilirsin.
LOOTING_SYSTEM_QUESTION_COMMON	Tüm sınıflar tarafından kullanılabilen diğer eşyalar için toplama parametrelerini ayarlayabilirsin.
LOOTING_SYSTEM_QUESTION_COSTUME	Buradan kostümlerin için toplama parametrelerini belirleyebilirsin (silahlar, zırhlar, başlıklar, kuşaklar ve aura giysileri).
LOOTING_SYSTEM_QUESTION_DS	Burada ejderha taşı simyası eşyaları için toplama parametrelerini ayarlayabilirsin.
LOOTING_SYSTEM_QUESTION_ETC	Buradan ekipman, kostüm, arındırma, iksir, binek, pet, balıkçılık, madencilik, beceri kitabı, ve etkinlik eşyası gibi diğer kategorilerdeki toplama parametrelerini belirleyebilirsin.
LOOTING_SYSTEM_QUESTION_EVENT	Burada etkinlik eşyaları için toplama parametrelerini ayarlayabilirsin.
LOOTING_SYSTEM_QUESTION_FISH_MINING	Buradan balıkçılık ve madencilik eşyaları için toplama parametrelerini belirleyebilirsin.
LOOTING_SYSTEM_QUESTION_HEAD	Burada miğferler için toplama parametrelerini ayarlayabilirsin.
LOOTING_SYSTEM_QUESTION_MOUNT_PET	Buradan binek ve petler için toplama parametrelerini belirleyebilirsin.
LOOTING_SYSTEM_QUESTION_POTION	Buradan iksirler için toplama parametrelerini belirleyebilirsin.
LOOTING_SYSTEM_QUESTION_REFINE	Buradan arındırma eşyaları için toplama parametrelerini belirleyebilirsin.
LOOTING_SYSTEM_QUESTION_SKILL_BOOK	Belirli sınıflar için beceri kitapları ve at becerileri içerir.
LOOTING_SYSTEM_QUESTION_UNIQUE	Burada eşsiz eşyalar için toplama parametrelerini ayarlayabilirsin.
LOOTING_SYSTEM_QUESTION_WEAPON	Oklar dışında kuşanılabilen tüm silahlar, silahlar grubuna aittir.
LOOTING_SYSTEM_REFINE	Arındırma
LOOTING_SYSTEM_SAVE	Kaydet
LOOTING_SYSTEM_SKILL_BOOK	Beceri kitabı
LOOTING_SYSTEM_TITLE	Yağma filtresi
LOOTING_SYSTEM_UNIQUE	Eşsiz
LOOTING_SYSTEM_WEAPON	Silah
LOOTING_SYSTEM_WEARING_LEVEL	Gerekli seviye
LUCKY_BOX_NOTICE_YANG	Yeni eşya şansı için Yang bedeli
LUCKY_BOX_RECV_BUTTON	Eşyayı kabul et
LUCKY_BOX_RECV_NAME	İçerik:
LUCKY_BOX_RETRY_BUTTON	Yeni eşya şansı
LUCKY_BOX_TITLE_NAME	Şans kutusu
MAILBOX_POST_ALL_DELETE_BUTTON	Tümünü sil
MAILBOX_POST_ALL_RECEIVE	Tümünü kabul et
MAILBOX_POST_READ_BLOCK	Engelle
MAILBOX_POST_READ_DELETE	Sil
MAILBOX_POST_READ_FROM	Bundan:
MAILBOX_POST_READ_MAIN_TITLE	Mesaj
MAILBOX_POST_READ_RECV	Kabul et
MAILBOX_POST_READ_TITLE	Konu
MAILBOX_POST_SEND_TITLE	Mesaj
MAILBOX_POST_WRITE_BUTTON_TEXT	Gönder
MAILBOX_POST_WRITE_CLOSE_TEXT	Kapat
MAILBOX_POST_WRITE_CONFIRM_TEXT	Alıcıyı kontrol et
MAILBOX_POST_WRITE_SEND_TEXT	Gönder
MAILBOX_POST_WRITE_TITLE	Konu
MAILBOX_POST_WRITE_TO	Alıcı
MAILBOX_TITLE	Gelen kutusu
MALL_PASSWORD_TITLE	şifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasını kaydet
MC_ACHIEV_ABLE_REGIST	Talep et
MC_ACHIEV_APPLY	Uygula
MC_ACHIEV_APPLYING	Etkin
MC_ACHIEV_BONUS_NONE	Bonus yok
MC_ACHIEV_DISABLE	Etkin değil
MC_ACHIEV_DUNGEON	Zindan başarıları
MC_ACHIEV_DUNGEON_BONUS	Zindan Bonusu
MC_ACHIEV_FIELD	Alan başarıları
MC_ACHIEV_FIELD_BONUS	Alan bonusu
MC_ACHIEV_REGIST	Başarı talep et
MC_ACHIEV_SHOW	Ayrıntılar
MC_ACHIEV_SORT_ABLE_REGIST	Talep et
MC_ACHIEV_SORT_ALL	Tümü
MC_ACHIEV_SORT_APPLYING	Etkin
MC_ACHIEV_SORT_DISABLE	Erişilmemiş
MC_ACHIEV_SORT_REGIST	Etkinleştirilebilir
MC_EXCHANGE_BUTTON	Değiştir
MC_MISSION_INIT_BUTTON	Görev seviyesini sıfırla
MC_MOTION_BUTTON	Hareket
MC_POLY_BUTTON	Dönüştür
MC_PROMOTION_BUTTON	Geliştir
MC_REQUEST_MISSION_BUTTON	Görev alındı
MC_REWARD_CARD_BUTTON	Canavar kartı alındı
MC_SHUFFLE_BUTTON	Görev kartını yeniden düzenle
MC_SUMMON_BUTTON	Çağır
MC_TAB_BUTTON_ACHIEV	Başarı bonusları
MC_TAB_BUTTON_CARD_MISSION	Kart görevi
MC_TAB_BUTTON_PARTY	Zindan koleksiyonu
MC_TAB_BUTTON_SOLO	Alan koleksiyonu
MC_WARP_BUTTON	Işınlanma
MERCENARY_MANAGE_DELAY_CURE	Yavaş İyileştirme
MERCENARY_MANAGE_DRAIN_MAIN	Eğitilecek paralı asker
MERCENARY_MANAGE_DRAIN_START	Eğitim
MERCENARY_MANAGE_DRAIN_SUB	Eğitimci paralı asker
MERCENARY_MANAGE_EXP	Paralı asker tecrübe puanı
MERCENARY_MANAGE_FIRE	Kov
MERCENARY_MANAGE_IMMEDIATELY_CURE	Anında İyileştirme
MERCENARY_MANAGE_INFO	Paralı asker bilgisi
MERCENARY_MANAGE_LEVEL	Paralı asker seviyesi
MERCENARY_MANAGE_LEVELUP	Paralı asker seviyesin artır
MERCENARY_MANAGE_NAME	İsim
MERCENARY_MANAGE_NEXT_EXP	Gereken misyon EXP
MERCENARY_MANAGE_NEXT_LEVEL	Sonraki seviye
MERCENARY_MANAGE_REGIST_DRAIN	Eğitim
MERCENARY_MANAGE_SKILL	Beceri
MERCENARY_MANAGE_SPECIFICITY	Uzmanlık
MERCENARY_MISSION_ACTIVE	Dayanıklılık
MERCENARY_MISSION_ALL_CANCLE	Tümünü kov
MERCENARY_MISSION_AUTO_JOIN	Otomatik seçim
MERCENARY_MISSION_BONUS_REWARD	Ekstra ödül kazandın!
MERCENARY_MISSION_CURRENT_INFO	Güncel misyon durumu
MERCENARY_MISSION_DECREASE_RUNTIME	Misyon süresini düşür
MERCENARY_MISSION_DECREAS_INJURE	Yaralanma riskini düşür
MERCENARY_MISSION_DISPATCH_BENEFITS	Birlik avantajı
MERCENARY_MISSION_DISPATCH_MERCENARY	Paralı asker gönder
MERCENARY_MISSION_EXP_BONUS	Bonus tecrübe puanı kazandın!
MERCENARY_MISSION_INFO	Misyon bilgisi
MERCENARY_MISSION_JOIN	Katıl
MERCENARY_MISSION_LIMIT_ACTIVE	Gereken dayanıklılık
MERCENARY_MISSION_LIMIT_LEVEL	Gereken paralı asker seviyesi
MERCENARY_MISSION_MERCENARY_LIST	Alınan paralı askerler
MERCENARY_MISSION_REGIST	Misyonlar
MERCENARY_MISSION_REWARD_LIST	Ödüller
MERCENARY_MISSION_SUCCESS_PCT	Başarı şansı
MERCENARY_MISSION_SUGGESTION	Tavsiye edilen paralı askerler
MERCENARY_MISSION_TYPE	Misyon türü
MERCENARY_TITLE	Paralı asker sistemi
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaş Ekle
MESSENGER_BLOCK	Engelle
MESSENGER_BLOCK_FRIEND	Engelle
MESSENGER_DELETE_FRIEND	Sil
MESSENGER_MOBILE	Metin Mesajı Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaşlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fısıltı
MINIGAME_FISH_EVENT_USE_COUNT	Miktar
MINIMIZE	Küçült
MINI_BOSS_DUNGEON_DESC_BTN	Etkinlik kuralları
MINI_BOSS_DUNGEON_TITLE_NAME	Katılımcılar
MINI_BOSS_DUNGEON_TITLE_NUM	Rütbe
MINI_BOSS_DUNGEON_TITLE_POINT	Kıyamet puanları
MINI_BOSS_DUNGEON_TOOTIP_01	Zindan genel görünümü
MINI_BOSS_DUNGEON_TOOTIP_02	Seviye 40 - 80 için kıyamet
MINI_BOSS_DUNGEON_TOOTIP_03	Seviye 81 üstü kıyamet
MINI_BOSS_DUNGEON_TOOTIP_04	Gir
MINI_BOSS_DUNGEON_TOOTIP_05	Kalan süre
MINI_BOSS_DUNGEON_TOOTIP_06	Kıyamet puanlarım
MINI_BOSS_DUNGEON_TOOTIP_07	Kalan kıyametler
