ACCE_ABSORB_COST	Êüóôïò óõíäõáóìïı: %d
DETAILS_TOOLTIP_21	Ğéèáíüôçôá äéáôñçôéêïı ÷ôõğŞìáôïò: ÁõîÜíåé ôçí ğéèáíüôçôá íá ğåôı÷åéò İíá äéáôñçôéêü ÷ôığçìá.
DETAILS_TOOLTIP_22	Áíôßóôáóç óå êñßóéìï ÷ôığçìá: Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü êñßóéìï ÷ôığçìá.
DETAILS_TOOLTIP_23	Áíôßóôáóç óå äéáôñçôéêü ÷ôığçìá: Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü äéáôñçôéêü ÷ôığçìá.
DETAILS_TOOLTIP_24	Ìåéşíåé ôç æçìéÜ ğïõ ğáèáßíåéò áğü êÜğïéá ôİñáôá.
DETAILS_TOOLTIP_25	Ìåéşíåé ôç æçìéÜ ğïõ ğáèáßíåéò áğü êÜğïéá ôİñáôá.
DETAILS_TOOLTIP_26	Áíôßóôáóç óôï óêïôÜäé: Ìåéşíåé ôç æçìéÜ ğïõ ğáèáßíåéò áğü êÜğïéá ôİñáôá.
DETAILS_TOOLTIP_27	Ìåéşíåé ôç æçìéÜ ğïõ ğáèáßíåéò áğü êÜğïéá ôİñáôá.
DETAILS_TOOLTIP_28	Ìåéşíåé ôç æçìéÜ ğïõ ğáèáßíåéò áğü êÜğïéá ôİñáôá.
DETAILS_TOOLTIP_29	Ìåéşíåé ôç æçìéÜ ğïõ ğáèáßíåéò áğü êÜğïéá ôİñáôá.
DETAILS_TOOLTIP_30	ÁõîÜíåé ôç æçìéÜ ğïõ ğñïêáëåßò ìİóù ôçò äıíáìçò ôçò áóôñáğŞò.
DETAILS_TOOLTIP_31	ÁõîÜíåé ôç æçìéÜ ğïõ ğñïêáëåßò ìİóù ôçò äıíáìçò ôïõ ğÜãïõ.
DETAILS_TOOLTIP_32	ÁõîÜíåé ôç æçìéÜ ğïõ ğñïêáëåßò ìİóù ôçò äıíáìçò ôïõ óêüôïõò.
DETAILS_TOOLTIP_33	ÁõîÜíåé ôç æçìéÜ ğïõ ğñïêáëåßò ìİóù ôçò äıíáìçò ôçò öùôéÜò.
DETAILS_TOOLTIP_34	ÁõîÜíåé ôç æçìéÜ ğïõ ğñïêáëåßò ìİóù ôçò äıíáìçò ôïõ áíİìïõ.
DETAILS_TOOLTIP_35	ÁõîÜíåé ôç æçìéÜ ğïõ ğñïêáëåßò ìİóù ôçò äıíáìçò ôçò ãçò.
DETAILS_TOOLTIP_36	Äıíáìç åíÜíôéá óå Ğïëåìéóôİò: Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå Ğïëåìéóôİò.
DETAILS_TOOLTIP_37	Äıíáìç åíÜíôéá óå Íßíôæá: Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå Íßíôæá.
DETAILS_TOOLTIP_38	Äıíáìç åíÜíôéá óå Sura: Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå Sura.
DETAILS_TOOLTIP_39	Äıíáìç åíÜíôéá óå ÓáìÜíïõò: Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå ÓáìÜíïõò.
DETAILS_TOOLTIP_40	Äıíáìç åíÜíôéá óå Ëõêáíïıò: Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå Ëõêáíïıò.
DETAILS_TOOLTIP_41	Ğéèáíüôçôá Üìõíáò åíÜíôéá óå åğéèİóåéò ğïëåìéóôşí: Ìåéşíåé ôç æçìéÜ ğïõ áğïêôÜò áğü ğïëåìéóôİò.
DETAILS_TOOLTIP_42	Ğéèáíüôçôá Üìõíáò åíÜíôéá óå åğéèİóåéò Íßíôæá: Ìåéşíåé ôç æçìéÜ ğïõ áğïêôÜò áğü Íßíôæá.
DETAILS_TOOLTIP_43	Ğéèáíüôçôá Üìõíáò åíÜíôéá óå åğéèİóåéò Sura: Ìåéşíåé ôç æçìéÜ ğïõ áğïêôÜò áğü Sura.
DETAILS_TOOLTIP_44	Ğéèáíüôçôá Üìõíáò åíÜíôéá óå åğéèİóåéò ÓáìÜíùí: Ìåéşíåé ôç æçìéÜ ğïõ áğïêôÜò áğü ÓáìÜíïõò.
DETAILS_TOOLTIP_45	Ğéèáíüôçôá Üìõíáò åíÜíôéá óå åğéèİóåéò Ëõêáíşí: Ìåéşíåé ôç æçìéÜ ğïõ áğïêôÜò áğü Ëõêáíïıò.
DETAILS_TOOLTIP_46	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü îßöïò.
DETAILS_TOOLTIP_47	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü äß÷åéñï üğëï.
DETAILS_TOOLTIP_48	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü óôéëİôï.
DETAILS_TOOLTIP_49	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü íı÷éá.
DETAILS_TOOLTIP_50	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü ìéá ÊáìğÜíá.
DETAILS_TOOLTIP_51	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü âåíôÜëéá.
DETAILS_TOOLTIP_52	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü ôüîï êáé âİëïò.
DETAILS_TOOLTIP_53	ÁõîÜíåé ôçí ğéèáíüôçôá íá ğñïêáëİóåéò Ëéğïèõìßá óå İíáí áíôßğáëï.
DETAILS_TOOLTIP_54	ÁõîÜíåé ôçí ğéèáíüôçôá íá åğéâñáäıíåéò İíáí áíôßğáëï.
DETAILS_TOOLTIP_55	ÁõîÜíåé ôçí ğéèáíüôçôá íá äçëçôçñéÜóåéò İíáí áíôßğáëï.
DETAILS_TOOLTIP_56	Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü ÄçëçôŞñéï.
DETAILS_TOOLTIP_57	ÁõîÜíåé ôçí ğéèáíüôçôá íá ğñïêáëİóåéò Åğßèåóç áéìïññáãßáò.
DETAILS_TOOLTIP_58	Áíôßóôáóç óå Åğßèåóç áéìïññáãßáò: Ìåéşíåé ôç æçìéÜ ğïõ ğñïêáëåßôáé áğü Åğßèåóç áéìïññáãßáò.
DETAILS_TOOLTIP_59	Áöáéñåß HP áğü ôïí áíôßğáëü óïõ üôáí ôïí óõíáíôÜò.
DETAILS_TOOLTIP_60	Áöáéñåß SP áğü ôïí áíôßğáëü óïõ üôáí ôïí óõíáíôÜò.
DETAILS_TOOLTIP_61	Åğéôá÷ıíåé ôçí áíáğëŞñùóç ôùí HP óïõ.
DETAILS_TOOLTIP_62	Åğéôá÷ıíåé ôçí áíáğëŞñùóç ôùí SP óïõ.
DETAILS_TOOLTIP_63	Ğéèáíüôçôá áğüêñïõóçò åğßèåóçò óşìá ìå óşìá: ÁõîÜíåé ôçí ğéèáíüôçôá íá áğïöıãåéò ìéá åğßèåóç åî åğáöŞò.
DETAILS_TOOLTIP_64	Ğéèáíüôçôá íá áğïöıãåéò âİëç: ÁõîÜíåé ôçí ğéèáíüôçôá íá áğïöıãåéò âİëç Ş ìéá åğßèåóç ôİñáôïò åî áğïóôÜóåùò.
DETAILS_TOOLTIP_65	Ğéèáíüôçôá áíÜêëáóçò ÷ôõğŞìáôïò åî åğáöŞò: ¸íá ğïóïóôü ôçò æçìéÜò åî åğáöŞò åğéóôñİöåé óôïí áíôßğáëï.
DETAILS_TOOLTIP_66	ÁíáğëŞñùóç HP óå öüíï: ¼ôáí óêïôşíåéò İíáí áíôßğáëï, áõîÜíïíôáé ïé HP óïõ.
DETAILS_TOOLTIP_67	ÁíáğëŞñùóç SP óå öüíï: ¼ôáí óêïôşíåéò İíáí áíôßğáëï, áõîÜíïíôáé ïé SP óïõ.
DETAILS_TOOLTIP_68	Ğéèáíüôçôá íá áğïêôŞóåéò äéğëÜóéá åìğåéñßá: ÁõîÜíåé ôçí ğéèáíüôçôá íá áğïêôŞóåéò ìğüíïõò ÅÌĞ üôáí íéêŞóåéò İíáí áíôßğáëï.
DETAILS_TOOLTIP_69	Ğéèáíüôçôá ãéá äéğëÜóéá Yang: ÁõîÜíåé ôçí ğéèáíüôçôÜ óïõ íá áğïêôŞóåéò äéğëÜóéá ğïóüôçôá Yang.
DETAILS_TOOLTIP_70	Ğéèáíüôçôá Ñßøçò áíôéêåéìİíùí: ÁõîÜíåé ôçí ğéèáíüôçôá íá áğïêôŞóåéò äéğëÜóéá áíôéêåßìåíá.
DETAILS_TOOLTIP_71	ÁõîÜíåé ôçí áîßá åğßèåóŞò óïõ.
DETAILS_TOOLTIP_72	ÁõîÜíåé ôçí áîßá ÜìõíÜò óïõ.
DETAILS_TOOLTIP_73	ÁõîÜíåé ôç óõëëïãŞ åìğåéñßáò.
DETAILS_TOOLTIP_74	Ğéèáíüôçôá åıñåóçò áíôéêåéìİíùí: ÁõîÜíåé ôçí ğéèáíüôçôÜ óïõ íá âñåéò áíôéêåßìåíá.
DETAILS_TOOLTIP_75	Ğéèáíüôçôá Ñßøçò Yang: ÁõîÜíåé ôçí ğéèáíüôçôÜ óïõ íá áğïêôŞóåéò ğåñéóóüôåñá Yang.
DETAILS_TOOLTIP_76	Ìåéşíåé ôç æçìéÜ ğïõ ğáèáßíåéò áğü ìéá ìáãéêŞ åğßèåóç.
DETAILS_TOOLTIP_77	Ìåéşíåé ôçí áíôßóôáóç óå ìáãåßá ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_78	Ç æçìéÜ áğü ôİñáôá ìåéşíåôáé.
DETAILS_TOOLTIP_79	ÁõîÜíåé ôçí Åğßèåóç Ìáãåßáò óïõ.
DETAILS_TOOLTIP_ATTBONUS_BELL	Èñáıóç Üìõíáò êáìğÜíáò: Ìåéşíåé ôçí Üìõíá êáìğÜíáò ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_ATTBONUS_BOW	Èñáıóç Üìõíáò âİëïõò: Ìåéşíåé ôçí Üìõíá âİëïõò ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Èñáıóç Üìõíáò íõ÷éşí: Ìåéşíåé ôçí Üìõíá íõ÷éşí ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Èñáıóç Üìõíáò óôéëİôïõ: Ìåéşíåé ôçí Üìõíá óôéëİôïõ ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå ÄñÜêïõò.
DETAILS_TOOLTIP_ATTBONUS_FAN	Èñáıóç Üìõíáò âåíôÜëéáò: Ìåéşíåé ôçí Üìõíá âåíôÜëéáò ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_ATTBONUS_MOON	Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå Ôİñáôá ÓåëçíïóêéÜò.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Èñáıóç Üìõíáò óğáèéïı: Ìåéşíåé ôçí Üìõíá óğáèéïı ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Èñáıóç Üìõíáò äß÷åéñïõ: Ìåéşíåé ôçí Üìõíá äß÷åéñïõ ôïõ áíôéğÜëïõ óïõ.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	¸÷åéò ôçí ğéèáíüôçôá íá ğñïêáëİóåéò æçìéÜ áíåîÜñôçôá áğü ôçí áğüêñïõóç ôïõ áíôéğÜëïõ (ìüíï óå PvP).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Ìğïñåß íá ğñïêáëİóåé Óıã÷õóç óå ôİñáôá.
DETAILS_TOOLTIP_HIT_PCT	ÁõîÜíåé ôçí ğéèáíüôçôá íá ğåôı÷åéò ôïí áíôßğáëï
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Äıíáìç åíÜíôéá óå ÌõóôŞñéá: Ğñïêáëåß ìåãáëıôåñç æçìéÜ óå ôİñáôá óôï ìõóôçñéşäåò ìğïõíôñïıìé êáé óôçí ìõóôçñéşäç Ç÷ş.
DETAILS_TOOLTIP_REFUSE_EXP	Äåí óõëëİãïíôáé ğüíôïé åìğåéñßáò.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Áíôßóôáóç óå Ğôşóç: Ìåéşíåé ôçí ğéèáíüôçôá íá ğİóåéò áğü İíá æşï éğğáóßáò.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Äåí ìğïñåßò íá ìåôáêéíåßò áíôéêåßìåíá êáôÜ ôç äéÜñêåéá åíüò áéôŞìáôïò.
DO_NOT_INSERT_UPBRINGING_PET	Ôï åíåñãü êáôïéêßäéï äåí ìğïñåß íá åğéëå÷èåß.
DO_YOU_BUY_ITEM1	Èİëåéò íá áãïñÜóåéò %s ìå %s Yang;
DO_YOU_BUY_ITEM2	Èİëåéò íá áãïñÜóåéò %s (%s ôåìÜ÷éá) ìå %s Yang;
DO_YOU_BUY_ITEM3	Èİëåéò íá áãïñÜóåéò %s ìå %s Won êáé %s Yang;
DO_YOU_BUY_ITEM4	Èİëåéò íá áãïñÜóåéò %s (%s ôåìÜ÷éá) ìå %s Won êáé %s Yang;
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Èİëåéò íá áãïñÜóåéò %s ìå %s;
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Èİëåéò íá áãïñÜóåéò %s (%s ôåìÜ÷éá) ìå %s;
DO_YOU_DROP_MONEY	Èİëåéò íá ğåôÜîåéò %d Yang?
DO_YOU_SELL_ITEM1	Èİëåéò íá ğïõëŞóåéò %s ìå %s Yang;
DO_YOU_SELL_ITEM2	Èİëåéò íá ğïõëŞóåéò %s (%s ôåìÜ÷éá) ãéá %s Yang;
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_HEART_CANNOT_EXTRACT_WHEN_EQUIP	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ôçí Ğİíóá ôïõ ×ñüíïõ óôïí Äñáêüëéèï ğïõ İ÷åéò åîïğëßóåé.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_CHANGE_ATTR	Áõôü äåí ìğïñåß íá ÷ñçóéìïğïéçèåß üóï áëëÜæåéò ôá ìğüíïõò åíüò ìõèéêïı Äñáêüëéèïõ.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_REFINE	Áõôü äåí ìğïñåß íá ÷ñçóéìïğïéçèåß üóï âåëôéşíåéò Ş áíáâáèìßæåéò ôïí Äñáêüëéèï.
DRAGON_SOUL_CANNOT_REFINE	Äåí ìğïñåßò íá åîåõãåíßóåéò áõôüí ôïí Äñáêüëéèï.
DRAGON_SOUL_CANNOT_REFINE_MORE	Áõôüò ï Äñáêüëéèïò âñßóêåôáé Şäç óôï áíşôáôï åğßğåäï.
DRAGON_SOUL_EQUIP_WARNING1	Åßíáé äıóêïëï íá áğïìáêñıíåéò İíáí Äñáêüëéèï.
DRAGON_SOUL_EQUIP_WARNING2	Èİëåéò íá óõíå÷ßóåéò ğáñüëá áõôÜ;
DRAGON_SOUL_EXPIRED	Ëçãìİíïò Äñáêüëéèïò
DRAGON_SOUL_INVALID_DRAGON_SOUL	Áõôüò åßíáé ï ëÜèïò Äñáêüëéèïò.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Áõôüò äåí åßíáé İíáò Äñáêüëéèïò.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Áõôüò åßíáé ï ëÜèïò Äñáêüëéèïò.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Äåí İ÷åéò áñêåôü õëéêü ãéá åîåõãåíéóìü.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Ãéá ôï áíôéêåßìåíï %s\n ÷ñåéÜæåóáé: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Äåí İ÷åéò áñêåôÜ Yang ãéá íá áëëÜîåéò ôï ìğüíïõò.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ï Äñáêüëéèïò äåí ôáéñéÜæåé óå áõôŞí ôç èİóç.
DRAGON_SOUL_SEAL_CANNOT_CHANGE_ATTR	Ôá øõ÷éêÜ äåìİíá áíôéêåßìåíá äåí ìğïñïıí íá áëëÜîïõí.
DRAGON_SOUL_SEAL_CANNOT_EQUIP	Ïé øõ÷éêÜ äåìİíïé Äñáêüëéèïé äåí ìğïñïıí íá åîïğëéóôïıí.
DRAGON_SOUL_SEAL_CANNOT_EXTRACT	Äåí ìğïñåßò íá ôï ÷ñçóéìïğïéŞóåéò áõôü óå İíáí øõ÷éêÜ äåìİíï Äñáêüëéèï.
DRAGON_SOUL_SEAL_CANNOT_REFINE	Ôá øõ÷éêÜ äåìİíá áíôéêåßìåíá äåí ìğïñïıí íá âåëôéùèïıí.
DRAGON_SOUL_SEAL_CANNOT_UN_EQUIP	Ïé øõ÷éêÜ äåìİíïé Äñáêüëéèïé äåí ìğïñïıí íá áöáéñåèïıí.
DRAGON_SOUL_STEP_LEVEL1	Êáèáñüôçôá: ìáô,
DRAGON_SOUL_STEP_LEVEL2	Êáèáñüôçôá: äéáöáíİò,
DRAGON_SOUL_STEP_LEVEL3	Êáèáñüôçôá: ïëïêÜèáñï,
DRAGON_SOUL_STEP_LEVEL4	Êáèáñüôçôá: åîáéñåôéêü,
DRAGON_SOUL_STEP_LEVEL5	Êáèáñüôçôá: ôİëåéï,
DRAGON_SOUL_STRENGTH	Åğßğåäï: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ï Äñáêüëéèïò ìğïñåß íá êáôáóôñáöåß óå áõôŞí ôçí äéáäéêáóßá.
DRAGON_SOUL_UNEQUIP_WARNING2	Èİëåéò íá óõíå÷ßóåéò;
DRAGON_SOUL_UNMATCHED_SLOT	ÁõôŞ åßíáé ç ëÜèïò èİóç.
DRAGON_SOUL_UNQUALIFIED	Äåí ìğïñåßò áêüìç íá ÷ñçóéìïğïéŞóåéò ôçí Áë÷çìåßá Äñáêüëéèùí.
DROP_ITEM_FAILURE_EQUIP_ITEM	Äåí ìğïñåßò íá ğåôÜîåéò áíôéêåßìåíá ğïõ öïñÜò.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Äå ìğïñåßò íá ğåôÜîåéò Áíôéêåßìåíï üóï İ÷åéò áíïé÷ôü Éäéùôéêü ÊáôÜóôçìá.
DROP_MONEY_FAILURE_1000_OVER	Ìğïñåßò íá ğåôÜîåéò ìİ÷ñé 999 Yang.
DS_SYSTEM_MSG_1	×ñåéÜæåóáé %s, %d ôåìÜ÷éá.
DUNGEON_END_TIME_NOTICE	Õğüëïéğïò ÷ñüíïò ãéá ôï ìğïõíôñïıìé: %d
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Êëåßóå üëá ôá ğáñÜèõñá, ğñéí áíïßîåéò ôéò Üìåóåò äçìïğñáóßåò.
EASTER_EGG_CANT_GET_EGG_ANYMORE	Äåí ìğïñåßò íá ìáæİøåéò Üëëá Ğáó÷áëéíÜ áâãÜ.
EASTER_EGG_CANT_USE_ANYMORE	¸÷åéò Şäç ìáæİøåé ôïí ìİãéóôï áñéèìü áâãşí áõôïı ôïõ åßäïõò.
EASTER_EGG_CLICK_BANNER_AFTER_END_EVENT	Ôï Ğáó÷áëéíü event İëçîå.
EASTER_EGG_COMPLETE_RABBIT_BELIEF	ÅêğëŞñùóåò üëåò ôéò áğáéôŞóåéò ôïõ Ğáó÷áëéíïı ëáãïı. Óôçí åğéöÜíåéá ÷ñŞóçò event ìğïñåßò íá áíôáëëÜîåéò ôá Ğáó÷áëéíÜ óïõ áâãÜ ìå áíôáìïéâİò.
EASTER_EGG_EVENT_IS_END	Ôï event äåí åßíáé åíåñãü áõôŞí ôç óôéãìŞ.
EASTER_EGG_GET_EGG	ÁğïêôÜò İíá Ğáó÷áëéíü áâãü.
EASTER_EGG_USE_EGG_ITEM	Ôï Ğáó÷áëéíü áâãü ğñïóôİèçêå óôçí åğéöÜíåéá ÷ñŞóçò ôïõ event.
ELEMENT_BUFF_DARK_TOOLTIP	Ìğïñåßò íá ğñïêáëİóåéò åğéğëİïí æçìéÜ, üôáí åßóáé õğü ôçí åğéññïŞ ôïõ ¢íèïõò Åîïõóßáò Óêüôïõò.
ELEMENT_BUFF_EARTH_TOOLTIP	Ìğïñåßò íá ğñïêáëİóåéò åğéğëİïí æçìéÜ, üôáí åßóáé õğü ôçí åğéññïŞ ôïõ ¢íèïõò Åîïõóßáò Ãçò.
ELEMENT_BUFF_ELECT_TOOLTIP	Ìğïñåßò íá ğñïêáëİóåéò åğéğëİïí æçìéÜ, üôáí åßóáé õğü ôçí åğéññïŞ ôïõ ¢íèïõò Åîïõóßáò ÁóôñáğŞò.
ELEMENT_BUFF_FIRE_TOOLTIP	Ìğïñåßò íá ğñïêáëİóåéò åğéğëİïí æçìéÜ, üôáí åßóáé õğü ôçí åğéññïŞ ôïõ ¢íèïõò Åîïõóßáò ÖùôéÜò.
ELEMENT_BUFF_ICE_TOOLTIP	Ìğïñåßò íá ğñïêáëİóåéò åğéğëİïí æçìéÜ, üôáí åßóáé õğü ôçí åğéññïŞ ôïõ ¢íèïõò Åîïõóßáò ĞÜãïõ.
ELEMENT_BUFF_NONE_TOOLTIP	Ìğïñåßò íá ğñïêáëİóåéò åğéğëİïí æçìéÜ, üôáí åßóáé õğü ôçí åğéññïŞ ôïõ ¢íèïõò Åîïõóßáò.
ELEMENT_BUFF_WIND_TOOLTIP	Ìğïñåßò íá ğñïêáëİóåéò åğéğëİïí æçìéÜ, üôáí åßóáé õğü ôçí åğéññïŞ ôïõ ¢íèïõò Åîïõóßáò Áíİìïõ.
EMOTION_ALCOHOL	Ìğßñá
EMOTION_ANGRY	Åğéäåßíùóç
EMOTION_ATTRACTIVE	ÁğïğëÜíçóç
EMOTION_BANTER	Åéñùíßá
EMOTION_BUSY	Áğáó÷ïëçìİíïò
EMOTION_CALL	Ôçëİöùíï
EMOTION_CELEBRATION	ĞÜñôé
EMOTION_CHARGING	Öüñôéóç
EMOTION_CHEERS_1	Áãáëëßáóç 1
EMOTION_CHEERS_2	Áãáëëßáóç 2
EMOTION_CHEERUP	Åõèõìßá
EMOTION_CHOOSE_ONE	ÄéÜëåîå óôü÷ï
EMOTION_CLAP	×åéñïêñüôçìá
EMOTION_CLAP_KISS	Öéëß
EMOTION_CONGRATULATION	Áğïäï÷Ş
EMOTION_DANCE_1	×ïñüò 1
EMOTION_DANCE_2	×ïñüò 2
EMOTION_DANCE_3	×ïñüò 3
EMOTION_DANCE_4	×ïñüò 4
EMOTION_DANCE_5	×ïñüò 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	ÓÜìğá
EMOTION_DOZE	ÕğíÜêïò
EMOTION_EXERCISE	Æİóôáìá
EMOTION_FORGIVE	Óõã÷şñåóç
EMOTION_FRENCH_KISS	Ãáëëéêü Öéëß
EMOTION_HUNGRY	Ğåßíá
EMOTION_JOY	×áñÜ
EMOTION_LETTER	Åñùôéêü ãñÜììá
EMOTION_NOSAY	×ùñßò ëüãéá
EMOTION_PUSH_UP	ĞïõóÜğ
EMOTION_SAD	Èëßøç
EMOTION_SELFIE	Óİëöé
EMOTION_SHY	Áğüññéøç
EMOTION_SIREN	ÓåéñŞíá
EMOTION_SLAP	×ôığçìá
EMOTION_SMH	Ğıñãïò Êüëáóçò Sung Mahi
EMOTION_WEATHER_1	¹ëéïò
EMOTION_WEATHER_2	ÏõñÜíéï ôüîï
EMOTION_WEATHER_3	ÖåããÜñé
EMOTION_WHIRL	Óıã÷õóç
EMPIRE_A	Âáóßëåéï ôïõ Shinsoo
EMPIRE_B	Âáóßëåéï ôïõ Chunjo
EMPIRE_C	Âáóßëåéï ôïõ Jinno
EMPIRE_SELECT_MODE	ÅğéëïãŞ âáóéëåßïõ
