ACCE_ABSORB_COST	Koszty po³¹czenia: %d
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Dla swojego: %s\n potrzebujesz: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Masz za ma³o Yang, by zmieniæ bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ten Smoczy Kamieñ nie pasuje do tego slotu.
DRAGON_SOUL_SEAL_CANNOT_CHANGE_ATTR	Nie mo¿na zmieniaæ przedmiotów przywi¹zanych do duszy.
DRAGON_SOUL_SEAL_CANNOT_EQUIP	Nie mo¿na zak³adaæ smoczych kamieni przywi¹zanych do duszy.
DRAGON_SOUL_SEAL_CANNOT_EXTRACT	Nie mo¿esz tego zastosowaæ na smoczy kamieñ przywi¹zany do duszy.
DRAGON_SOUL_SEAL_CANNOT_REFINE	Nie mo¿na ulepszaæ przedmiotów przywi¹zanych do duszy.
DRAGON_SOUL_SEAL_CANNOT_UN_EQUIP	Nie mo¿na odk³adaæ smoczych kamieni przywi¹zanych do duszy.
DRAGON_SOUL_STEP_LEVEL1	Jakoœæ: matowy,
DRAGON_SOUL_STEP_LEVEL2	Jakoœæ: przejrzysty,
DRAGON_SOUL_STEP_LEVEL3	Jakoœæ: bez skazy,
DRAGON_SOUL_STEP_LEVEL4	Jakoœæ: znakomity,
DRAGON_SOUL_STEP_LEVEL5	Jakoœæ: wyborny,
DRAGON_SOUL_STRENGTH	Poziom: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Smoczy Kamieñ mo¿e ulec zniszczeniu.
DRAGON_SOUL_UNEQUIP_WARNING2	Chcesz mimo to kontynuowaæ?
DRAGON_SOUL_UNMATCHED_SLOT	To nieprawid³owy slot.
DRAGON_SOUL_UNQUALIFIED	Nie mo¿esz jeszcze u¿yæ alchemii Smoczych Kamieni.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nie mo¿esz upuœciæ za³o¿onych przedmiotów.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nie mo¿esz upuœciæ przedmiotu z ekwipunku, jeœli otworzy³eœ prywatny sklep.
DROP_MONEY_FAILURE_1000_OVER	Mo¿esz upuœciæ maksimum 999 Yang.
DS_SYSTEM_MSG_1	Potrzebujesz %s%d razy.
DUNGEON_END_TIME_NOTICE	Pozosta³y czas instancji: %d
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Zamknij wszystkie okna, zanim otworzysz aukcjê b³yskawiczn¹.
EASTER_EGG_CANT_GET_EGG_ANYMORE	Nie mo¿esz ju¿ zebraæ wiêkszej liczby jajek wielkanocnych.
EASTER_EGG_CANT_USE_ANYMORE	Ju¿ uda³o ci siê zebraæ maksymaln¹ liczbê jajek tego rodzaju.
EASTER_EGG_CLICK_BANNER_AFTER_END_EVENT	Event wielkanocny dobieg³ koñca.
EASTER_EGG_COMPLETE_RABBIT_BELIEF	Uda³o ci siê spe³niæ wszystkie proœby wielkanocnego zaj¹ca. W interfejsie u¿ytkownika eventu mo¿esz wymieniaæ zebrane jajka wielkanocne na nagrody.
EASTER_EGG_EVENT_IS_END	Event jest obecnie nieaktywny.
EASTER_EGG_GET_EGG	Otrzymujesz jedno jajko wielkanocne.
EASTER_EGG_USE_EGG_ITEM	Jajko wielkanocne zosta³o dodane w interfejsie u¿ytkownika eventu.
ELEMENT_BUFF_DARK_TOOLTIP	Zadajesz dodatkowe obra¿enia, bêd¹c pod wp³ywem kwiatu mocy mroku.
ELEMENT_BUFF_EARTH_TOOLTIP	Zadajesz dodatkowe obra¿enia, bêd¹c pod wp³ywem kwiatu mocy ziemi.
ELEMENT_BUFF_ELECT_TOOLTIP	Zadajesz dodatkowe obra¿enia, bêd¹c pod wp³ywem kwiatu mocy b³yskawicy.
ELEMENT_BUFF_FIRE_TOOLTIP	Zadajesz dodatkowe obra¿enia, bêd¹c pod wp³ywem kwiatu mocy ognia.
ELEMENT_BUFF_ICE_TOOLTIP	Zadajesz dodatkowe obra¿enia, bêd¹c pod wp³ywem kwiatu mocy lodu.
ELEMENT_BUFF_NONE_TOOLTIP	Zadajesz dodatkowe obra¿enia, bêd¹c pod wp³ywem kwiatu mocy.
ELEMENT_BUFF_WIND_TOOLTIP	Zadajesz dodatkowe obra¿enia, bêd¹c pod wp³ywem kwiatu mocy wiatru.
EMOTION_ALCOHOL	Na zdrowie!
EMOTION_ANGRY	Denerwowaæ
EMOTION_ATTRACTIVE	Uwodziæ
EMOTION_BANTER	Drwiæ
EMOTION_BUSY	Stres
EMOTION_CALL	Rozmowa telefoniczna
EMOTION_CELEBRATION	Impreza
EMOTION_CHARGING	Do³adowanie
EMOTION_CHEERS_1	Powitanie 1
EMOTION_CHEERS_2	Powitanie 2
EMOTION_CHEERUP	Rozweselaæ
EMOTION_CHOOSE_ONE	Wybierz cel
EMOTION_CLAP	Klaszcz
EMOTION_CLAP_KISS	Poca³unek
EMOTION_CONGRATULATION	Zgoda
EMOTION_DANCE_1	Taniec 1
EMOTION_DANCE_2	Taniec 2
EMOTION_DANCE_3	Taniec 3
EMOTION_DANCE_4	Taniec 4
EMOTION_DANCE_5	Taniec 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Drzemka
EMOTION_EXERCISE	Rozgrzewka
EMOTION_FORGIVE	Wybaczyæ
EMOTION_FRENCH_KISS	Francuski poca³unek
EMOTION_HUNGRY	G³ód
EMOTION_JOY	Radoœæ
EMOTION_LETTER	List mi³osny
EMOTION_NOSAY	Zaniemówiæ
EMOTION_PUSH_UP	Pompki
EMOTION_SAD	Smutek
EMOTION_SELFIE	Selfie
EMOTION_SHY	Odmowa
EMOTION_SIREN	Syrena
EMOTION_SLAP	Uderzenie
EMOTION_SMH	Piekielna Wie¿a Sunga Mahi
EMOTION_WEATHER_1	S³oñce
EMOTION_WEATHER_2	Têcza
EMOTION_WEATHER_3	Ksiê¿yc
EMOTION_WHIRL	Zamieszanie
EMPIRE_A	Królestwo Shinsoo
EMPIRE_B	Królestwo Chunjo
EMPIRE_C	Królestwo Jinno
EMPIRE_SELECT_MODE	Wybierz królestwo
EQUIPMENT_ADDITIONAL_PAGE_ACTIVE	Aktywowano dodatkow¹ stronê wyposa¿enia. Znajdziesz j¹ w oknie wyposa¿enia.
EQUIPMENT_ALREADY_USE_ITEM	Nie mo¿esz wybraæ tego ponownie.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE	Nie mo¿esz zmieniæ strony wyposa¿enia, gdy jesteœ zajêty czymœ innym.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE_ITEM	Nie mo¿esz zmieniæ strony wyposa¿enia, dopóki masz wyposa¿ony niedozwolony przedmiot.
EQUIPMENT_CHANGE_PAGE_COOLTIME_FAIL	Spróbuj ponownie za 1 min.
EQUIPMENT_CHANGE_PAGE_SUCCESS	Zmieniono stronê wyposa¿enia.
EQUIPMENT_TITLE_NAME	Okno wyposa¿enia
EXCHANGE_CANNOT_GIVE	Nie mo¿esz handlowaæ tym przedmiotem.
EXCHANGE_CANT_EDIT_MONEY	Nie mo¿esz teraz zmieniæ kwoty.
EXCHANGE_FAILURE_EQUIP_ITEM	Nie mo¿esz wymieniæ ubranych przedmiotów.
EXCHANGE_MONEY	Kwota
EXCHANGE_TITLE	Handluj z %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Potrzebujesz jeszcze Rozszerzenia Ekwipunku: %d
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Twój ekwipunek posiada ju¿ maksymaln¹ iloœæ rozszerzeñ.
EXINVEN_USE_ITEM_QUESTION	Czy chcesz powiêkszyæ swój ekwipunek u¿ywaj¹c %d Rozszerzeñ Ekwipunku?
FAILED_WARP_MAP_CHECK	Nie mo¿esz tego tu u¿yæ.
FISHING_FAILURE	Straci³eœ przynêtê.
FISHING_NOTIFY1	Wygl¹da na to, ¿e na haczyku jest %s.
FISHING_NOTIFY2	Wygl¹da³o na to, ¿e %s wisi na haku.
FISHING_RENEWAL_CANNOT_EMOTION	Podczas wêdkowania nie mo¿esz okazywaæ emocji.
FISHING_RENEWAL_CANNOT_OPEN_1	Podczas wêdkowania nie mo¿esz tego otworzyæ.
FISHING_RENEWAL_CANNOT_OPEN_2	Nie mo¿esz wykonaæ tej akcji podczas wêdkowania.
FISHING_RENEWAL_QUESTION	Ryba wziê³a. Chcesz j¹ z³owiæ?
FISHING_RENEWAL_TIMEOUT	Minê³o za du¿o czasu. Ryba siê zerwa³a.
FISHING_SUCCESS1	Zdoby³eœ %s!
FISHING_SUCCESS2	Wy³owi³eœ %s!
FISHING_UNKNOWN	Coœ nadzia³o siê na haczyk, ale nie widzisz, co to jest.
FISHING_WRONG_PLACE	Nie mo¿esz tu ³owiæ ryb.
FLOWER_EVENT_ENVELOPE_MAX	Nie mo¿esz ju¿ dostaæ nasion kwiatów.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Otrzymujesz latoroœle chryzantemy.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM_COUNT	Liczba otrzymanych latoroœli chryzantemy: %d.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Otrzymujesz latoroœle narcyza.
FLOWER_EVENT_GET_SHOOT_DAFFODIL_COUNT	Liczba otrzymanych latoroœli narcyza: %d.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Otrzymujesz nasiona kwiatów.
FLOWER_EVENT_GET_SHOOT_LILY	Otrzymujesz latoroœle lilii.
FLOWER_EVENT_GET_SHOOT_LILY_COUNT	Liczba otrzymanych latoroœli lilii: %d.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Otrzymujesz latoroœle konwalii.
FLOWER_EVENT_GET_SHOOT_MAY_BELL_COUNT	Liczba otrzymanych latoroœli konwalii: %d.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Otrzymujesz latoroœle s³onecznika.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER_COUNT	Liczba otrzymanych latoroœli s³onecznika: %d.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	Nie mo¿esz tego wymieniæ, poniewa¿ posiadasz ju¿ maksymaln¹ liczbê latoroœli.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	Masz za ma³o miejsca w ekwipunku.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	Nie posiadasz prawid³owej liczby latoroœli.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	Masz za ma³o nasion kwiatów.
FLOWER_EVENT_USE_ITEM_TEXT1	Czy chcesz wymieniæ aktywny efekt?
FLOWER_EVENT_USE_ITEM_TEXT2	Próba mo¿e zakoñczyæ siê niepowodzeniem i kwiat wtedy zwiêdnie.
FOOTBALL_EVENT_MESSAGE_BUTTON_COOLTIME	Spróbuj póŸniej ponownie.
FOOTBALL_EVENT_MESSAGE_CANNOT_GET_FOOTBALL	Nie mo¿esz ju¿ otrzymywaæ pi³ek no¿nych.
FOOTBALL_EVENT_MESSAGE_GET_FOOTBALL	Otrzymujesz 1 pi³kê no¿n¹.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_FOOTBALL	Za ma³o pi³ek no¿nych.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	Masz za ma³o miejsca w ekwipunku.
FOOTS_SOCKET_OPEN_FIRST	U¿yj czarnego diamentowego wiert³a, aby dodaæ miejsca na kamienie duszy.
FORCE_EVENT_CANNOT_OPEN_UI	Event "Echa Mocy" dobieg³ koñca.
FORCE_EVENT_CAN_USE_BUTTON	Twoje echo jest dostatecznie silne, aby mog³o zostaæ aktywowane!
FORCE_EVENT_EMPTY_NORMAL_FORCE_SLOT_TOOLTIP	Mo¿esz wybraæ swoje Echo Si³y, przeci¹gaj¹c je tutaj z ekwipunku.
FORCE_EVENT_EMPTY_SKILL_FORCE_SLOT_TOOLTIP	Mo¿esz wybraæ swoje Echo Umiejêtnoœci, przeci¹gaj¹c je tutaj z ekwipunku.
FORCE_EVENT_END_NOTICE	Event "Echa Mocy" dobieg³ koñca.
FORCE_EVENT_FORCE_CHANGE_BUFF	Echo zosta³o ju¿ przez ciebie wybrane. Chcesz je zmieniæ?
FORCE_EVENT_FORCE_GAGUE_REMAIN_TIME	%d / %d min
FORCE_EVENT_FORCE_GAUGE_REFINE_TOOLTIP	Twoje echo zyskuje na sile.
FORCE_EVENT_FORCE_NOTICE_CAN_USE_FORCE_BUFF	Mo¿na aktywowaæ %s. SprawdŸ w odpowiednim menu.
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_1	Chcesz wybraæ %s?
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_2	Jeœli zmienisz wybrane echo, czas gry zostanie zresetowany.
FORCE_EVENT_FORCE_SLOT_REMAIN_TIME	Pozosta³y czas:
FORCE_EVENT_INVALIED_SLOT_ITEM	To echo musisz aktywowaæ w innym slocie.
FORCE_EVENT_NOTICE_REMAIN_PLAY_TIME	Wybrany przez ciebie %s osi¹gn¹³ %d / %d.
FORCE_EVENT_NOT_ENOUGH_FORCE_CANNOT_USE_BUTTON	Twoje echo jeszcze nie jest dostatecznie silne, aby tego u¿yæ.
FORCE_EVENT_NOT_ENOUGH_LEVEL	Aby wzi¹æ udzia³, musisz osi¹gn¹æ co najmniej poziom 70.
FORCE_EVENT_READY_TO_USE_FORCE_BUFF	Mo¿na aktywowaæ %s. SprawdŸ w menu echa.
FORCE_EVENT_REMOVE_REGIST_FORCE	Usun¹æ wybrane echo? Spowoduje to zresetowanie czasu gry i zniszczenie echa.
FORCE_EVENT_START_NOTICE	Rozpocz¹³ siê event "Echa Mocy".
FOR_FEMALE	dla kobiet
FOR_MALE	dla mê¿czyzn
FRAGMENT_COMB_COST	Koszty po³¹czenia: %s
FREEZING_BUTTON_COOLTIME	Spróbuj ponownie póŸniej.
GAME_CANNOT_MINING	Nie mo¿esz wydobywaæ surowców podczas jazdy konnej.
GAME_CANNOT_PICK_ITEM	Nie mo¿esz podnieœæ tego Przedmiotu, nie ty go zdoby³eœ.
GAME_GUILDWAR_NOW_JOIN	Czy chcesz do³¹czyæ do wojny gildii?
GAME_INIT_ERROR_CURSOR	Kursor nie mo¿e zostaæ utworzony.
GAME_INIT_ERROR_DIRECTX	Aby gra mog³a ruszyæ musi byæ zainstalowany DirectX 8.1 .\nZainstaluj DirectX 8.1 lub nowszy.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	¯adne graficzne urz¹dzenie nie zosta³o znalezione.\nSprawdŸ, czy twoja karta VGA jest aktualnie zainstalowana.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Nie mo¿na by³o uruchomiæ karty graficznej.\nSprawdŸ czy masz kartê VGA.\nAlternatywniem mo¿esz aktywowaæ akceleracjê sprzêtow¹.\n(Ustaw suwak akceleracji sprzêtowej na maks. \nPanel Sterowania->Ekran->Ustawienia->Zaawansowane->Rozwi¹zywanie Problemów)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Karta graficzna w komputerze nie obs³uguje trybu ekranowego w trybie 32bit.\nUstaw tryb 16 bitowy lub u¿yj trybu pe³noekranowego.
GAME_INIT_ERROR_ITEM_PROTO	Brak danych o Przedmiotach.\nZainstaluj grê jeszcze raz.
GAME_INIT_ERROR_MAIN_WINDOW	Gra nie mog³a zostaæ uruchomiona w okienku
GAME_INIT_ERROR_MOB_PROTO	Brak danych o Potworach.\nZainstaluj grê jeszcze raz.
GAME_INIT_ERROR_NETWORK	Nie mo¿na by³o uruchomiæ urz¹dzeñ sieciowych.\nSprawdŸ swoje ustawienia internetowe.
GAME_OPTION_GAME	Gra
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Wybierz, aby zapisaæ ob³o¿enie klawiszy tylko dla tej postaci.
GAME_OPTION_KEYSETTING	Ob³o¿enie klawiszy
GAME_OPTION_KEYSETTING_CHECK_KEY	Do jednej funkcji nie s¹ teraz przypisane ¿adne klawisze.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Ten klawisz jest ju¿ u¿ywany dla %s. Czy chcesz to zmieniæ?
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	%s zosta³ zresetowany. Wybierz ponownie.
GAME_OPTION_LOOTING	£up
GAME_OPTION_SYSTEM	System
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Yang s¹ wyœwietlane po wybraniu tej opcji i ukrywane po jej odznaczeniu.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Ukryj dekoracje
GAME_PICK_MONEY	Przyznano ci %s Yang.
GAME_USE_MONEY	Wydano %s Yang.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	Zastosowane konwertery Gaya: %d.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	Zu¿yte kamyki: %d.
GEM_CONVERTER_MESSAGE_GEM_MAX	Posiadasz ju¿ maksymaln¹ liczbê Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	Minimalna liczba potrzebnych kamyków: %s.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	Masz za ma³o Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Czy chcesz u¿yæ konwertera Gaya?
GEM_SYSTEM_ADD_SLOT	Wymagany przedmiot: %s.\nCzy chcesz u¿yæ teraz %d, aby odblokowaæ kolejny slot?
GEM_SYSTEM_BUY_ITEM	Czy chcesz kupiæ ten przedmiot?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Masz za ma³o 'Reset Sklepu Gaya'.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Masz za ma³o Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nie mo¿esz dodaæ wiêcej slotów.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Otwórz najpierw Sklep Gaya.
GEM_SYSTEM_PICK_GEM	Przyznano ci %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Czy chcesz zresetowaæ?
GEM_USE_GEM	Wydano %s Gaya.
GIVEUP_QUESTION	Czy naprawdê chcesz siê poddaæ?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Nie mo¿esz u¿yæ tego przedmiotu, poniewa¿ event siê zakoñczy³.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Nie mo¿na tego u¿yæ, je¿eli aktywowano ju¿ wybuchow¹ wie¿ê.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Uda³o ci siê znaleŸæ wszystkie pola z³otych jagód! Nagrodê otrzymasz poczt¹.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Uda³o ci siê znaleŸæ pole z³otych jagód!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Wygl¹da na to, ¿e to nie by³o pole z³otych jagód.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Masz za ma³o z³otych jagód.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	Aktywowano ochronê przeciwwybuchow¹. Masz ochronê przed nastêpn¹ wybuchow¹ wie¿¹.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	Ochrona przeciwwybuchowa ochroni³a ciê i jest wykorzystana. Wybuchowe wie¿e znów stanowi¹ dla Ciebie zagro¿enie.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Nast¹pi przeniesienie do nastêpnego poziomu.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Mo¿esz pozostaæ jeszcze %d minut w Z³otej Krainie.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	Ekspedycja Primordisa zakoñczy³a siê.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	Ekspedycja Primordisa rozpoczê³a siê! Pokonaj stra¿nika Primordisa i udaj siê do Z³otej Krainy!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Mo¿esz nabyæ przedmioty u handlarza karawanowego.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Nast¹pi przeniesienie do oazy.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Pos¹gi Primordisa pojawi¹ siê za 10 sekund.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Nie mo¿esz u¿yæ tego przedmiotu, poniewa¿ Twój poziom jest za niski.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Ju¿ dokonano resetu.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Nie posiadasz Nowego Pocz¹tku Primordisa.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Pomyœlnie zresetowano twoje wejœcia i planszê.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Masz za ma³o miejsca w ekwipunku.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Masz za ma³o jagód gorycznych.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Nie mo¿esz nabyæ wiêcej z³otych jagód ze wzglêdu na przekroczenie maksymalnej liczby.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Otrzymujesz %d jagód gorycznych.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Otrzymujesz %d jagód gorycznych. (Posiadasz %d jagód gorycznych.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Otrzymujesz %d z³otych jagód.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Czy chcesz odkryæ pole za %d z³otych jagód?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Je¿eli z tego skorzystasz, zresetowane zostan¹ zarówno twoje wejœcia do Z³otej Krainy jak i plansza podczas poszukiwania z³otych jagód. Czy chcesz kontynuowaæ?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Pozosta³e wybuchowe wie¿e: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Pozosta³e pos¹gi Primordisa: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Chcesz opuœciæ to miejsce? Nie mo¿esz do niego wejœæ ponownie.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Nie odebra³eœ jeszcze swojej nagrody.\n Czy na pewno chcesz opuœciæ to miejsce? Nie mo¿esz do niego wejœæ ponownie.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Opuœæ
GUILDBANK_CLEARBANK	Uwaga: magazyn gildii musi zostaæ opró¿niony!
GUILDBANK_DONT_MONEY_OUT	Nie masz Yang w banku gildii!
GUILDBANK_GOLD_IN	Wp³ata
GUILDBANK_GOLD_OUT	Wyp³ata
GUILDBANK_ITEM_IN	W³ó¿
GUILDBANK_ITEM_OUT	Wyjmij
GUILDBANK_MONEYIN	Wp³aæ Yang
GUILDBANK_MONEYOUT	Wyp³aæ Yang
GUILDBANK_NOTUSE	Nie masz uprawnieñ do tego.
GUILDBANK_NOT_ENOUGH_MONEY	Masz za ma³o Yang do wp³aty.
GUILDBANK_OVER_INCOME	Osi¹gniêto limit konta.
GUILDBANK_OVER_MONEY	Konto gildii jest pe³ne.
GUILDLAND_ABANDON	Zrezygnuj z obszaru gildii.
GUILDLAND_ABANDON_TEXT1	Czy chcesz zrezygnowaæ z obszaru gildii?
GUILDLAND_ABANDON_TEXT2	Czy na pewno chcesz zrezygnowaæ z obszaru gildii?
GUILDLAND_ABANDON_TEXT3	Usuniête zostan¹ magazyn gildii i wszystkie budynki.
GUILDLAND_ACCEPT	Tak
GUILDLAND_DONTHAVE_LAND	Nie posiadasz ¿adnego obszaru gildii.
GUILDLAND_NOT	Nie
GUILDLIST_APPLICANT	Czy chcesz z³o¿yæ podanie?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Wysokoœæ nie ma 12px.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Szerokoœæ nie ma 16px.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Szerokoœæ nie ma 64px.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Wysokoœæ nie ma 128px.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Gra nie obs³uguje tego obrazka.
GUILDMARK_UPLOADER_ERROR_PATH	Przenieœ plik do folderu upload/ w g³ównym katalogu gry Metin2.
GUILDMARK_UPLOADER_ERROR_SELECT	Plik z obrazkiem nie zosta³ wybrany.
GUILDWAR_ALL	Walki (W)
GUILDWAR_CTF_TITLE	Walka o flagi
GUILDWAR_DRAW	Remis (R)
GUILDWAR_GAINSCORE_FIFTY	50 punktów
GUILDWAR_GAINSCORE_HUNDRED	100 punktów
GUILDWAR_GAINSCORE_THIRTY	30 punktów
GUILDWAR_GAMETIME_SIXTY	60 min.
GUILDWAR_GAMETIME_TEN	10 min.
GUILDWAR_GAMETIME_THIRTY	30 min.
GUILDWAR_INPUT_OTHERGUILD	Podaj gildiê przeciwnika
GUILDWAR_LADDER	Punkty rangi
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum uczestników wynosi 5.
GUILDWAR_LOSE	Pora¿ki (P)
GUILDWAR_NORMAL_TITLE	Pole Bitwy
GUILDWAR_OVER_MEMBERCOUNT	Osi¹gn¹³eœ limit cz³onków gildii.
GUILDWAR_QUESTION_LINE_1	Gildia %s wypowiedzia³a wojnê twojej Gildii.
GUILDWAR_QUESTION_LINE_2	Akceptujesz? (%s)
GUILDWAR_RANKING	Ranga
GUILDWAR_RECODE_ALL	%d W, %d Z, %d P, %d R
GUILDWAR_SELECT_MEMBER_COUNT	Wybierz iloœæ uczestników
GUILDWAR_TYPE_DEFENSE	Tarcza bojowa
GUILDWAR_TYPE_TIGER	Zag³ada
GUILDWAR_TYPE_TIME	Atak czasowy
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Walka na arenie
GUILDWAR_WIN	Zwyciêstwa (Z)
GUILDWAR_WIN_FIVE	Piêæ rund
GUILDWAR_WIN_ONE	Jedna runda
GUILDWAR_WIN_THREE	Trzy rundy
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	Aktualne PD / Maksymalne PD (Maks.: %d poziom)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	Mo¿esz to ulepszyæ na obszarze gildii. (Maks. poziom: 3)
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Pz.
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	Nie masz obszaru gildii.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Miejsce obszaru gildii
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Magazynu Gildii
GUILDWINDOW_BUTTON_BASEABANDON	Zrezygnuj z obszaru gildii.
GUILDWINDOW_BUTTON_BASEDEAL	Sprzedaj obszar gildii
GUILDWINDOW_BUTTON_BOARD	Notatka gildii
