ACCE_ABSORB_COST	Coûts de combi : %d
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Vous allez être téléporté au niveau suivant.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Vous pouvez rester encore %d min sur la Terre d'or.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	L'expédition de Primordis est terminée.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	L'expédition de Primordis a commencé. Éliminez le gardien de Primordis et continuez votre périple vers la Terre d'or.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Vous pouvez obtenir des objets auprès du marchand caravanier.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Vous allez être téléporté à l'oasis.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Les statues de Primordis apparaitront dans 10 s.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Votre niveau étant trop faible, vous ne pouvez pas utiliser cet objet.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Vous avez déjà procédé à la réinitialisation.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Vous n'avez pas de renouveau de Primordis.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Vos entrées ainsi que le jeu ont bien été réinitialisés.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Il n'y a pas assez de place dans votre inventaire.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Vous n'avez pas assez de baies amères.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Vous avez déjà atteint la limite de baies dorées obtenables.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Vous obtenez %d baies amères.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Vous obtenez %d baies amères. (Vous avez %d baies amères).
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Vous obtenez %d baies dorées.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Voulez-vous découvrir un champ contre %d baies dorées ?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	En l'utilisant, vous réinitialisez vos entrées pour la Terre d'or ainsi que le jeu de chasse aux baies dorées. Voulez-vous continuer ?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Tours explosives restantes : %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Statues de Primordis restantes : %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Voulez-vous quitter ce lieu ? Vous ne pourrez plus y rentrer.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Vous n'avez pas encore récupéré votre récompense.\n Êtes-vous sûr de vouloir quitter ce lieu ? Vous ne pourrez plus y rentrer.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Quitter
GUILDBANK_CLEARBANK	Attention : l'entrepôt de guilde doit être vide !
GUILDBANK_DONT_MONEY_OUT	Vous n'avez aucun Yang dans la banque de guilde !
GUILDBANK_GOLD_IN	Versement
GUILDBANK_GOLD_OUT	Paiement
GUILDBANK_ITEM_IN	Entreposer
GUILDBANK_ITEM_OUT	Sortir
GUILDBANK_MONEYIN	Verser des Yangs
GUILDBANK_MONEYOUT	Prélever des Yangs
GUILDBANK_NOTUSE	Vous n'avez pas les droits.
GUILDBANK_NOT_ENOUGH_MONEY	Vous n'avez pas assez de Yangs pour ce versement.
GUILDBANK_OVER_INCOME	Limite de solde atteinte.
GUILDBANK_OVER_MONEY	Le compte de guilde est plein.
GUILDLAND_ABANDON	Abandonner le terrain de guilde
GUILDLAND_ABANDON_TEXT1	Souhaitez-vous céder les terres de la guilde ?
GUILDLAND_ABANDON_TEXT2	Êtes-vous sûr de vouloir céder les terres de la guilde ?
GUILDLAND_ABANDON_TEXT3	L'entrepôt de guilde et tous les bâtiments sont rasés.
GUILDLAND_ACCEPT	Oui
GUILDLAND_DONTHAVE_LAND	Vous ne possédez pas de terrain de guilde.
GUILDLAND_NOT	Non
GUILDLIST_APPLICANT	Souhaitez-vous déposer votre candidature ?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	La hauteur est inférieure à 12 Pixels.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La largeur est supérieure à 16 Pixels.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La largeur est inférieure à 64 Pixels.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	La hauteur est supérieure à 128 Pixels.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Le jeu ne supporte pas cette image..
GUILDMARK_UPLOADER_ERROR_PATH	Déplacez cette donnée dans le dossier metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Aucun fichier image choisi.
GUILDWAR_ALL	Combats (C)
GUILDWAR_CTF_TITLE	Combat de drapeau
GUILDWAR_DRAW	Nul (N)
GUILDWAR_GAINSCORE_FIFTY	50 points
GUILDWAR_GAINSCORE_HUNDRED	100 points
GUILDWAR_GAINSCORE_THIRTY	30 points
GUILDWAR_GAMETIME_SIXTY	60 minutes
GUILDWAR_GAMETIME_TEN	10 minutes
GUILDWAR_GAMETIME_THIRTY	30 minutes
GUILDWAR_INPUT_OTHERGUILD	Veuillez inscrire la guilde ennemie.
GUILDWAR_LADDER	Points de grade
GUILDWAR_LIMIT_MEMBER_FIVE	Il faut au moins 5 participants.
GUILDWAR_LOSE	Défaites (D)
GUILDWAR_NORMAL_TITLE	Champ de bataille
GUILDWAR_OVER_MEMBERCOUNT	Votre affiliation touche à sa fin.
GUILDWAR_QUESTION_LINE_1	La Guilde %s a déclaré la guerre à votre Guilde.
GUILDWAR_QUESTION_LINE_2	Acceptez vous ? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d C, %d V, %d D, %d N
GUILDWAR_SELECT_MEMBER_COUNT	Veuillez choisir le nombre de participants.
GUILDWAR_TYPE_DEFENSE	Combat de bouclier
GUILDWAR_TYPE_TIGER	Combat à mort
GUILDWAR_TYPE_TIME	Attaque minutée
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Combat en arène
GUILDWAR_WIN	Victoires (V)
GUILDWAR_WIN_FIVE	Cinq parties
GUILDWAR_WIN_ONE	Une partie
GUILDWAR_WIN_THREE	Trois parties
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	EXP actuels/EXP maximums (niveau maximum : %d)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	Vous pouvez améliorer ceci depuis le terrain de guilde. (Niveau maximum : 3)
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Niveau
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	Vous n'avez pas de terrain de guilde.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Emplacement du terrain de guilde
GUILDWINDOW_BUTTON_BANKGOLDINFO	Historique de guilde
GUILDWINDOW_BUTTON_BASEABANDON	Abandonner le terrain de guilde
GUILDWINDOW_BUTTON_BASEDEAL	Vendre le terrain de guilde
GUILDWINDOW_BUTTON_BOARD	Notes de guilde
GUILDWINDOW_BUTTON_BUILDING_USE_COST_LOG_BUTTON	Aperçu des frais d'utilisation
GUILDWINDOW_BUTTON_CHANGEMASTER	Changer de chef de guilde
GUILDWINDOW_BUTTON_DECLARE	Déclaration de guerre
GUILDWINDOW_BUTTON_DONATE	Donation
GUILDWINDOW_BUTTON_GOLDIN	Versement
GUILDWINDOW_BUTTON_GOLDOUT	Paiement
GUILDWINDOW_BUTTON_GRADE	Gestion des droits
GUILDWINDOW_BUTTON_GUILDLIST	Liste de guilde
GUILDWINDOW_BUTTON_GUILD_BATTLE	Bataille entre guildes
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Retour à la fenêtre de bataille entre guildes.
GUILDWINDOW_BUTTON_HEALGSP	Restaurer le pouvoir du dragon
GUILDWINDOW_BUTTON_INFO	Information sur la guilde
GUILDWINDOW_BUTTON_LANDINFO	Informations du terrain
GUILDWINDOW_BUTTON_MARK	Télécharger le symbole de la guilde
GUILDWINDOW_BUTTON_MEMBER	Membres
GUILDWINDOW_BUTTON_OFFER	Donner de l'EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Supprimer membre
GUILDWINDOW_BUTTON_SKILL	Compétences de guilde
GUILDWINDOW_BUTTON_SYMBOL	Télécharger le drapeau de guilde
GUILDWINDOW_BUY_GUILD_LAND	Achat de terrain
GUILDWINDOW_CHANGE_BLACKSMITH	Changer de profession
GUILDWINDOW_CHANGE_OBJECT	Transformation
GUILDWINDOW_CHANGE_SMELTER	Transformation de fonderie
GUILDWINDOW_CHANGE_SPECIAL_BUILDING	Ajustements du sanctuaire
GUILDWINDOW_CREATE_OBJECT	Transformation de bâtiment
GUILDWINDOW_DEAL_GUILD_LAND	Vente de terrain
GUILDWINDOW_GRADE_BANK	Est autorisé à utiliser la banque et l'entrepôt de guilde.
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Est autorisé à bannir un membre de la guilde.
GUILDWINDOW_GRADE_GRADENAME	Nom de grade
GUILDWINDOW_GRADE_GRADENUMBER	Numéro de grade
GUILDWINDOW_GRADE_GUILDWAR	Est autorisé à choisir les combattants parmi les membres de guilde.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Est autorisé à accepter de nouveaux membres de guilde.
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Est autorisé à afficher des notes de guilde.
GUILDWINDOW_GRADE_SKILLAUTHORITY	Est autorisé à utiliser les compétences de guilde.
GUILDWINDOW_INFO_LEVEL5	Don de guilde : +5 % EXP
GUILDWINDOW_INFO_LEVEL10	Augmente n. max. de membres
GUILDWINDOW_INFO_LEVEL15	Promo : pouvoir du dragon
GUILDWINDOW_INFO_LEVEL20	Banque : exonération impôt
GUILDWINDOW_INFO_LEVEL25	EXP pour les bâtiments : +10 %
GUILDWINDOW_INFO_LEVEL30	Frais de location : -10 %
GUILDWINDOW_INFO_LEVEL35	Frais de location : -15 %
GUILDWINDOW_INFO_LEVEL40	Frais de location : -20 %
GUILDWINDOW_INFO_LEVEL_TEXT	Niveau de guilde : %d
GUILDWINDOW_LAND_BUY	Acheter le terrain
GUILDWINDOW_LAND_TAX	Bail
GUILDWINDOW_LIST_ALL	Tous les empires
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guilde] Vous avez déjà postulé.
GUILDWINDOW_LIST_APPLICANT_LIST	Liste des candidats
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_LV	Niveau
GUILDWINDOW_LIST_CHRACTER_NAME	Nom du personnage
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Apprentissage
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membres
GUILDWINDOW_LIST_GUILD_LIST	Liste de guilde
GUILDWINDOW_LIST_GUILD_LV	Niveau
GUILDWINDOW_LIST_GUILD_NAME	Guilde
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guilde] Veuillez entrer un nom de guilde.
GUILDWINDOW_LIST_LADDER	Points de grade
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guilde] Cette guilde n'a fait aucun appel d'offre.
GUILDWINDOW_LIST_PROMOTE_GUILD	Candidature
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Liste de guilde
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Candidatures
GUILDWINDOW_LIST_REGISTER_GUILD	Poser votre candidature auprès de la guilde
GUILDWINDOW_LIST_SEARCH	Chercher
GUILDWINDOW_LIST_SELECT_GUILD	[Guilde] Veuillez choisir la guilde à laquelle vous souhaitez adhérer.
GUILDWINDOW_PROMOTE_REFRESH	Publicité
GUILDWINDOW_PROMOTE_REGISTER	Publicité
GUILDWINDOW_REFUND_REDUCED_TAX	Restitution des frais d'utilisation
GUILDWINDOW_SP_RECOVER	Pouvoir du Dragon
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Agrandissement d'autel
GUILDWINDOW_UPGRADE_GUILDBANK	Agrandissement de banque
GUILD_ATTENDANCE_FAIL_ALREADY	Vous avez déjà participé aujourd'hui.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Vous ne pouvez pas participer maintenant. La réinitialisation de la participation se déroule toujours à 5h00.
GUILD_BANKINFO_CLOSE	Fermer
GUILD_BANKINFO_NAME	Membre
GUILD_BANKINFO_TYPE	Objet/devise
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Fermer
GUILD_BANK_INFO	Historique de guilde
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Votre inscription à la bataille entre guildes a bien été enregistrée.
GUILD_BATTLE_AREA_INFO_TEXT	Temps restant : %s\nMonstres restants (%d/61)\nBleu : (%s), jaune : (%s), vert : (%s), rouge : (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma :14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Les monstres de %s sont attaqués.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Vous ne pouvez malheureusement pas participer à cette bataille entre guildes, toutes les places sont déjà prises. Retentez votre chance une prochaine fois !
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Vous ne pouvez pas encore entrer. Temps restant : %d minutes
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Vous pouvez uniquement y entrer à partir du Premier village ou du Niveau Dongan.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Aucun adversaire n'a pu être trouvé pour ta guilde. Retentez votre chance une prochaine fois !
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Il n'y a pas assez de place dans votre inventaire.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Vous ne remplissez pas toutes les conditions nécessaires pour pouvoir participer à la bataille entre guildes.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Vous ne pouvez pas entrer dans cette zone, elle a déjà été conquise par une autre guilde.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Vous ne pouvez l'utiliser qu'une fois que votre guilde a conquis la zone.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Seul un chef de guilde peut utiliser cet objet.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Vous ne pouvez pas utiliser le ticket de bataille (G).
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Ceci a déjà été utilisé et ne peut être réutilisé.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Vous devez attendre qu'au moins 2 autres guildes soient de la partie.
GUILD_BATTLE_DEAD_TO_PLAYER	Vous avez été vaincu par un membre de la guilde %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	De la %s, vous avez sorti : %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	La bataille entre guildes commence dans %d minutes. Vous êtes inscrit. Tenez-vous prêt et donnez le meilleur de vous-même !
GUILD_BATTLE_END_MESSAGE	La bataille entre guildes est terminée.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	La bataille entre guildes prend fin dans %d minutes.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Vous être entré dans « %s ». Triomphez de tous les monstres !
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Entrer
GUILD_BATTLE_ENTER_MESSAGE	Vous allez être inscrit pour la bataille entre guildes d'ici peu.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Vous être entré dans « %s ».
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Vous êtes dans l'équipe bleue. Utilisez le portail pour vous rendre dans la zone de bataille entre guildes.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Vous êtes dans l'équipe verte. Utilisez le portail pour vous rendre dans la zone de bataille entre guildes.
GUILD_BATTLE_ENTER_OUTPOST_RED	Vous êtes dans l'équipe rouge. Utilisez le portail pour vous rendre dans la zone de bataille entre guildes.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Vous êtes dans l'équipe jaune. Utilisez le portail pour vous rendre dans la zone de bataille entre guildes.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Vous avez récupéré une récompense pour guilde. Vous la trouverez dans votre inventaire.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Vous avez obtenu un bonus en récompense ! Regarder l'icône du bonus pour en savoir plus.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Récupérer la récompense pour guilde
GUILD_BATTLE_LIST_REMAIN_TIME	Temps restant : %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s a éliminé %d monstres.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Vous n'avez pas de clé de la victoire pour pouvoir ouvrir ce coffre. Éliminez des monstres pour en récupérer une.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Faites de la place dans votre inventaire et réessayez.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Vous ne possédez pas de ticket pour portail (G).
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Vous ne pouvez pas encore y participer, votre guilde a été créée il y a moins de 24 heures.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	La zone est conquise. Un portail s'ouvrira bientôt et des monstres en sortiront pour la défendre.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s a été conquise. Un portail s'ouvrira bientôt et des monstres en sortiront pour la défendre.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Cette zone a déjà été conquise par une autre guilde. Vous serez téléporté au poste avancé de guilde d'ici peu.
GUILD_BATTLE_ONGOING	Bataille en cours...
GUILD_BATTLE_OPEN_REWARD_BOX	Souhaitez-vous ouvrir « %s » ?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Les autres guildes se battent déjà.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Temps restant : %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma :14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Qualifié ?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	La bataille commence dans : %s
GUILD_BATTLE_PERSONAL_BUFF	Bonus de récompense
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Récupérer le bonus en récompense
GUILD_BATTLE_PK_GUILD_MESSAGE	%s a vaincu %d joueurs d'autres guildes.
GUILD_BATTLE_PLAYER_KILL	Vous avez vaincu un membre de la guilde %s.
GUILD_BATTLE_QUALIFICATION	Éliminez le roi dragon pour y participer\nou utilisez un ticket de bataille (G)
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Essayez à nouveau.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Vous serez téléporté dans %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Vous avez été ressuscité grâce à la résurrection (G).
GUILD_BATTLE_START_MESSAGE	Que la bataille entre guildes commence ! Relevez le défi en cliquant sur « Entrer » dans le menu de bataille (G).
GUILD_BATTLE_STATUS_BOARD_PK	Joueurs éliminés : %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s : %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Bleu
GUILD_BATTLE_TEAM_NAME_GREEN	Vert
GUILD_BATTLE_TEAM_NAME_RED	Rouge
GUILD_BATTLE_TEAM_NAME_YELLOW	Jaune
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Vous avez utilisé votre ticket pour portail (G) et allez être téléporté vers « %s ».
GUILD_BATTLE_USE_SCROLL	Souhaitez-vous participer à la bataille entre guildes ?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Votre inscription à la bataille entre guildes a été interrompue.
GUILD_BOARD_ID	Membre
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_CATEGORY_ALTAR	Altar
GUILD_BUILDING_CATEGORY_SMELT	Bâtiment de raffinage
GUILD_BUILDING_CATEGORY_SPECIAL	Sanctuaires
GUILD_BUILDING_CATEGORY_STORAGE	Entrepôt de guilde
GUILD_BUILDING_FIX_CHANGE	Voulez-vous vraiment changer la position ?
GUILD_BUILDING_FIX_CHANGE_GOLD	Coût : 1 000 000 Yangs
GUILD_BUILDING_FIX_DELETE	Voulez-vous vraiment supprimer cet objet ?
GUILD_BUILDING_FIX_NEED_BUILDING	Aucun bâtiment.
GUILD_BUILDING_GRADE	Grade
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Vous n'avez pas pu investir dans ce bâtiment car il a été modifié.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Expérience de bâtiment
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Investir de l'expérience de bâtiment
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Vous n'avez pas assez de place dans votre inventaire pour obtenir des tickets de construction spéciaux.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Vous avez déjà utilisé toutes vos possibilités d'investissement.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Il vous manque %s objets.
GUILD_BUILDING_INVEST_QUESTION	Souhaitez-vous investir 1 %s pour %s ?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s a atteint le niveau %s.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Ce bâtiment a déjà atteint le niveau maximal et ne peut bénéficier d'amélioration supplémentaire.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Vous avez utilisé un %s à %s pour y investir %s EXP.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Le niveau de guilde n'est pas suffisamment élevé pour améliorer le bâtiment plus avant. Augmentez d'abord le niveau de guilde.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Paysage
GUILD_BUILDING_LOG_PLUS	Tronc+
GUILD_BUILDING_NAME	Nom du bâtiment
GUILD_BUILDING_PLY_PLUS	Contreplaqué+
GUILD_BUILDING_SMELT_STONE	Pierre de rune
GUILD_BUILDING_STONE_PLUS	Pierre de fondation+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Vous n'avez pas les autorisations requises pour utiliser cet objet.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Bâtiments d'amélioration
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Bâtiment de raffinage
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Sanctuaires
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Fermer
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Nom
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Type de bâtiment
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Quantité obtenue
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'énergie de l'Esprit du Dragon est déjà au maximum.
GUILD_CHANGEMASTER_TEXT1	Le nouveau chef sera : %s
GUILD_CHANGEMASTER_TEXT2	Souhaitez-vous élire un nouveau chef de guilde ?
GUILD_CHANGEMASTER_TEXT3	Êtes-vous sûr de vouloir
GUILD_CHANGEMASTER_TEXT4	devenir le chef de guilde ?
GUILD_COMMENT	Ecrivez
GUILD_CONTENTS_ONGOING	Bataille en cours...
GUILD_CREATE_ERROR_INSULT_NAME	Nom de Guilde non valide
GUILD_DEFAULT_GRADE	Membres de la Guilde
GUILD_DELETE	Effacer
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	Expérience utilisée
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Quantité minimale : 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Il n'y a pas de points d'expérience à utiliser.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Pas assez de points d'expérience.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Pas assez de Yangs.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Nombre requis
GUILD_DEPOSIT	Dépôt
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Vous ne pouvez pas quitter la guilde maintenant, vous êtes en pleine bataille.
GUILD_DISBAND_SUCCESS_MESSAGE	La guilde a été dissoute.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Vous n'avez pas assez de bons de donation élevée.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Votre inventaire est plein. Vous ne pouvez pas faire de donation.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Vous devez au moins atteindre le niveau 30 pour faire une donation.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Vous n'avez pas assez de bons de donation moyenne.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Pas assez de Yangs.
GUILD_DONATE_FAIL_TIME	Vous ne pouvez pas faire de donation pendant les 24 heures après être entré dans la guilde.
GUILD_DONATE_QUESTION_HIGH	Voulez-vous faire une donation élevée ?
GUILD_DONATE_QUESTION_MIDDLE	Voulez-vous faire une donation moyenne ?
GUILD_DONATE_QUESTION_NORMAL	Voulez-vous faire une donation ordinaire ?
GUILD_DO_YOU_HEAL_GSP	Voulez-vous restaurer pour %d Yangs %d unités d'Esprit du Dragon ?
GUILD_DO_YOU_JOIN	, vous a invité. Rejoindre cette guilde ?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Classement général : Repaire de Meley
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Classement général : Crypte de Balathor
GUILD_DRAGONLAIR_PARTY_ALL	Liste générale des meilleurs joueurs
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	À partir de la 11e place : 100 Gayas
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Aide
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1re place : 400 Gayas
GUILD_DRAGONLAIR_PARTY_LINE_THREE	De la 4e à la 10e place : 200 Gayas
GUILD_DRAGONLAIR_PARTY_LINE_TWO	De la 2e à la 3e place : 300 Gayas
GUILD_DRAGONLAIR_PARTY_MEMBER	Membres
GUILD_DRAGONLAIR_PARTY_NOW	Liste des meilleurs joueurs hebdomadaire
GUILD_DRAGONLAIR_PARTY_PAST	Liste des meilleurs joueurs précédente
GUILD_DRAGONLAIR_PARTY_TIME	Temps
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Récompense
GUILD_DRAGONLAIR_RANKING_FAIL	ÉCHEC
GUILD_DRAGONLAIR_RANKING_NONE	NOUVEAU
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCÈS
GUILD_DRAGONLAIR_SECOND	Sec.
