ACCE_ABSORB_COST	Costo combinazione: %d
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La scheda grafica del PC non supporta la modalità finestra in 32bit.\nModifica in modalità 16bit o usa la modalità a tutto schermo.
GAME_INIT_ERROR_ITEM_PROTO	I dati degli oggetti non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_MAIN_WINDOW	Non è stato possibile creare la finestra principale.
GAME_INIT_ERROR_MOB_PROTO	I dati dei mostri non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_NETWORK	Non è stato possibile creare la connessione.\nControlla la tua connessione ad internet.
GAME_OPTION_GAME	Gioco
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Seleziona per salvare l'assegnazione dei tasti solo per questo personaggio.
GAME_OPTION_KEYSETTING	Assegnazione tasti
GAME_OPTION_KEYSETTING_CHECK_KEY	A una funzione ora non è più assegnato alcun tasto.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Questo tasto è già in uso per %s. Vuoi modificare questa funzione?
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	%s è stato reimpostato. Scegli nuovamente.
GAME_OPTION_LOOTING	Bottino
GAME_OPTION_SYSTEM	Sistema
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Gli Yang vengono visualizzati se questa opzione è selezionata e nascosti se viene deselezionata.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Nascondi decorazioni
GAME_PICK_MONEY	Hai ricevuto %s Yang.
GAME_USE_MONEY	Sono stati spesi %s Yang.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	Hai utilizzato %d Converti-Gaya.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	Sono state consumate %d gemme.
GEM_CONVERTER_MESSAGE_GEM_MAX	Possiedi già il quantitativo massimo di Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	Ti servono almeno %s gemme.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	Non hai abbastanza Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Vuoi utilizzare il Converti-Gaya?
GEM_SYSTEM_ADD_SLOT	Oggetto richiesto: %s.\nVuoi usarne %d per aprire un ulteriore spazio?
GEM_SYSTEM_BUY_ITEM	Vuoi comprare questo oggetto?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Non hai abbastanza "Resetta Negozio di Gaya".
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Non hai abbastanza Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Non è possibile aggiungere altri spazi.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Apri innanzitutto il Negozio di Gaya.
GEM_SYSTEM_PICK_GEM	Ha ricevuto %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Vuoi resettare?
GEM_USE_GEM	Sono stati spesi %s Gaya.
GIVEUP_QUESTION	Vuoi davvero arrenderti?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Non puoi più utilizzare questo oggetto perché l'evento è terminato.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Non si può utilizzare quando si è già attivata una Torre esplosiva.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Hai trovato tutte le caselle delle Bacche d'oro. La ricompensa la ricevi per posta.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Hai trovato una casella delle Bacche d'oro.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Quella non era una casella delle Bacche d'oro.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Non hai abbastanza Bacche d'oro.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	L'Antiesplosione è stato attivato. Ora hai una protezione contro la prossima Torre esplosiva.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	L'Antiesplosione ti ha protetto e ora ha esaurito il suo potere. Ora le Torri esplosive ti possono danneggiare.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Il teletrasporto ti porterà al livello successivo.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Puoi restare ancora %d minuti nella Terra d'Oro.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	La Spedizione Primordium è terminata.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	La Spedizione Primordium è iniziata. Sconfiggi il Guardiano Primordium e vai nella Terra d'Oro.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Dal Carovaniere puoi acquistare degli item.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Il teletrasporto ti porterà all'oasi.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Le Statue Primordium appariranno tra 10 secondi.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Non puoi utilizzare questo item perché il tuo livello è troppobasso.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Hai già effettuato il reset.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Non possiedi nessun Nuovo inizio Primordium.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	I tuo accessi e il tuo tavoliere sono stati resettati.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Non hai abbastanza spazio nell'inventario.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Non hai abbastanza Bacche amare.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Non puoi acquistare altre Bacche d'oro perché hai superato la quantità max.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Ottieni %d Bacche amare.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Ottieni %d Bacche amare. (Hai %d Bacche amare.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Ottieni %d Bacche d'oro.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Vuoi scoprire una casella per %d Bacche d'oro?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Quando la usi, verranno resettati sia gli accessi rimanenti per la Terra d'Oro che il tavoliere della Caccia alle Bacche d'oro. Vuoi continuare?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Torri esplosive rimanenti: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Statue Primordium rimanenti: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Vuoi andartene da questo luogo? Non potrai entrare nuovamente.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Non hai ancora ritirato la ricompensa.\nSei sicuro di voler lasciare questo luogo? Non potrai entrare nuovamente.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Esci
GUILDBANK_CLEARBANK	Attenzione: si deve svuotare il Magazzino della Gilda
GUILDBANK_DONT_MONEY_OUT	Nella banca della gilda non ci sono Yang.
GUILDBANK_GOLD_IN	Versamento
GUILDBANK_GOLD_OUT	Prelievo
GUILDBANK_ITEM_IN	Deposita
GUILDBANK_ITEM_OUT	Metti in vendita
GUILDBANK_MONEYIN	Versa Yang
GUILDBANK_MONEYOUT	Preleva Yang
GUILDBANK_NOTUSE	Non possiedi i diritti per eseguire questa azione.
GUILDBANK_NOT_ENOUGH_MONEY	Non ha molti Yang da versare.
GUILDBANK_OVER_INCOME	È stato raggiunto il limite del conto.
GUILDBANK_OVER_MONEY	Il conto della gilda è pieno.
GUILDLAND_ABANDON	Cedi terreno della gilda
GUILDLAND_ABANDON_TEXT1	Vuoi abbandonare il Terreno della gilda?
GUILDLAND_ABANDON_TEXT2	Vuoi davvero abbandonare il Terreno della gilda?
GUILDLAND_ABANDON_TEXT3	Il magazzino e gli altri edifici delle gilda verranno rimossi.
GUILDLAND_ACCEPT	Sì
GUILDLAND_DONTHAVE_LAND	Non possiedi alcun terreno della gilda.
GUILDLAND_NOT	No
GUILDLIST_APPLICANT	Vuoi candidarti?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	L'altezza non è di 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La larghezza non è di 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La larghezza non è di 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	L'altezza non è di 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Il gioco non supporta questa immagine.
GUILDMARK_UPLOADER_ERROR_PATH	Sposta il file nella cartella metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Non hai scelto nessuna immagine.
GUILDWAR_ALL	Combattimenti (C)
GUILDWAR_CTF_TITLE	Battaglia per la bandiera
GUILDWAR_DRAW	Parità (P)
GUILDWAR_GAINSCORE_FIFTY	50 punti
GUILDWAR_GAINSCORE_HUNDRED	100 punti
GUILDWAR_GAINSCORE_THIRTY	30 punti
GUILDWAR_GAMETIME_SIXTY	60 minuti
GUILDWAR_GAMETIME_TEN	10 minuti
GUILDWAR_GAMETIME_THIRTY	30 minuti
GUILDWAR_INPUT_OTHERGUILD	Registra gilda avversaria.
GUILDWAR_LADDER	Punti karma
GUILDWAR_LIMIT_MEMBER_FIVE	Numero minimo di partecipanti: 5.
GUILDWAR_LOSE	Sconfitta (S)
GUILDWAR_NORMAL_TITLE	Battaglia campale
GUILDWAR_OVER_MEMBERCOUNT	Hai raggiunto il limite di membri.
GUILDWAR_QUESTION_LINE_1	La Gilda %s ha dichiarato guerra alla tua Gilda.
GUILDWAR_QUESTION_LINE_2	Accetti? (%s)
GUILDWAR_RANKING	Rango
GUILDWAR_RECODE_ALL	%d C; %d V; %d S; %d P
GUILDWAR_SELECT_MEMBER_COUNT	Scegli il numero dei partecipanti.
GUILDWAR_TYPE_DEFENSE	Battaglia difensiva
GUILDWAR_TYPE_TIGER	Battaglia di annientamento
GUILDWAR_TYPE_TIME	Attacco a tempo
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Campo di battaglia
GUILDWAR_WIN	Vittorie (V)
GUILDWAR_WIN_FIVE	Cinque round
GUILDWAR_WIN_ONE	Un round
GUILDWAR_WIN_THREE	Tre round
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	EXP attuale / EXP massima (max: %d livello)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	Puoi migliorarlo nel Terreno della gilda. (Livello massimo: 3)
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Liv.
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	Non possiedi alcun Terreno della gilda.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Posizione del Terreno della gilda
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Magazzino della Gilda
GUILDWINDOW_BUTTON_BASEABANDON	Cedi terreno della gilda
GUILDWINDOW_BUTTON_BASEDEAL	Vendi terreno della gilda
GUILDWINDOW_BUTTON_BOARD	Appunti della gilda
GUILDWINDOW_BUTTON_BUILDING_USE_COST_LOG_BUTTON	Panoramica dei costi di utilizzo
GUILDWINDOW_BUTTON_CHANGEMASTER	Cambia Capo della gilda
GUILDWINDOW_BUTTON_DECLARE	Dichiarazione di guerra
GUILDWINDOW_BUTTON_DONATE	Donazione
GUILDWINDOW_BUTTON_GOLDIN	Versamento
GUILDWINDOW_BUTTON_GOLDOUT	Prelievo
GUILDWINDOW_BUTTON_GRADE	Amministra diritti
GUILDWINDOW_BUTTON_GUILDLIST	Lista delle gilde
GUILDWINDOW_BUTTON_GUILD_BATTLE	Scontro tra gilde
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Torna alla finestra "Scontro tra gilde"
GUILDWINDOW_BUTTON_HEALGSP	Ripristina Forza del drago
GUILDWINDOW_BUTTON_INFO	Informazioni della gilda
GUILDWINDOW_BUTTON_LANDINFO	Informazioni terreno
GUILDWINDOW_BUTTON_MARK	Carica Stemma della gilda
GUILDWINDOW_BUTTON_MEMBER	Membri
GUILDWINDOW_BUTTON_OFFER	Dona EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Espelli membro
GUILDWINDOW_BUTTON_SKILL	Abilità della gilda
GUILDWINDOW_BUTTON_SYMBOL	Carica Stemma della gilda
GUILDWINDOW_BUY_GUILD_LAND	Acquisto di terreno
GUILDWINDOW_CHANGE_BLACKSMITH	Cambia professione
GUILDWINDOW_CHANGE_OBJECT	Modifica
GUILDWINDOW_CHANGE_SMELTER	Modifica della fornace
GUILDWINDOW_CHANGE_SPECIAL_BUILDING	Modifiche all'altare
GUILDWINDOW_CREATE_OBJECT	Costruzione di edifici
GUILDWINDOW_DEAL_GUILD_LAND	Vendita di terreno
GUILDWINDOW_GRADE_BANK	Si possono usare la banca della gilda e il Magazzino della gilda
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Si può espellere il membro dalla gilda
GUILDWINDOW_GRADE_GRADENAME	Nome di rango
GUILDWINDOW_GRADE_GRADENUMBER	Numero di rango
GUILDWINDOW_GRADE_GUILDWAR	Si possono scegliere i membri che partecipano in veste di guerrieri
GUILDWINDOW_GRADE_INVITEAUTHORITY	Si possono ammettere dei giocatori nella gilda
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Appendi appunti della gilda
GUILDWINDOW_GRADE_SKILLAUTHORITY	Si possono utilizzare le abilità della gilda
GUILDWINDOW_INFO_LEVEL5	+5% EXP donazioni gilda
GUILDWINDOW_INFO_LEVEL10	Incrementa num. max. membri
GUILDWINDOW_INFO_LEVEL15	Sconto: Forza del drago
GUILDWINDOW_INFO_LEVEL20	Banca: detassazione
GUILDWINDOW_INFO_LEVEL25	+10% di EXP per gli edifici
GUILDWINDOW_INFO_LEVEL30	-10 % Canone di affitto del terreno
GUILDWINDOW_INFO_LEVEL35	-15 % Canone di affitto del terreno
GUILDWINDOW_INFO_LEVEL40	-20 % Canone di affitto del terreno
GUILDWINDOW_INFO_LEVEL_TEXT	Livello della gilda %d
GUILDWINDOW_LAND_BUY	Acquista terra
GUILDWINDOW_LAND_TAX	Affitto
GUILDWINDOW_LIST_ALL	Tutti i regni
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilda] Hai già presentato la candidatura.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista candidati
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_LV	Livello
GUILDWINDOW_LIST_CHRACTER_NAME	Nome del personaggio
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Dottrina
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membri
GUILDWINDOW_LIST_GUILD_LIST	Lista delle gilde
GUILDWINDOW_LIST_GUILD_LV	Livello
GUILDWINDOW_LIST_GUILD_NAME	Gilda
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilda] Inserisci un nome per la gilda.
GUILDWINDOW_LIST_LADDER	Punti karma
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilda] Questa gilda non ha bando.
GUILDWINDOW_LIST_PROMOTE_GUILD	Candidatura
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista delle gilde
GUILDWINDOW_LIST_RANKING	Posizione
GUILDWINDOW_LIST_RANKING_COUNT	Posizione
GUILDWINDOW_LIST_REGISTER	Candidature
GUILDWINDOW_LIST_REGISTER_GUILD	Candidati in una gilda
GUILDWINDOW_LIST_SEARCH	Cerca
GUILDWINDOW_LIST_SELECT_GUILD	[Gilda] Scegli una gilda in cui ti vuoi candidare.
GUILDWINDOW_PROMOTE_REFRESH	Pubblicità
GUILDWINDOW_PROMOTE_REGISTER	Pubblicità
GUILDWINDOW_REFUND_REDUCED_TAX	Rimborso dei costi di utilizzo
GUILDWINDOW_SP_RECOVER	Forza del Drago
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Ampliamento dell'altare
GUILDWINDOW_UPGRADE_GUILDBANK	Ampliamento della banca
GUILD_ATTENDANCE_FAIL_ALREADY	Oggi hai già partecipato.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Ora non puoi partecipare. Sarà possibile partecipare di nuovo a partire dalle ore 05:00.
GUILD_BANKINFO_CLOSE	Chiudi
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TYPE	Oggetto/Valuta
GUILD_BANKINFO_USETYPE	Offerta
GUILD_BANK_CLOSE	Chiudi
GUILD_BANK_INFO	Log Magazzino della Gilda
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Hai effettuato la registrazione per lo Scontro tra gilde.
GUILD_BATTLE_AREA_INFO_TEXT	Tempo rimanente: %s\nMostri rimanenti (%d/61)\nBlu: (%s) Gialli: (%s) Verdi: (%s) Rossi: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma: 14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Sono sotto attacco i mostri che si trovano qui: %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Non ci sono più posti liberi. Pertanto, non ti sarà possibile prendere parte allo Scontro tra gilde. Riprova un'altra volta!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Non puoi ancora partecipare. Tempo rimanente: %d min.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Puoi accedere solamente dal primo villaggio o dalla Piana Dongan.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Non è stato trovato alcuno sfidante adatto alla tua gilda. Riprova un'altra volta.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Non hai abbastanza spazio nell'inventario.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Non soddisfi tutti i requisiti per partecipare allo Scontro tra gilde.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Non puoi accedere a questa zona perché è già stata conquistata da un'altra gilda.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Si può utilizzare solo quando la propria gilda ha conquistato la zona.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Solo il Capo Gilda può usare questo Item.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Il Biglietto Gilda vs Gilda non si può utilizzare.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	È già stato usato e non si può riutilizzare.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Bisogna aspettare che partecipino almeno altre 2 gilde.
GUILD_BATTLE_DEAD_TO_PLAYER	Ti ha sconfitto un membro di questa gilda: %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	Da %s hai ricevuto %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Lo Scontro tra gilde incomincia tra %d minuti. Hai effettuato la registrazione per la partecipazione. Preparati e dai il meglio di te!
GUILD_BATTLE_END_MESSAGE	Lo Scontro tra gilde è terminato.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Lo Scontro tra gilde termina tra %d minuti.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Sei entrato qui: %s. Sconfiggi tutti i mostri!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Entra
GUILD_BATTLE_ENTER_MESSAGE	A breve verrà eseguita la tua registrazione per lo Scontro delle gilde.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Sei entrato qui: %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Fai parte della squadra blu. Usa il portale per raggiungere la zona dello Scontro tra gilde.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Fai parte della squadra verde. Usa il portale per raggiungere la zona dello Scontro tra gilde.
GUILD_BATTLE_ENTER_OUTPOST_RED	Fai parte della squadra rossa. Usa il portale per raggiungere la zona dello Scontro tra gilde.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Fai parte della squadra gialla. Usa il portale per raggiungere la zona dello Scontro tra gilde.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Hai ottenuto una ricompensa della gilda. La trovi nel tuo Inventario.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Hai ricevuto un buff come ricompensa. Per capire meglio di cosa si tratta dai uno sguardo alla icona del buff.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Ricompensa della gilda ottenuta
GUILD_BATTLE_LIST_REMAIN_TIME	Tempo rimanente: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s ha sconfitto %d mostri.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Ti manca la Chiave Vittoria e non puoi aprire lo scrigno. Sconfiggi dei mostri per trovare la chiave.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Fai un po' di spazio nell'Inventario e riprova.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Non possiedi alcun Biglietto Portale gilda.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Non è permesso partecipare alle gilde fondate nelle 24 ore appena trascorse.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	La zona è stata conquistata. A breve si aprirà un portale e compariranno dei mostri che difenderanno la zona conquistata.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s è stata conquistata. A breve si aprirà un portale e compariranno dei mostri che difenderanno la zona conquistata.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Non si può accedere a questa zona perché è già stata conquistata da un'altra gilda. A breve verrai reindirizzato all'Avamposto della gilda.
GUILD_BATTLE_ONGOING	Battaglia in corso
GUILD_BATTLE_OPEN_REWARD_BOX	Vuoi aprire %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Le altre gilde sono pronte per lo scontro.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Tempo rimanente: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma: 14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Qualificati?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Lo scontro inizia tra: %s
GUILD_BATTLE_PERSONAL_BUFF	Buff ricompensa
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Buff ricompensa ricevuto
GUILD_BATTLE_PK_GUILD_MESSAGE	%s ha sconfitto %d giocatori appartenenti ad altre gilde.
GUILD_BATTLE_PLAYER_KILL	Hai sconfitto un membro della gilda di %s.
GUILD_BATTLE_QUALIFICATION	Per partecipare devi sconfiggere il Re Drago\noppure utilizzare il Biglietto Gilda vs Gilda.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Riprova.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Il teletrasporto avverrà tra: %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Rianimazione Gilda ti ha resuscitato.
GUILD_BATTLE_START_MESSAGE	Lo scontro tra gilde è cominciato! Vai nel Menù Scontro tra gilde e clicca su "Entra" per partecipare alla sfida!
GUILD_BATTLE_STATUS_BOARD_PK	Uccisioni (personaggio giocante): %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d / %d
GUILD_BATTLE_TEAM_NAME_BLUE	Blu
GUILD_BATTLE_TEAM_NAME_GREEN	Verdi
GUILD_BATTLE_TEAM_NAME_RED	Rossi
GUILD_BATTLE_TEAM_NAME_YELLOW	Gialli
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Hai utilizzato il Biglietto Portale gilda e a breve verrai teletrasportato qui: %s.
GUILD_BATTLE_USE_SCROLL	Vuoi partecipare allo Scontro tra gilde?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	È stata annullata la registrazione per la partecipazione allo Scontro tra gilde.
GUILD_BOARD_ID	Membro
GUILD_BOARD_TEXT	Messaggio
GUILD_BUILDING_CATEGORY_ALTAR	Altare
GUILD_BUILDING_CATEGORY_SMELT	Edificio di raffinamento
GUILD_BUILDING_CATEGORY_SPECIAL	Altari
GUILD_BUILDING_CATEGORY_STORAGE	Magazzino Gilda
GUILD_BUILDING_FIX_CHANGE	Vuoi davvero cambiare posizione?
GUILD_BUILDING_FIX_CHANGE_GOLD	Costo: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Vuoi davvero eliminare l'oggetto?
GUILD_BUILDING_FIX_NEED_BUILDING	Non ci sono edifici disponibili.
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Non hai potuto investire in quell'edificio perché è stato ristrutturato.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	EXP costruzione
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Investi EXP costruzione
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Non hai abbastanza spazio nell'inventario per ricevere i Biglietti speciale per la costruzione.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Hai già esaurito tutte le tue possibilità di investimento.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Ti mancano %s oggetti.
GUILD_BUILDING_INVEST_QUESTION	Vuoi investire 1 %s qui: %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s ha raggiunto il livello %s.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Questo edificio ha già raggiunto il livello massimo e non può essere migliorato ulteriormente.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Hai usato un %s in %s investendo %s EXP.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Il livello della gilda non è abbastanza alto per poter migliorare ulteriormente questo edificio. Per prima cosa, aumenta il livello della gilda.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Paesaggio
GUILD_BUILDING_LOG_PLUS	Tronco+
GUILD_BUILDING_NAME	Nome della costruzione
GUILD_BUILDING_PLY_PLUS	Compensato+
GUILD_BUILDING_SMELT_STONE	Pietra runica
GUILD_BUILDING_STONE_PLUS	Pietra fondamenta+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Non hai i diritti necessari per utilizzare questo oggetto.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Edificio di miglioramento
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Edificio di raffinamento
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Altari
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Chiudi
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Nome
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Tipo di edificio
