ACCEPT	ÎÊ
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	×àñòíûå ëàâêè
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Ïîêàçûâàòü âñå
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Ïîêàçûâàòü âñå â áîëüøîì ğàäèóñå
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Ïîêàçûâàòü âñå â ñğåäíåì ğàäèóñå
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Ïîêàçûâàòü âñå ïîáëèçîñòè
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Ïîêàçûâàòü âñå â íåïîñğåäñòâ. áëèçîñòè
GUILDWINDOW_BASE_BUFF	Áîíóñû ãèëüäèè
GUILD_ATTENDANCE_LOCA1	Ïåğâîå ó÷àñòèå: 1x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA2	10 è áîëüøå: 1x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA3	20 è áîëüøå: 2x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA4	30 è áîëüøå: 4x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA5	40 è áîëüøå: 6x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA6	50 è áîëüøå: 8x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA7	60 è áîëüøå: 10x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA8	70 è áîëüøå: 12x Ìåäàëü çà õğàáğîñòü
GUILD_ATTENDANCE_LOCA9	Íà÷àëî: êàæäûé äåíü â 5:00
GUILD_ATTENDANCE_TITLE	Íàãğàäà çà ó÷àñòèå
GUILD_BANKINFO_CLOSE	Çàêğûòü
GUILD_BANKINFO_NAME	Ó÷àñòíèê
GUILD_BANKINFO_TITLE	Æóğíàë ñêëàäà ãèëüäèè
GUILD_BANKINFO_TYPE	Ïğåäìåò/Âàëşòà
GUILD_BANKINFO_USETYPE	Äåéñòâèå
GUILD_BANK_CLOSE	Çàêğûòü
GUILD_BANK_INFO	Ñòğ. ñêëàäà:
GUILD_BASEINFO_BANK	Ñêëàä ãèëüäèè
GUILD_BASEINFO_BANKLASTOUT	Ïîñë.âçÿò.ïğåäì.:
GUILD_BASEINFO_BUILDING	Çäàíèå ãèëüäèè
GUILD_BASEINFO_BUILDING_LEVEL	Óğîâåíü çäàíèÿ
GUILD_BASEINFO_FACILITY	Óëó÷øåíèå
GUILD_BASEINFO_FACTORY	Êóçíåö ãèëüäèè
GUILD_BASEINFO_GUILDLAND	Çåìëÿ ãèëüäèè
GUILD_BASEINFO_LANDSCAPE	Ïğî÷åå
GUILD_BASEINFO_LOCALE	Ìåñòîïîëîæåíèå
GUILD_BASEINFO_MONEY	Áàëàíñ ñ÷åòà
GUILD_BASEINFO_MONEYBANKINFO	Èíôîğìàöèÿ î áàíê. ñ÷åòå ãèëüäèè
GUILD_BASEINFO_MONEYLASTOUT	Ïîñëåäíåå ñíÿòèå
GUILD_BASEINFO_POWER	Àëòàğü Ìîùè
GUILD_BASEINFO_SMEITER	Àëõèìèê ãèëüäèè
GUILD_BASEINFO_SMELTER	Óëó÷øåíèå
GUILD_BASEINFO_SPECIAL	Àëòàğè
GUILD_BASEINFO_TITLE	Èíôîğìàöèÿ î çåìëå
GUILD_BASENAME	Áàçîâîå èìÿ
GUILD_BATTLE_AREA_MOVE_BUTTON	Ïåğåíåñòèñü
GUILD_BATTLE_RANK_BOARD	Ğåéòèíã
GUILD_BATTLE_RANK_BOARD_MOB_KILL	Ìîíñòğû\nóáèòû
GUILD_BATTLE_RANK_BOARD_NAME	Èìÿ
GUILD_BATTLE_RANK_BOARD_PC_DEAD	Ñìåğòè\nîò èãğ.
GUILD_BATTLE_RANK_BOARD_PC_KILL	Èãğîêè\nóáèòû
GUILD_BATTLE_RANK_BOARD_RANK	Ìåñòî
GUILD_BATTLE_RANK_BOARD_TEAM	Êîìàíäà
GUILD_BATTLE_RESULT_BOARD	Èòîãè áèòâû ãèëüäèé
GUILD_BATTLE_RESULT_BOARD_EXIT	Âûéòè
GUILD_BATTLE_RESULT_BOARD_RANKING	Ğàíã
GUILD_BATTLE_STATUS_BOARD	Ğåéòèíã
GUILD_BOARD_ID	Èìÿ
GUILD_BOARD_REFRESH	Îáíîâèòü
GUILD_BOARD_TEXT	Ñîîáùåíèå
GUILD_BUILDING_CATEGORY_TITLE	Ñòğóêòóğíûå åäèíèöû
GUILD_BUILDING_CHANGE	Ñìåíèòü
GUILD_BUILDING_CHANGE_DELETE	Óäàëèòü
GUILD_BUILDING_CHANGE_FIX	Ïåğåóñòğîéñòâî ãèëüäèè
GUILD_BUILDING_CHANGE_LIST	Ñïèñîê îáúåêòîâ ãèëüäèè
GUILD_BUILDING_DIRECTION	Íàïğàâëåíèå
GUILD_BUILDING_DONATE_NORMAL_BUTTON_TEXT	Áèëåò íà ñòğîéêó
GUILD_BUILDING_DONATE_NORMAL_TITLE	Îáû÷íûé
GUILD_BUILDING_DONATE_PLUS_BUTTON_TEXT	Îñîá.áèëåò (ñòğ.)
GUILD_BUILDING_DONATE_PLUS_TITLE	Ïëşñ
GUILD_BUILDING_DONATE_WINDOW_TITLE	Âëîæèòü îïûò çäàíèÿ (%s)
GUILD_BUILDING_FIX	Ïåğåóñòğîéñòâî
GUILD_BUILDING_GRADE	Ğàíã
GUILD_BUILDING_INFO	Çäàíèÿ è çàòğàòû-èíôî
GUILD_BUILDING_LANDSCAPE_WINDOW_TITLE	Ëàíäøàôò
GUILD_BUILDING_LIST_TITLE	Ñïèñîê çäàíèé
GUILD_BUILDING_LOG	Áğåâíî
GUILD_BUILDING_NAME	Èìÿ çäàíèÿ
GUILD_BUILDING_OPERATE	Óïğàâëÿòü
GUILD_BUILDING_PLY	Ôàíåğà
GUILD_BUILDING_POSITION	Ğàñïîëîæåíèå
GUILD_BUILDING_PREVIEW	ñìîòğåòü
GUILD_BUILDING_PRICE	Öåíà
GUILD_BUILDING_REFRESH	Îáíîâèòü
GUILD_BUILDING_SPECIAL_BUFF_LEVEL_1	ß÷åéêà 1
GUILD_BUILDING_SPECIAL_BUFF_LEVEL_2	ß÷åéêà 2
GUILD_BUILDING_SPECIAL_BUFF_LEVEL_3	ß÷åéêà 3
GUILD_BUILDING_SPECIAL_BUFF_MATERIAL_TITLE	Òğåáóåìûå ìàòåğèàëû
GUILD_BUILDING_SPECIAL_BUFF_NAME_TITLE	Óñèëåíèå
GUILD_BUILDING_SPECIAL_BUFF_REROLL_TITLE	Öåíà îáìåíà
GUILD_BUILDING_SPECIAL_BUFF_TIME_TITLE	Âğåìÿ
GUILD_BUILDING_SPECIAL_BUFF_TITLE	Óğîâåíü àëòàğÿ
GUILD_BUILDING_SPECIAL_BUFF_UI_TITLE	Áîíóñ àëòàğÿ
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_1	ß÷åéêà 1
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_2	ß÷åéêà 2
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_3	ß÷åéêà 3
GUILD_BUILDING_SPECIAL_SUMMON_LEVEL_TITLE	Óğîâåíü
GUILD_BUILDING_SPECIAL_SUMMON_MATERIAL_TITLE	Òğåáóåìûå ìàòåğèàëû
GUILD_BUILDING_SPECIAL_SUMMON_MOB_NAME_TITLE	Èìÿ
GUILD_BUILDING_SPECIAL_SUMMON_REROLL_TITLE	Öåíà îáìåíà
GUILD_BUILDING_SPECIAL_SUMMON_TITLE	Óğîâåíü àëòàğÿ
GUILD_BUILDING_SPECIAL_SUMMON_UI_TITLE	Àëòàğü ïğèçûâà
GUILD_BUILDING_STONE	Êàìåíü
GUILD_BUILDING_TITLE	Ñîîğóæåíèå êîğïóñà Ãèëüäèè
GUILD_BUILDING_USE_COST_LOG_UI_TITLE	Îáçîğ ïëàòû çà èñïîëüçîâàíèå
GUILD_CRYSTAL	Õğóñòàëü
GUILD_DELETE_PLAYER_EXP_BUTTON_TEXT	Óäàëèòü îïûò
GUILD_DELETE_PLAYER_EXP_DIALOG_CANCEL_BUTTON_TEXT	Îòìåíèòü
GUILD_DELETE_PLAYER_EXP_DIALOG_CONFIRM_BUTTON_TEXT	Ïîäòâåğäèòü
GUILD_DELETE_PLAYER_EXP_DIALOG_MAX_BUTTON_TEXT	ÌÀÊÑ.
GUILD_DELETE_PLAYER_EXP_DIALOG_TITLE	Èñïîëüçîâàííûé îïûò
GUILD_DEPOSIT	Çàïëàòèòü
GUILD_DONATE_BUTTON_OVER_TEXT	Ñëó÷àéíûé ïğåäìåò
GUILD_DONATE_COUNT	Äîñòóïíûå âçíîñû: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Îïûò ãèëüäèè
GUILD_DONATE_HIGH_MATERIAL	Áîëüøîé âçíîñ
GUILD_DONATE_MEDAL_OF_HONOR	Ìåäàëü çà õğàáğîñòü
GUILD_DONATE_MIDDLE_MATERIAL	Ñğåäíèé âçíîñ
GUILD_DONATE_MY_MEDAL_OF_HONOR	Ìîè ìåäàëè çà õğàáğîñòü
GUILD_DONATE_NORMAL_MATERIAL	120 000 ÿíã
GUILD_DONATE_TAB_HIGH	Áîëüøîé âçíîñ
GUILD_DONATE_TAB_MIDDLE	Ñğåäíèé âçíîñ
GUILD_DONATE_TAB_NORMAL	Ìàëûé âçíîñ
GUILD_DONATE_TITLE	Îïûò çà âçíîñû
GUILD_DRAGONLAIR_RANKING	Ñïèñîê ëó÷øèõ
GUILD_DRAGONLAIR_RANKING_COUNT	Ìåñòî
GUILD_DRAGONLAIR_RANKING_MEMBER	Ó÷àñòíèêè
GUILD_DRAGONLAIR_RANKING_NAME	Ãèëüäèÿ
GUILD_DRAGONLAIR_RANKING_TIME	Âğåìÿ
GUILD_DROP_RESOURCE1	çäåñü
GUILD_DROP_RESOURCE2	Âûáğîñèòü ğåñóğñû
GUILD_GEM	Ñàìîöâåò
GUILD_GRADE_CHANGE_GRADE_NAME	Ñìåíèòü ğàíã
GUILD_GRADE_NUM	Ğàíã
GUILD_GRADE_PERMISSION_BANK	Ìîæåò èñïîëüçîâàòü áàíê è ñêëàä ãèëüäèè
GUILD_GRADE_PERMISSION_DELETE	Èñêëş÷èòü èç ãèëüäèè
GUILD_GRADE_PERMISSION_JOIN	Ìîæåò ïğèíèìàòü èãğîêîâ â ãèëüäèş
GUILD_GRADE_PERMISSION_NOTICE	Ìîæåò ïğèêğåïëÿòü çàìåòêè ãèëüäèè
GUILD_GRADE_PERMISSION_SKILL	Íàâûêè ãèëüäèè
GUILD_GRADE_PERMISSION_WAR	Ìîæåò âûáèğàòü òåõ ó÷àñòíèêîâ, êòî ñìîæåò ó÷àñòâîâàòü â ñğàæåíèÿõ.
GUILD_GRADE_RANK	Ğàíã
GUILD_GRADE_WRITE	Íàïèñàòü
GUILD_INFO	Èíôî ïî Ãèëüäèè
GUILD_INFO_CUR_EXP	Îïûò
GUILD_INFO_DECALRE_WAR	Îáúÿâèòü âîéíó
GUILD_INFO_ENEMY_GUILD	Âğàæåñêàÿ Ãèëüäèÿ
GUILD_INFO_ENEMY_GUILD_EMPTY	Íèêàêîé
GUILD_INFO_LEVEL	Óğîâåíü Ãèëüäèè
GUILD_INFO_MARK	Ñèìâîë ãèëüäèè
GUILD_INFO_MASTER	Ëèäåğ
GUILD_INFO_MASTER_VALUE	Ëèäåğ
GUILD_INFO_MEMBER_AVG_LEVEL	Ñğåäíèé óğîâåíü
GUILD_INFO_MEMBER_NUM	Êîëè÷åñòâî ó÷àñòíèêîâ
GUILD_INFO_NAME	Èìÿ Ãèëüäèè
GUILD_INFO_NAME_VALUE	İòî èìÿ Ãèëüäèè
GUILD_INFO_OFFER_EXP	Èíâåñò.
GUILD_INFO_REST_EXP	Íåîáõîäèìûé îïûò
GUILD_INFO_UPLOAD_MARK	Çàãğóçèòü ñèìâîë
GUILD_INFO_UPLOAD_SYMBOL	Çàãğóçèòü ôëàã
GUILD_MARK	Ñèìâîë ãèëüäèè
GUILD_MASTER_CHANGE_TITLEBAR	Îòêàçàòüñÿ îò ïîñòà Ëèäåğà
GUILD_MEMBER_JOB	Ğàñà
GUILD_MEMBER_KNIGHT	Âîèíû
GUILD_MEMBER_LEVEL	Óğîâåíü
GUILD_MEMBER_NAME	Èìÿ
GUILD_MEMBER_OUT_TITLEBAR	Èñêëş÷åíèå ó÷àñòíèêà
GUILD_MEMBER_PACE_ATTENDANCE	Ó÷àñòèå ({0}/{1})
GUILD_MEMBER_RANK	Ğàíã
GUILD_MEMBER_SPECIFIC_GRAVITY	Èíâåñò.
GUILD_METIN_STONE	Êàìåíü äóõà
GUILD_MINENAL	Ìèíåğàë
GUILD_MONEY	ßíã
GUILD_NAME	Ãèëüäèÿ
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_CLEAR_TIME	Âğåìÿ
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_GUILD_NAME	Íàçâàíèå ãèëüäèè
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_MEMBER_COUNT	Ó÷àñòíèêè
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_RANK	Ğàíã
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_UPDATE_TIME	Âğåìÿ çàâåğøåíèÿ
GUILD_RESOURCE_INFO	Ğåñóğñû
GUILD_SKILLPAGE_LADDER	Î÷êè ğàíãà
GUILD_SKILLPAGE_RANK	Ğàíã
GUILD_SKILL_ACTIVE	Àêòèâíûé
GUILD_SKIlL_HEAL_GSP	Çàğÿäèòü
GUILD_SKILL_PASSIVE	Ïàññèâíûé
GUILD_SKILL_POWER	İíåğãèÿ
GUILD_SKILL_STATE	Íàâûêè ãèëüäèè
GUILD_SYMBOL	Ôëàã ãèëüäèè
GUILD_WAR_ACCEPT	Ïğèíÿòü îáúÿâëåíèå Âîéíû Ãèëüäèé
GUILD_WAR_ALLSCORE	Âñå ñğàæåíèÿ
GUILD_WAR_BATTLE_TYPE	Âèä áîÿ
GUILD_WAR_CTF	Ôëàã
GUILD_WAR_DECLARE	Îáúÿâèòü âîéíó Ãèëüäèè
GUILD_WAR_ENEMY	Âğàã
GUILD_WAR_GAINSCORE	Î÷êè
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Âğåìÿ ñğàæåíèÿ
GUILD_WAR_GAMETIME_SIXTY	60 ìèí.
GUILD_WAR_GAMETIME_TEN	10 ìèí.
GUILD_WAR_GAMETIME_THIRTY	30 ìèí.
GUILD_WAR_JOINMEMBER	Ó÷àñòíèêè
GUILD_WAR_JOINMEMBER_COUNT	Ó÷àñòíèêè
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Ïîëå áèòâû
GUILD_WAR_REPORT	Õîä âîéíû (îáçîğ)
GUILD_WAR_REPORTLIST	Îáçîğ (ñğàæåíèÿ: Ñ, âûèãğûøè: Â, ïîğàæåíèÿ: Ï, íè÷üè: Í)
GUILD_WAR_SCORE	Õîä âîéíû (îáçîğ)
GUILD_WAR_SKILL	Íàâûêè ãèëüäèè
GUILD_WAR_TYPE_DEFENSE	Çàùèòà îáúåêòà
GUILD_WAR_TYPE_DIE	Ñğàæåíèå íà àğåíå
GUILD_WAR_TYPE_FLAG	Ñğàæåíèå çà ôëàãè
GUILD_WAR_TYPE_NORMAL	Ïîëå áèòâû
GUILD_WAR_TYPE_TIGER	Óíè÷òîæåíèå
GUILD_WAR_TYPE_TIME	Ãîíêà çà ïîáåäîé
GUILD_WAR_WARP	Àğåíà
GUILD_WAR_WIN	Ğàóíäû
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Âîäà
GUILD_WATER_STONE	Àêâà-êàìåíü
GUILD_WITHDRAW	Âçÿòü
HELP_ATTACK	Íàæàòèåì êíîïêè ìûøè àêòèâèğóåò îäíîêğàòíóş àòàêó.
HELP_ATTACK_KEY	Àòàêà: ïğîáåë èëè ëåâàÿ êíîïêà ìûøè
HELP_AUTO_ATTACK	Íàæàòèåì êíîïêè ìûøè àêòèâèğóåò àâòîìàòè÷åñêóş àòàêó.
HELP_CAMERA	Âèä êàìåğû
HELP_CHANGE_PK_MODE	Ñìåíà ğåæèìà àòàêè: èçìåíåíèå íàñòğîéêè ëåâîé êíîïêè ìûøè
HELP_CHARACTER_BUTTON1	(Îîêíî íàâûêîâ, îêíî èíâåíòàğÿ
HELP_CHARACTER_BUTTON2	ñïèñîê äğóçåé è íàñòğîéêè)
HELP_CHAT	Äëÿ îáùåíèÿ ñ îòäåëüíûìè ãğóïïàìè ââåäèòå òåêñò: !(Êğèêíóòü), #(Ãğóïïà) èëè %(Ãèëüäèÿ).
HELP_CLICK_OTHER_PLAYER	Íàæàâ íà èãğîêà ïğàâîé êíîïêîé ìûøè âû ìîæåòå ñ íèì òîğãîâàòü, ñîçäàòü ãğóïïó è âûçâàòü íà äóıëü.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Îáçîğ êàìåğû ïî óìîë÷àíèş: ñğåäíÿÿ êíîïêà ìûøè
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Èçìåíèòü îáçîğ êàìåğû: óñòàíîâèòü íà ïğàâóş èëè ëåâóş êíîïêó ìûøè
HELP_EMOTINO	Ïğè ïîìîùè êîìáèíàöèé êíîïîê <CTRL> + <1~9> âû ñìîæåòå ïîêàçàòü ıìîöèè.
HELP_EXP	Îïûò
HELP_FURY	Ìàãàçèí èãğîâûõ ïğåäìåòîâ
HELP_GUILD_WINDOW	Îòêğûòü è çàêğûòü îêíî ãèëüäèè: Alt + G
HELP_HELP	Ñïğàâêà: Í
HELP_HELP_KEY	Ïîìîùü îòîáğàæàåò íàñòğîéêè ïî óìîë÷àíèş.
HELP_HP	Î÷êè æèçíåííîé ıíåğãèè (ÕÏ)
HELP_KEYSETTING	Â íàñòğîéêàõ èãğû âû ìîæåòå íàñòğîèòü èíäèâèäóàëüíûå êîìáèíàöèè êíîïîê.
HELP_MESSENGER_WINDOW	Îòêğûòü ñïèñîê äğóçåé: Alt + M
HELP_MINIMAP	Îòîáğàæåíèå ìèíè-êàğòû.
HELP_MINIMAP_QUEST	Íà áîëüøîé è ìèíè-êàğòàõ ìèãàşùèìè òî÷êàìè îáîçíà÷åíû çàäàíèÿ.
HELP_MOUSE_LEFT	Ôóíêöèÿ ëåâîé êíîïêè ìûøè
HELP_MOUSE_RIGHT	Ôóíêöèÿ ïğàâîé êíîïêè ìûøè
HELP_MOVE_KEY	Ïàíåëü: W, S, A, D èëè ñòğåëêè ââåğõ-âëåâî-âíèç-âïğàâî
HELP_OFF_QUESTSCROLL	Íàæàâ <CTRL> + Q âû ìîæåòå ñêğûòü èëè ïîêàçàòü ñâèòêè ñ çàäàíèÿìè.
HELP_OPEN_CHARACTER	Îêíî ïåğñîíàæà: Ñ
HELP_OPEN_CHAT	Îêíî ÷àòà: Enter
HELP_OPEN_INVENTORY	Îêíî ñíàğÿæåíèÿ: I
HELP_OPEN_LOG	Ëîã ÷àòà: L
HELP_OPEN_MINIMAP	Ìèíèêàğòà: Shift + M
HELP_OPEN_QUEST	Îêíî çàäàíèé: N
HELP_OPEN_SKILL	Îêíî óìåíèé: V
HELP_OPEN_WHISPER	Ñîîáùåíèå øåïîòîì: Shift + Enter
HELP_OPEN_ZONEMAP	Áîëüøàÿ êàğòà: M
HELP_PICK_ITEM	Ïîäáîğ ïğåäìåòîâ: ^, Y èëè ëåâàÿ êíîïêà ìûøè
HELP_QUICKSLOT	Ïàíåëü áûñòğîãî äîñòóïà
HELP_SCREEN_CAPTURE	Ñêğèíøîò: êëàâèøà Print Screen (ñêğèíøîò áóäåò ñîõğàíåí â "Metin2\screenshot")
HELP_SERVER	Îòîáğàæàåò ñåğâåğà è êàíàëû.
HELP_SHOW_ALL_NAME	Ïîêàçàòü èìåíà: À
HELP_SKILL	Çäåñü âû ìîæåòå èñïîëüçîâàòü íàâûê ïğàâîé êíîïêîé ìûøè.
HELP_SP	Ïóíêòû ìàíû (ÌÏ)
HELP_SYSTEM_BUTTON	Ñèñòåìíûå êëàâèøè
ICECREAM_EVENT_TITL	Ëåòíåå ñîáûòèå
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Èíâåíòàğü
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Èíâåíòàğü
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3 Èíâåíòàğü
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4 Èíâåíòàğü
INVENTORY_TITLE	Èíâåíòàğü
ITEM_MALL	Ìàãàçèí ïğåäìåòîâ
KEYCHANGE_ACTION_WINDOW	Äåéñòâèÿ
KEYCHANGE_ATTACK	Àòàêîâàòü
KEYCHANGE_AUTORUN	Àâòî áåã
KEYCHANGE_AUTO_WINDOW	Àâòîîõîòà
KEYCHANGE_BASEACTION	Îñíîâíûå íàñòğîéêè
KEYCHANGE_CAM_DOWN1	Êàìåğà (âíèç)
KEYCHANGE_CAM_DOWN2	Êàìåğà (âíèç)
KEYCHANGE_CAM_LEFT1	Êàìåğà (âëåâî)
KEYCHANGE_CAM_LEFT2	Êàìåğà (âëåâî)
KEYCHANGE_CAM_RIGHT1	Êàìåğà (âïğàâî)
KEYCHANGE_CAM_RIGHT2	Êàìåğà (âïğàâî)
KEYCHANGE_CAM_UP1	Êàìåğà (ââåğõ)
KEYCHANGE_CAM_UP2	Êàìåğà (ââåğõ)
KEYCHANGE_CAM_ZOOM_IN1	Êàìåğà (ïğèáëèçèòü)
KEYCHANGE_CAM_ZOOM_IN2	Êàìåğà (ïğèáëèçèòü)
KEYCHANGE_CAM_ZOOM_OUT1	Êàìåğà (îòäàëèòü)
KEYCHANGE_CAM_ZOOM_OUT2	Êàìåğà (îòäàëèòü)
KEYCHANGE_CANCLE	Îòìåíèòü
KEYCHANGE_CHAT_WINDOW	Ïğîòîêîë ÷àòà
KEYCHANGE_CLEAR	Îáû÷íûé
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Íàçàä
KEYCHANGE_DOWN2	Íàçàä
KEYCHANGE_DRAGON_GATE	
KEYCHANGE_DSS1	ÊÄ [Íåáî]
KEYCHANGE_DSS2	ÊÄ [Çåìëÿ]
KEYCHANGE_EMOTION1	İìîöèÿ (Ïå÷àëü)
KEYCHANGE_EMOTION2	İìîöèÿ (ßíã)
KEYCHANGE_EMOTION3	İìîöèÿ (Ìóçûêà)
KEYCHANGE_EMOTION4	İìîöèÿ (Ñåğäöå)
KEYCHANGE_EMOTION5	İìîöèÿ (Ñåğäå÷êè)
KEYCHANGE_EMOTION6	İìîöèÿ (Áîìáà)
KEYCHANGE_EMOTION7	İìîöèÿ (Èäåÿ)
KEYCHANGE_EMOTION8	İìîöèÿ (Ãğîçà)
KEYCHANGE_EMOTION9	İìîöèÿ (Ñîæàëåş)
KEYCHANGE_ESC	Ñèñòåìà
KEYCHANGE_GUILD_WINDOW	Ãèëüäèÿ
KEYCHANGE_HELP_WINDOW	Ïîìîùü
KEYCHANGE_IMPOSSIBLE_CHANGE	[Ctrl], [Alt], [Shift] çäåñü íå äîïóñêàşòñÿ!
KEYCHANGE_INGAMEEVENT	ÑÎÁÛÒÈÅ
KEYCHANGE_INTERFACE	Îêíî
KEYCHANGE_INVENTORY_WINDOW	Èíâåíòàğü
KEYCHANGE_KEY_SETTING	Íàñòğîéêè êëàâèàòóğû
KEYCHANGE_LEFT1	Âëåâî
KEYCHANGE_LEFT2	Âëåâî
KEYCHANGE_MERCENARY	Íàåìíèê
KEYCHANGE_MESSENGER_WINDOW	Äğóçüÿ
KEYCHANGE_MINIMAP_MINER	Ìèíè-êàğòà (-)
KEYCHANGE_MINIMAP_PLUS	Ìèíè-êàğòà (+)
KEYCHANGE_MINIMAP_WINDOW	Áîëüøàÿ êàğòà
KEYCHANGE_MONSTER_CARD_WINDOW	Êàğòà ìîíñòğà
KEYCHANGE_NEXT_TARGET	Ñëåäóşùàÿ öåëü
KEYCHANGE_PARTY_MATCH_WINDOW	Ïîèñê ãğóïïû
KEYCHANGE_PASSIVE_ATTR1	Ğåëèêòîâûé áîíóñ (íåáî)
KEYCHANGE_PASSIVE_ATTR2	Ğåëèêòîâûé áîíóñ (çåìëÿ)
KEYCHANGE_PET_WINDOW	Ïèòîìåö
KEYCHANGE_QUEST_SCROLL_ONOFF	Ñïèñîê çàäàíèé
KEYCHANGE_QUEST_WINDOW	Çàäàíèÿ
KEYCHANGE_QUICKSLOT1	Óğîâåíü 1
KEYCHANGE_QUICKSLOT2	Óğîâåíü 2
KEYCHANGE_QUICKSLOT3	Óğîâåíü 3
KEYCHANGE_QUICKSLOT4	Óğîâåíü 4
KEYCHANGE_RIDE	Åõàòü âåğõîì
KEYCHANGE_RIDE_BYE	Îòîñëàòü êîíÿ
KEYCHANGE_RIDE_HORSE	Åõàòü âåğõîì
KEYCHANGE_RIDE_PEED	Êîğìèòü êîíÿ
KEYCHANGE_RIGHT1	Âïğàâî
KEYCHANGE_RIGHT2	Âïğàâî
KEYCHANGE_ROOT1	Ïîäîáğàòü
KEYCHANGE_ROOT2	Ïîäîáğàòü
KEYCHANGE_SAVE	Ñîõğàíèòü
KEYCHANGE_SCREENSHOT	Ñêğèíøîò
KEYCHANGE_SHOW_NAME	Ïîêàçûâàòü èìåíà
KEYCHANGE_SHOW_NAME_BAR	Ïîêàçûâàòü èìåíà
KEYCHANGE_SKILL_WINDOW	Íàâûêè
KEYCHANGE_SLOT1	ß÷åéêà 1 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT2	ß÷åéêà 2 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT3	ß÷åéêà 3 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT4	ß÷åéêà 4 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT5	ß÷åéêà 5 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT6	ß÷åéêà 6 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT7	ß÷åéêà 7 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT8	ß÷åéêà 8 (òåêóùàÿ ñòğàíèöà ÿ÷ååê)
KEYCHANGE_SLOT_KET	Áûñòğûé äîñòóï
KEYCHANGE_STATUS_WINDOW	Ïåğñîíàæ
KEYCHANGE_SUNGMAHEE_GATE_ACHIEV	Òğîôåé
KEYCHANGE_UP1	Âïåğåä
KEYCHANGE_UP2	Âïåğåä
KEYCHANGE_USE_PRISM	Ñòåêëî îáçîğà
LANGUAGE_AE	Àğàáñêèé
LANGUAGE_CZ	×åøñêèé
LANGUAGE_DE	Íåìåöêèé
LANGUAGE_DK	Äàòñêèé
LANGUAGE_EN	Àíãëèéñêèé
