ACCE_ABSORB_COST	Ñòîèìîñòü ñî÷åòàíèÿ: %d
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Âû íå ìîæåòå âîéòè â ıòó çîíó; åå óæå çàíÿëà äğóãàÿ ãèëüäèÿ.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	İòî ìîæíî èñïîëüçîâàòü, òîëüêî åñëè âàøà ãèëüäèÿ çàíÿëà çîíó.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Ïğåäìåò ìîæåò èñïîëüçîâàòü òîëüêî ëèäåğ ãèëüäèè.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Âû íå ìîæåòå èñïîëüçîâàòü áèëåò áèòâû ãèëüäèé.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	İòî óæå áûëî èñïîëüçîâàíî; íåëüçÿ ïğèìåíèòü åùå ğàç.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Ïîäîæäèòå, ïîêà íå íàéäåòñÿ åùå õîòÿ áû 2 ãèëüäèè-ó÷àñòíèöû.
GUILD_BATTLE_DEAD_TO_PLAYER	Âàñ ïîáåäèë ó÷àñòíèê ãèëüäèè %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	Èç %s âû ïîëó÷èëè %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Áèòâà ãèëüäèé íà÷íåòñÿ ÷åğåç %d ìèí. Âû çàğåãèñòğèğîâàíû äëÿ ó÷àñòèÿ. Ãîòîâüòåñü è ïîêàæèòå ñåáÿ!
GUILD_BATTLE_END_MESSAGE	Áèòâà ãèëüäèé ïğîøëà.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Áèòâà ãèëüäèé çàêîí÷èòñÿ ÷åğåç %d ìèí.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Âû âîøëè â çîíó %s. Ïîáåäèòå âñåõ ìîíñòğîâ!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Âîéòè
GUILD_BATTLE_ENTER_MESSAGE	Âû ñêîğî çàğåãèñòğèğóåòåñü íà áèòâó ãèëüäèé.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Âû âîøëè â çîíó %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Âû â ñèíåé êîìàíäå. Èñïîëüçóéòå ïîğòàë, ÷òîáû ïåğåìåùàòüñÿ ïî çîíå áèòâû ãèëüäèé.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Âû â çåëåíîé êîìàíäå. Èñïîëüçóéòå ïîğòàë, ÷òîáû ïåğåìåùàòüñÿ ïî çîíå áèòâû ãèëüäèé.
GUILD_BATTLE_ENTER_OUTPOST_RED	Âû â êğàñíîé êîìàíäå. Èñïîëüçóéòå ïîğòàë, ÷òîáû ïåğåìåùàòüñÿ ïî çîíå áèòâû ãèëüäèé.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Âû â æåëòîé êîìàíäå. Èñïîëüçóéòå ïîğòàë, ÷òîáû ïåğåìåùàòüñÿ ïî çîíå áèòâû ãèëüäèé.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Âû ïîëó÷èëè íàãğàäó ãèëüäèè. Îíà â âàøåì èíâåíòàğå.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Âû ïîëó÷èëè óñèëåíèå â íàãğàäó! Âçãëÿíèòå íà çíà÷îê óñèëåíèÿ, ÷òîáû óçíàòü áîëüøå.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Ïîëó÷èòü íàãğàäó ãèëüäèè
GUILD_BATTLE_LIST_REMAIN_TIME	Îñòàëîñü: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s ïîáåäèë(à) %d ìîíñòğîâ.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Ó âàñ íåò êëş÷åé ïîáåäèòåëÿ, ÷òîáû îòêğûòü ıòîò ëàğåö. Ïîáåæäàéòå ìîíñòğîâ, ÷òîáû íàéòè êëş÷.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Îñâîáîäèòå ìåñòî â èíâåíòàğå è ïîïğîáóéòå åùå ğàç.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Ó âàñ íåò áèëåòà äëÿ ïîğòàëà ãèëüäèé.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Ó÷àñòâîâàòü ïîêà íåëüçÿ, ïîñêîëüêó âàøåé ãèëüäèè ìåíüøå 24 ÷àñîâ îò ğîäó.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Çîíà çàõâà÷åíà. Ñêîğî îòêğîåòñÿ ïîğòàë, è äëÿ çàùèòû ıòîé îáëàñòè íà÷íóò ïîÿâëÿòüñÿ ìîíñòğû.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	Çîíà %s çàõâà÷åíà. Ñêîğî îòêğîåòñÿ ïîğòàë, è äëÿ çàùèòû ıòîé îáëàñòè íà÷íóò ïîÿâëÿòüñÿ ìîíñòğû.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	İòà çîíà óæå áûëà çàíÿòà äğóãîé ãèëüäèåé. Ñêîğî âû ïåğåíåñåòåñü îáğàòíî ê çàñòàâå ãèëüäèè.
GUILD_BATTLE_ONGOING	Áèòâà èäåò
GUILD_BATTLE_OPEN_REWARD_BOX	Õîòèòå îòêğûòü %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Äğóãèå ãèëüäèè óæå ñğàæàşòñÿ.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Îñòàëîñü: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Âû ó÷àñòâóåòå?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Áèòâà íà÷íåòñÿ ÷åğåç: %s
GUILD_BATTLE_PERSONAL_BUFF	Óñèëåíèå-íàãğàäà
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Ïîëó÷èòü óñèëåíèå-íàãğàäó
GUILD_BATTLE_PK_GUILD_MESSAGE	%s ïîáåäèë(à) %d èãğîêîâ èç äğóãèõ ãèëüäèé.
GUILD_BATTLE_PLAYER_KILL	Âû ïîáåäèëè ó÷àñòíèêà ãèëüäèè %s.
GUILD_BATTLE_QUALIFICATION	Äëÿ ó÷àñòèÿ ïîáåäèòå Êîğîëÿ äğàêîíîâ\nèëè èñïîëüçóéòå áèëåò áèòâû ãèëüäèé.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Ïîïğîáóéòå åùå ğàç.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Âû ïåğåíåñåòåñü ÷åğåç %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Âû îæèëè ñ ïîìîùüş îæèâëåíèÿ ãèëüäèè.
GUILD_BATTLE_START_MESSAGE	Áèòâà ãèëüäèé íà÷àëàñü! Íà÷íèòå èñïûòàíèå, íàæàâ íà «Âîéòè» â ìåíş áèòâû ãèëüäèè!
GUILD_BATTLE_STATUS_BOARD_PK	È. óáèòû: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d / %d
GUILD_BATTLE_TEAM_NAME_BLUE	Ñèíèå
GUILD_BATTLE_TEAM_NAME_GREEN	Çåëåíûå
GUILD_BATTLE_TEAM_NAME_RED	Êğàñíûå
GUILD_BATTLE_TEAM_NAME_YELLOW	Æåëòûå
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Âû èñïîëüçîâàëè áèëåò äëÿ ïîğòàëà ãèëüäèé è ñêîğî ïåğåíåñåòåñü â %s.
GUILD_BATTLE_USE_SCROLL	Õîòèòå ó÷àñòâîâàòü â áèòâå ãèëüäèé?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Âàøà ğåãèñòğàöèÿ íà áèòâó ãèëüäèé îòìåíåíà.
GUILD_BOARD_ID	Ó÷àñòíèê
GUILD_BOARD_TEXT	Ñîîáùåíèå
GUILD_BUILDING_CATEGORY_ALTAR	Àëòàğü
GUILD_BUILDING_CATEGORY_SMELT	Çäàíèå óëó÷øåíèé
GUILD_BUILDING_CATEGORY_SPECIAL	Àëòàğè
GUILD_BUILDING_CATEGORY_STORAGE	Ñêëàä ãèëüäèè
GUILD_BUILDING_FIX_CHANGE	Âû òî÷íî õîòèòå èçìåíèòü ïîëîæåíèå?
GUILD_BUILDING_FIX_CHANGE_GOLD	Ñòîèìîñòü: 1 000 000 ÿíã
GUILD_BUILDING_FIX_DELETE	Âû òî÷íî õîòèòå óäàëèòü îáúåêò?
GUILD_BUILDING_FIX_NEED_BUILDING	Íåò çäàíèé.
GUILD_BUILDING_GRADE	Ğàíã
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Âû íå ìîæåòå äåëàòü âêëàä â ıòî çäàíèå, ïîòîìó ÷òî îíî èçìåíèëîñü.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Îïûò çäàíèÿ
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Âëîæèòü îïûò çäàíèÿ
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Ó âàñ íå õâàòàåò ìåñòà â èíâåíòàğå äëÿ îñîáûõ áèëåòîâ íà ñòğîéêó.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Âû èñïîëüçîâàëè âñå ñâîè âîçìîæíîñòè äëÿ âëîæåíèÿ.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Âàì íå õâàòàåò %s ïğåäìåòîâ.
GUILD_BUILDING_INVEST_QUESTION	Õîòèòå âíåñòè 1 %s â %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s äîñòèã(ëà) %s óğîâíÿ.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	İòî çäàíèå óæå äîñòèãëî ìàêñèìàëüíîãî óğîâíÿ, åãî íåëüçÿ áîëüøå óëó÷øèòü.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Âû èñïîëüçîâàëè %s è âëîæèëè â %s %s åä. îïûòà.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Âàì íå õâàòàåò óğîâíÿ ãèëüäèè, ÷òîáû åùå óëó÷øèòü ıòî çäàíèå. Ñíà÷àëà ïîâûñüòå ñâîé óğîâåíü ãèëüäèè.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Ëàíäøàôò
GUILD_BUILDING_LOG_PLUS	Áğåâíî+
GUILD_BUILDING_NAME	Íàçâàíèå çäàíèÿ
GUILD_BUILDING_PLY_PLUS	Ôàíåğà+
GUILD_BUILDING_SMELT_STONE	Ğóííûé êàìåíü
GUILD_BUILDING_STONE_PLUS	Ôóíäàìåíòàëüíûé êàìåíü+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Ó âàñ íåò ïğàâà èñïîëüçîâàòü ıòîò ïğåäìåò.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Ôàáğèêà óëó÷øåíèé
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Çäàíèå óëó÷øåíèé
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Àëòàğè
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Çàêğûòü
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Èìÿ
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Òèï çäàíèÿ
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Ñêîëüêî ïîëó÷åíî
GUILD_CANNOT_HEAL_GSP_ANYMORE	İíåğãèÿ Äóõà Äğàêîíà ïîëíîñòüş âîñòàíîâëåíà.
GUILD_CHANGEMASTER_TEXT1	Íîâûì ëèäåğîì ñòàíåò: %s
GUILD_CHANGEMASTER_TEXT2	Õîòèòå íàçíà÷èòü íîâîãî ëèäåğà ãèëüäèè?
GUILD_CHANGEMASTER_TEXT3	Âû òî÷íî õîòèòå ïåğåäàòü
GUILD_CHANGEMASTER_TEXT4	ïîçèöèş ëèäåğà ãèëüäèè?
GUILD_COMMENT	Ïèñàòü
GUILD_CONTENTS_ONGOING	Áèòâà èäåò
GUILD_CREATE_ERROR_INSULT_NAME	Èìÿ ãèëüäèè íåäîïóñòèìî.
GUILD_DEFAULT_GRADE	×ëåí ãèëüäèè
GUILD_DELETE	Óäàëèòü
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	Èñïîëüçîâàííûé îïûò
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Ìèíèìóì: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Íåò î÷êîâ îïûòà, êîòîğûå ìîæíî èñïîëüçîâàòü.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Íåäîñòàòî÷íî îïûòà
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Íå õâàòàåò ÿíã.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Íóæíîå ÷èñëî
GUILD_DEPOSIT	Îòëîæèòü
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Âû íå ìîæåòå âûéòè èç ãèëüäèè, ïîêà íàõîäèòåñü â áîş.
GUILD_DISBAND_SUCCESS_MESSAGE	Ãèëüäèÿ ğàñïóùåíà.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Ó âàñ íå õâàòàåò êóïîíîâ íà âûñîêèé âçíîñ.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Âàø èíâåíòàğü ïîëîí. Âû íå ìîæåòå äåëàòü âçíîñ.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	×òîáû æåğòâîâàòü, íóæíî íàáğàòü õîòÿ áû 30 óğîâåíü.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Ó âàñ íå õâàòàåò êóïîíîâ íà ñğåäíèé âçíîñ.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Íå õâàòàåò ÿíã.
GUILD_DONATE_FAIL_TIME	Âû íå ìîæåòå æåğòâîâàòü 24 ÷àñà ïîñëå âñòóïëåíèÿ â ãèëüäèş.
GUILD_DONATE_QUESTION_HIGH	Âû õîòèòå ñäåëàòü áîëüøîé âçíîñ?
GUILD_DONATE_QUESTION_MIDDLE	Âû õîòèòå ñäåëàòü ñğåäíèé âçíîñ?
GUILD_DONATE_QUESTION_NORMAL	Âû õîòèòå ñäåëàòü ìàëûé âçíîñ?
GUILD_DO_YOU_HEAL_GSP	Æåëàåòå âîññòàíîâèòü çà %d ÿíã %d Äóõà Äğàêîíà?
GUILD_DO_YOU_JOIN	 õîòèòå ïğèñîåäèíèòüñÿ ê ãèëüäèè?
GUILD_DRAGONLAIR_MIN	Ìèí.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Îáùèé ğåéòèíã: Ñîêğîâèùíèöà Ìåëåè
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Îáùèé ğåéòèíã: Ñêëåï Áàëàòîğà
GUILD_DRAGONLAIR_PARTY_ALL	Îáùèé ñïèñîê ëó÷øèõ
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	Ñ 11 ìåñòà: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Ïîìîùü
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1 ìåñòî: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10 ìåñòà: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3 ìåñòà: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Ó÷àñòíèêè
GUILD_DRAGONLAIR_PARTY_NOW	Ñïèñîê ëó÷øèõ çà íåäåëş
GUILD_DRAGONLAIR_PARTY_PAST	Ïğîøëûé ñïèñîê ëó÷øèõ
GUILD_DRAGONLAIR_PARTY_TIME	Âğåìÿ
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Íàãğàäà
GUILD_DRAGONLAIR_RANKING_FAIL	ÍÅÓÄÀ×À
GUILD_DRAGONLAIR_RANKING_NONE	ÍÎÂ.
GUILD_DRAGONLAIR_RANKING_SUCCESS	ÓÑÏÅÕ
GUILD_DRAGONLAIR_SECOND	Ñåê.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Òåêóùèé ğåéòèíã: Ñîêğîâèùíèöà Ìåëåè
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Òåêóùèé ğåéòèíã: Ñêëåï Áàëàòîğà
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Âû çàğåãèñòğèğîâàëèñü íà «Ñêëåï Áàëàòîğà». Ïîãîâîğèòå ñî Ñòğàæåì äğàêîíîâ Äîëüíàğğîì, ÷òîáû âîéòè. Ïîñëå ıòîãî ó âàñ áóäåò 10 ìèíóò, ÷òîáû íà÷àòü áîé.
GUILD_DRAGON_LAIR_DUNGEON_START	Áèòâà â Ñêëåïå Áàëàòîğà íà÷àëàñü. Ìàêñèìàëüíîå âğåìÿ ïğåáûâàíèÿ ñîñòàâëÿåò îäèí ÷àñ.
GUILD_EMPTY_AREA	Ïóñòàÿ Çåìëÿ
GUILD_ENEMY_GUILD_NAME	Èìÿ ãèëüäèè ïğîòèâíèêà
GUILD_FACILITY	Ïğèñòğîéêà
GUILD_GEM	Ñàìîöâåò
GUILD_HEADQUARTER	Ãëàâíûé êîğïóñ
GUILD_HEAL_GSP	Âîññòàíîâèòü Äóõ Äğàêîíà
GUILD_INFO_ENEMY_GUILD_EMPTY	íåò
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	Çåìëÿ ãèëüäèè íàõîäèòñÿ çäåñü - %s, êîîğäèíàòû %d, %d.
GUILD_LAND_TEXT	Çåìëÿ ãèëüäèè
GUILD_MARK_NOT_ENOUGH_LEVEL	Òğåáóåòñÿ ìèí. 3 óğîâåíü
GUILD_MARK_UPLOAD_NOTICE	Äëÿ ğåãèñòğàöèè ëîãîòèïà ãèëüäèè íàäî íåìíîãî ïîäîæäàòü.
GUILD_MEMBEROUT_AUTH	Âû íå ìîæåòå óäàëÿòü ó÷àñòíèêîâ.
GUILD_MEMBEROUT_NOMAL	Âû õîòèòå óäàëèòü ıòîãî ó÷àñòíèêà?
GUILD_MEMBER_JOB	Êëàññ
GUILD_MEMBER_KNIGHT	Âîèíû
GUILD_MEMBER_LEVEL	Óğîâåíü
GUILD_MEMBER_NAME	Ó÷àñòíèê
GUILD_MEMBER_RANK	Ğàíã
GUILD_MEMBER_SPECIFIC_GRAVITY	Ïîæåğòâîâàííûé îïûò
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Äîñòóïíî äëÿ óğîâíÿ ãèëüäèè 21 è âûøå.
GUILD_NAME	Èìÿ ãèëüäèè
GUILD_NOT_ENOUGH_MATERIAL	Ó âàñ íåäîñòàòî÷íî ñòğîèòåëüíîãî ìàòåğèàëà, ÷òîáû ïîñòğîèòü ıòî çäàíèå.
GUILD_NOT_ENOUGH_MONEY	Ó âàñ íåäîñòàòî÷íî ÿíã äëÿ  ıòîãî ñîîğóæåíèÿ.
GUILD_NO_NOTICE_PERMISSION	Âû íå âïğàâå äåëàòü óâåäîìëåíèÿ.
GUILD_OBJECT	Îáúåêòû
GUILD_OBJECT_POSSIBLE_NEWWORLD	İòà ïîñòğîéêà äîñòóïíà òîëüêî íà êîíòèíåíòå Yohara.
GUILD_OFFER_EXP	Èíâåñòèğîâàòü îïûò
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Íàãğàäû çà ğåéòèíã:\n1 ìåñòî: òèòóë «Ïûëàşùèé ïîêîğèòåëü» è Ìàãìîâûé äğàêîí (5 äíåé)\n2 ìåñòî: Ìàãìîâûé äğàêîí (3 äíÿ)\n3 ìåñòî: Ìàãìîâûé äğàêîí (1 äåíü)
GUILD_SELECT_ONE	Âûáåğèòå ÷ëåíà ãèëüäèè.
GUILD_SHORT_EXP	Íåäîñòàòî÷íî îïûòà
GUILD_SITE_AUCTION_END_TIME	Çåìåëüíûé àóêöèîí: %02d/%02d (ìåñÿö/äåíü) â %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Çåìåëüíûé àóêöèîí: Í/Ä
GUILD_SITE_AUCTION_INFO	Ïğåäëàãàåòñÿ çåìëÿ: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Ïğåäëàãàåòñÿ çåìëÿ: Í/Ä
GUILD_SITE_AUCTION_MAP_INFO	Äàòà (ìåñÿö/äåíü): %02d/%02d; Âğåìÿ: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Âñå ñòàâêè ñäåëàíû.
GUILD_SITE_AUCTION_STATE_REGIST	Â îáëàñòè %s ïğîäàåòñÿ çåìëÿ %s,%s. Òîëüêî ëèäåğû ãèëüäèè ìîãóò ğåãèñòğèğîâàòüñÿ íà çåìåëüíûé àóêöèîí.
GUILD_SITE_AUCTION_STATE_RUN	Çåìåëüíûé àóêöèîí çàêîí÷èòñÿ %02d/%02d (ìåñÿö/äåíü) â %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	%02d/%02d (ìåñÿö/äåíü) â %02d:%02d íà÷íåòñÿ çåìåëüíûé àóêöèîí çà %s, ñòğàíà %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Àâòîìàòè÷åñêèé îòêàç îò çåìëè: %s
GUILD_SITE_TAX_INFO	Çåìëÿ ãèëüäèè áóäåò ñäàíà ÷åğåç %s. Âñå ïğåäìåòû íà ñêëàäå ãèëüäèè ïğîïàäóò.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Ïîëó÷èòü óñèëåíèå
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Ó âàñ íå õâàòàåò îñîáûõ áèëåòîâ íà ñòğîéêó.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Âàì íå õâàòàåò ÿíã.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Õîòèòå ïîëó÷èòü óñèëåíèÿ? Ïğè ğàâíûõ ıôôåêòàõ ïğèìåíÿåòñÿ òîëüêî áîëåå âûñîêîå çíà÷åíèå.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Âû ìîæåòå ïîìåíÿòü òåêóùèé ñïèñîê óñèëåíèé íà íîâûé çà ñîîòâåòñòâóşùóş ïëàòó.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	Ñïèñîê óñèëåíèé îáìåíÿí.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	Ñïèñîê ïğèçûâà îáìåíÿí.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Ó âàñ íå õâàòàåò îñîáûõ áèëåòîâ íà ñòğîéêó.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Âàì íå õâàòàåò ÿíã.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Õîòèòå ïğèçâàòü ìîíñòğà?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Âû ìîæåòå ïîìåíÿòü òåêóùèé ñïèñîê ïğèçûâà íà íîâûé çà ñîîòâåòñòâóşùóş ïëàòó.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Ïğèçâàòü
GUILD_TILE_BASEINFO	Èíôîğìàöèÿ î çåìëå
GUILD_TILE_BOARD	Çàìåòêè ãèëüäèè
GUILD_TILE_GRADE	Óïğàâëåíèå ïîçèöèåé
GUILD_TILE_GUILD_BATTLE	Áèòâà ãèëüäèé
GUILD_TILE_GUILD_CONTENTS_LIST	Áèòâà ãèëüäèé
GUILD_TILE_INFO	Ãèëüäèÿ-èíôî
GUILD_TILE_MEMBER	Ó÷àñòíèêè
GUILD_TILE_SKILL	Íàâûêè ãèëüäèè
GUILD_USE_MASTER_ONLY	İòî ïğàâî åñòü òîëüêî ó Ëèäåğà ãèëüäèè.
GUILD_VILLAGE_01	Ìèğéàíã
GUILD_VILLAGE_02	Ñîíãïà
GUILD_VILLAGE_03	Äàıéàìè
GUILD_WAR1	Òåğğèòîğèÿ âîéíû ãèëüäèé
GUILD_WAR2	Òåğğèòîğèÿ âîéíû ãèëüäèé
GUILD_WAR3	Òåğğèòîğèÿ âîéíû ãèëüäèé
GUILD_WAR4	Òåğğèòîğèÿ âîéíû ãèëüäèé
GUILD_WAR_GAINSCORE_FIFTY	50 î÷êîâ
GUILD_WAR_GAINSCORE_HUNDRED	100 î÷êîâ
GUILD_WAR_GAINSCORE_THIRTY	30 î÷êîâ
GUILD_WAR_GAMETIME_SIXTY	60 ìèíóò
GUILD_WAR_GAMETIME_TEN	10 ìèíóò
GUILD_WAR_GAMETIME_THIRTY	30 ìèíóò
GUILD_WAR_LIMIT_30MIN	Âğåìÿ: 30 ìèíóò
GUILD_WAR_REWARD_POTION	Íàãğàäà: ïîáåäèòåëü ïîëó÷àåò çåëüå
GUILD_WAR_SELECT_WAR	Âûáğàòü âèä ñğàæåíèÿ
GUILD_WAR_TYPE_DEFENSE	Çàùèòà îáúåêòà
GUILD_WAR_TYPE_DIE	Ñğàæåíèå íà àğåíå
GUILD_WAR_TYPE_FLAG	Ñğàæåíèå çà ôëàãè
GUILD_WAR_TYPE_NORMAL	Ïîëå áèòâû
GUILD_WAR_TYPE_TIGER	Óíè÷òîæåíèå
GUILD_WAR_TYPE_TIME	Ãîíêà çà ïîáåäîé
GUILD_WAR_USE_BATTLE_MAP	Ìåñòíîñòü: àğåíà âîéíû ãèëüäèé
GUILD_WAR_USE_NORMAL_MAP	Ìåñòîíàõîæäåíèå: ñòàíäàğòíàÿ êàğòà
GUILD_WAR_WIN_CHECK_SCORE	Ëó÷øèé ğåçóëüòàò ïğèíîñèò ïîáåäó â âîéíå.
GUILD_WAR_WIN_FIVE	Ïÿòü ğàóíäîâ
GUILD_WAR_WIN_ONE	Îäèí ğàóíä
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Çàõâàòèòå ôëàã ïğîòèâíèêà
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	è ïğèíåñèòå åãî ê Âàøåé áàçå.
GUILD_WAR_WIN_THREE	Òğè ğàóíäà
GUILD_WAR_WIN_WIPE_OUT_GUILD	Óñòğàíèòå âñåõ ïğîòèâíèêîâ, ÷òîáû ïîáåäèòü.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Íàãğàäû çà ğåéòèíã:\n1 ìåñòî: Òèòóë «Ëåäÿíîé ïîáåäèòåëü» è Ëåäÿíîé çìåé Áàëàòîğà (5 äíåé)\n2 ìåñòî: Ëåäÿíîé çìåé Áàëàòîğà (3 äíÿ)\n3 ìåñòî: Ëåäÿíîé çìåé Áàëàòîğà (1 äåíü)
