ACCE_ABSORB_COST	Costuri combinaşie: %d
FISHING_RENEWAL_TIMEOUT	Ai aºteptat prea mult. Peºtele a fugit.
FISHING_SUCCESS1	Ai prins %s.
FISHING_SUCCESS2	Ai scos %s din apa!
FISHING_UNKNOWN	Ceva a muscat dar nu ºtiu ce anume.
FISHING_WRONG_PLACE	Nu pot sã pescuiesc aici.
FLOWER_EVENT_ENVELOPE_MAX	Nu poşi primi mai multe Seminşe de Flori.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Ai primit Lãstari de Crizantemã.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM_COUNT	Ai primit %d Lãstari de Crizantemã.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Ai primit Lãstari de Narcisã.
FLOWER_EVENT_GET_SHOOT_DAFFODIL_COUNT	Ai primit %d Lãstari de Narcisã.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Ai primit Seminşe de Flori.
FLOWER_EVENT_GET_SHOOT_LILY	Ai primit Lãstari de Crin.
FLOWER_EVENT_GET_SHOOT_LILY_COUNT	Ai primit %d Lãstari de Crin.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Ai primit Lãstari de Floare Clopoşel.
FLOWER_EVENT_GET_SHOOT_MAY_BELL_COUNT	Ai primit %d Lãstari de Floare Clopoşel.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Ai primit Lãstari de Floarea Soarelui.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER_COUNT	Ai primit %d Lãstari de Floarea Soarelui.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	Nu poşi schimba asta deoarece ai deja numãrul maxim de lãstari.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	Nu ai destul spaşiu în inventar.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	Nu ai numãrul corect de lãstari.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	Nu ai suficiente seminşe de flori.
FLOWER_EVENT_USE_ITEM_TEXT1	Doreºti sã înlocuieºti efectul activ?
FLOWER_EVENT_USE_ITEM_TEXT2	Încercarea poate eºua cauzând ofilirea florii.
FOOTBALL_EVENT_MESSAGE_BUTTON_COOLTIME	Te rugãm, încearcã mai târziu.
FOOTBALL_EVENT_MESSAGE_CANNOT_GET_FOOTBALL	Nu mai poşi primi Mingi de Fotbal.
FOOTBALL_EVENT_MESSAGE_GET_FOOTBALL	Ai primit 1 Minge de Fotbal.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_FOOTBALL	Mingi de Fotbal insuficiente.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	Nu este destul loc în inventar.
FOOTS_SOCKET_OPEN_FIRST	Foloseºte Burghiu Diamant Negru pentru a adãuga sloturi de pietre spirituale.
FORCE_EVENT_CANNOT_OPEN_UI	Evenimentul Ecoul Puterii s-a încheiat.
FORCE_EVENT_CAN_USE_BUTTON	Ecoul tãu este suficient de puternic pentru a fi activat.
FORCE_EVENT_EMPTY_NORMAL_FORCE_SLOT_TOOLTIP	Poşi selecta Ecoul Puterii trãgându-l din inventar.
FORCE_EVENT_EMPTY_SKILL_FORCE_SLOT_TOOLTIP	Poşi selecta Ecoul Talentului trãgându-l din inventar.
FORCE_EVENT_END_NOTICE	Evenimentul Ecoul Puterii s-a încheiat.
FORCE_EVENT_FORCE_CHANGE_BUFF	Ai ales deja un Ecou. Doreºti sã îl schimbi?
FORCE_EVENT_FORCE_GAGUE_REMAIN_TIME	%d/%d minute
FORCE_EVENT_FORCE_GAUGE_REFINE_TOOLTIP	Ecoul tãu a devenit mai puternic.
FORCE_EVENT_FORCE_NOTICE_CAN_USE_FORCE_BUFF	%s poate fi activat. Verificã fereastra Ecou.
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_1	Doreºti sã selectezi %s?
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_2	Dacã modifici Ecoul selectat, timpul de redare va fi resetat.
FORCE_EVENT_FORCE_SLOT_REMAIN_TIME	Timp rãmas:
FORCE_EVENT_INVALIED_SLOT_ITEM	Trebuie sã activezi acest Ecou în celãlalt slot.
FORCE_EVENT_NOTICE_REMAIN_PLAY_TIME	%s ales de tine a ajuns la %d/%d.
FORCE_EVENT_NOT_ENOUGH_FORCE_CANNOT_USE_BUTTON	Ecoul tãu nu este suficient de puternic pentru a-l folosi deocamdatã.
FORCE_EVENT_NOT_ENOUGH_LEVEL	Trebuie sã fi atins nivelul 70 pentru a participa.
FORCE_EVENT_READY_TO_USE_FORCE_BUFF	%s poate fi activat. Verificã fereastra Ecou.
FORCE_EVENT_REMOVE_REGIST_FORCE	Elimini Ecoul ales? Acest lucru va reseta timpul de joc ºi va distruge Ecoul.
FORCE_EVENT_START_NOTICE	Evenimentul Ecoul Puterii a început
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru bãrbaşi
FRAGMENT_COMB_COST	Costuri combunaşie: %s
FREEZING_BUTTON_COOLTIME	Te rugãm, încearcã mai târziu.
GAME_CANNOT_MINING	Nu poşi sã sapi dupã minereu în timp ce cãlãreºti.
GAME_CANNOT_PICK_ITEM	Nu poşi culege acest obiect, pentru ca nu a fost capturat de tine.
GAME_GUILDWAR_NOW_JOIN	Vrei sã te alãturi rãzboiului breslei?
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstaleazã DirectX 8.1 sau peste.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa graficã pentru rularea jocului.\nVerificã daca placa VGA e instalatã corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa graficã nu a putut fi inişializatã.nVerificã dacã deşii o placã VGA.\nAlternativ poşi sã activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa graficã nu suportã 32bit.\nSchimbã pe 16bit sau foloseºte full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principalã nu a putut fi realizatã.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_NETWORK	Legatura la reşea nu s-a realizat.\nVerificã legãtura la internet.
GAME_OPTION_GAME	Joc
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Selecteazã pentru a salva combinaşiile alese numai pentru acest caracter.
GAME_OPTION_KEYSETTING	Chei
GAME_OPTION_KEYSETTING_CHECK_KEY	Una dintre funcşii nu are scurtãturã pe tastaturã.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Aceastã tastã este deja folositã pentru %s. Doreºti sã o schimbi?
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	%s a fost resetatã. Te rugãm, selecteazã din nou.
GAME_OPTION_LOOTING	Pradã
GAME_OPTION_SYSTEM	Sistem
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Yang-ul este afiºat când aceastã opşiune este selectatã sau ascuns când este deselectatã.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Ascunde Decoraşiuni
GAME_PICK_MONEY	Ai primit %s Yang.
GAME_USE_MONEY	%s Yang a fost dedus.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	Ai folosit %d Transformãri Gaya.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	Ai convertit %d Pietre Lucioase.
GEM_CONVERTER_MESSAGE_GEM_MAX	Ai deja cantitatea maximã de Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	Ai nevoie de cel puşin %s Pietre Lucioase.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	Nu ai suficient Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Doreºti sã utilizezi Transformare Gaya?
GEM_SYSTEM_ADD_SLOT	Cerinşe obiect: %s.\nDoreºti sã foloseºti %d dintre acestea pentru a debloca un loc adişional?
GEM_SYSTEM_BUY_ITEM	Doreºti sã cumperi acest obiect?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Nu ai suficiente obiecte Actualizeazã Piaşã Gaya.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Nu ai suficiente Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nu mai ai locuri de deblocat.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Deschide Piaşã Gaya mai întâi.
GEM_SYSTEM_PICK_GEM	Ai primit %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Vrei sã actualizezi magazinul?
GEM_USE_GEM	%s Gaya a fost dedus.
GIVEUP_QUESTION	Chiar vrei sã renunşi?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Evenimentul a luat sfârºit. Nu poşi folosi acest obiect.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Nu mai poşi folosi asta dupã activarea Turnului Canonadã.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Ai gãsit toate careurile cu Fructe Aurii! Vei primi recompensa prin poºtã.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Ai gãsit un careu cu Fructe Aurii!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Se pare cã nu era un careu cu Fructe Aurii.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Nu ai suficiente Fructe Aurii.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	Acum ai apãrare Anti-Bombe ºi eºti protejat de urmãtorul Turn Canonadã.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	Ajutorul Anti-Bombe te-a protejat ºi a fost consumat. Turnul Canonadã îşi poate produce din nou daune.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Vei fi teleportat la urmãtorul nivel.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Mai poşi rãmâne pe Tãrâmul Aurului timp de %d minute.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	Expedişia Primordis s-a terminat.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	Expedişia Primordis a început! Învinge Gardianul Primordis pentru a merge pe Tãrâmul Aurului!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Poşi achizişiona obiecte de la Caravana de Comerş.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Vei fi teleportat pe oazã.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Statuile Primordis vor apãrea în 10 secunde.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Nu poşi folosi acest obiect deoarece nivelul tãu este prea scãzut.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Deja ai resetat.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Nu ai un Reset Primordis.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Intrãrile tale ºi tabla de joc au fost resetate.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Nu este destul loc în inventar.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Nu ai suficiente Fructe Amare.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Nu mai poşi achizişiona Fructe Aurii deoarece ai ajuns la maximum.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Primeºti %d Fructe Amare.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Primeºti %d Fructe Amare. (Ai %d.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Ai primit %d Fructe Aurii.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Vrei sã descoperi un careu pentru %d Fructe Aurii?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Când utilizezi acest obiect, intrãrile tale pe Tãrâmul Aurului ºi tabla de joc Vânãtoare Fructe Aurii vor fi resetate. Doreºti sã continui?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Turnuri Canonadã rãmase: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Statui Primordis rãmase: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Doreºti sã pleci din acest loc? Nu poşi reintra.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Nu şi-ai colectat recompensa.\nEºti sigur cã vrei sã pãrãseºti acest loc? Nu poşi reintra.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	Pãrãseºte
GUILDBANK_CLEARBANK	Atenşie: Depozitul Breslei trebuie golit!
GUILDBANK_DONT_MONEY_OUT	Nu ai Yang în banca breslei!
GUILDBANK_GOLD_IN	Depunere
GUILDBANK_GOLD_OUT	Retragere
GUILDBANK_ITEM_IN	Înmagazineazã
GUILDBANK_ITEM_OUT	Înlaturã
GUILDBANK_MONEYIN	Depunere Yang
GUILDBANK_MONEYOUT	Retragere Yang
GUILDBANK_NOTUSE	Nu ai permisiunile necesare.
GUILDBANK_NOT_ENOUGH_MONEY	Nu ai Yang suficient pentru depunere.
GUILDBANK_OVER_INCOME	Limitã atinsã pe cont.
GUILDBANK_OVER_MONEY	Contul breslei este plin.
GUILDLAND_ABANDON	Abandoneazã Teritoriu Breaslã
GUILDLAND_ABANDON_TEXT1	Vrei sã abandonezi teritoriul breslei?
GUILDLAND_ABANDON_TEXT2	Sigur vrei sã abandonezi teritoriul breslei?
GUILDLAND_ABANDON_TEXT3	Depozitul breslei ºi toate clãdirile vor fi eliminate.
GUILDLAND_ACCEPT	Da
GUILDLAND_DONTHAVE_LAND	Nu ai niciun teritoriu de breaslã.
GUILDLAND_NOT	Nu
GUILDLIST_APPLICANT	Doreºti sã continui?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Înãlşimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Înãlşimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Înãlşimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Înãlşimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suportã aceastã imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiazã fiºierele în directorul metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectatã.
GUILDWAR_ALL	Bãtãlii (B)
GUILDWAR_CTF_TITLE	Captureazã Steag
GUILDWAR_DRAW	Remize (R)
GUILDWAR_GAINSCORE_FIFTY	50 puncte
GUILDWAR_GAINSCORE_HUNDRED	100 puncte
GUILDWAR_GAINSCORE_THIRTY	30 puncte
GUILDWAR_GAMETIME_SIXTY	60 minute
GUILDWAR_GAMETIME_TEN	10 minute
GUILDWAR_GAMETIME_THIRTY	30 minute
GUILDWAR_INPUT_OTHERGUILD	Te rugãm introdu breasla oponentã.
GUILDWAR_LADDER	Puncte Rang
GUILDWAR_LIMIT_MEMBER_FIVE	Minim 5 participanşi.
GUILDWAR_LOSE	Pierderi (P)
GUILDWAR_NORMAL_TITLE	Luptã de Câmp
GUILDWAR_OVER_MEMBERCOUNT	Numãrul limitã de membri a fost atins.
GUILDWAR_QUESTION_LINE_1	Breasla %s a declarat breslei tale rãzboi,
GUILDWAR_QUESTION_LINE_2	Accepşi? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d B, %d V, %d P, %d R
GUILDWAR_SELECT_MEMBER_COUNT	Alege numãrul de participanşi.
GUILDWAR_TYPE_DEFENSE	Scut Luptã
GUILDWAR_TYPE_TIGER	Anihilare
GUILDWAR_TYPE_TIME	Timp Atac
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Luptã în Arenã
GUILDWAR_WIN	Victorii (V)
GUILDWAR_WIN_FIVE	5 runde
GUILDWAR_WIN_ONE	1 rundã
GUILDWAR_WIN_THREE	3 runde
GUILDWINDOW_BASEINFO_BUILDING_EXP_HEADER	EXP Actual/EXP Maxim (Max: Nivel %d)
GUILDWINDOW_BASEINFO_BUILDING_GUILD_BANK_ALTER_OF_POWER	Poşi îmbunãtãşi aceasta în teritoriul breslei (nivel maxim 3).
GUILDWINDOW_BASEINFO_BUILDING_LEVEL	Lvl
GUILDWINDOW_BASEINFO_LAND_DOES_NOT_EXIST	Nu deşii un teritoriu de breaslã.
GUILDWINDOW_BASEINFO_LAND_LOCATION_BUTTON_TOOLTIP	Locaşie Teritoriu Breaslã
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Depozit Breaslã
GUILDWINDOW_BUTTON_BASEABANDON	Abandoneazã Teritoriu Breaslã
GUILDWINDOW_BUTTON_BASEDEAL	Vinde Teritoriu Breaslã
GUILDWINDOW_BUTTON_BOARD	Mesajele Breslei
GUILDWINDOW_BUTTON_BUILDING_USE_COST_LOG_BUTTON	Vizualizare Costuri Utilizare
GUILDWINDOW_BUTTON_CHANGEMASTER	Schimbã Lider Breaslã
GUILDWINDOW_BUTTON_DECLARE	Declarã Rãzboi
GUILDWINDOW_BUTTON_DONATE	Doneazã
GUILDWINDOW_BUTTON_GOLDIN	Depunere
GUILDWINDOW_BUTTON_GOLDOUT	Retragere
GUILDWINDOW_BUTTON_GRADE	Seteazã Permisiuni
GUILDWINDOW_BUTTON_GUILDLIST	Listã Breaslã
GUILDWINDOW_BUTTON_GUILD_BATTLE	Bãtãlia Breslelor
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Înapoi la Fereastra Bãtãlia Breslelor
GUILDWINDOW_BUTTON_HEALGSP	Reface Putere Zeul Dragon
GUILDWINDOW_BUTTON_INFO	Informaşii Breaslã
GUILDWINDOW_BUTTON_LANDINFO	Informaşii Teritoriu
GUILDWINDOW_BUTTON_MARK	Încarcã Simbol Breaslã
GUILDWINDOW_BUTTON_MEMBER	Membru
GUILDWINDOW_BUTTON_OFFER	Doneazã EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Înlãturã Membru
GUILDWINDOW_BUTTON_SKILL	Abilitãşi Breaslã
GUILDWINDOW_BUTTON_SYMBOL	Încarcã Steag Breaslã
GUILDWINDOW_BUY_GUILD_LAND	Cumpãrã Teren
GUILDWINDOW_CHANGE_BLACKSMITH	Schimbã Profesia
GUILDWINDOW_CHANGE_OBJECT	Reconstrucşie
GUILDWINDOW_CHANGE_SMELTER	Schimbã Prelucrator de jad
GUILDWINDOW_CHANGE_SPECIAL_BUILDING	Modificãri Altare
GUILDWINDOW_CREATE_OBJECT	Construcşie
GUILDWINDOW_DEAL_GUILD_LAND	Vinde Teren
GUILDWINDOW_GRADE_BANK	Se poate utiliza banca breslei ºi depozitul
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Poate înlãtura membri din breaslã
GUILDWINDOW_GRADE_GRADENAME	Nume Rang
GUILDWINDOW_GRADE_GRADENUMBER	Numãr Rang
GUILDWINDOW_GRADE_GUILDWAR	Poate alege membri combatanşi
GUILDWINDOW_GRADE_INVITEAUTHORITY	Poate accepta jucãtori în breaslã
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Poate compune mesaje breaslã
GUILDWINDOW_GRADE_SKILLAUTHORITY	Poate folosi abilitãşile breslei
GUILDWINDOW_INFO_LEVEL5	+5% EXP la donaşii breaslã
GUILDWINDOW_INFO_LEVEL10	A crescut nr. max. membri
GUILDWINDOW_INFO_LEVEL15	Red.: Puterea Zeului Dragon
GUILDWINDOW_INFO_LEVEL20	Bancã: Scutire de Taxe
GUILDWINDOW_INFO_LEVEL25	+10% EXP pentru clãdiri
GUILDWINDOW_INFO_LEVEL30	-10% taxã
GUILDWINDOW_INFO_LEVEL35	-15% taxã
GUILDWINDOW_INFO_LEVEL40	-20% taxã
GUILDWINDOW_INFO_LEVEL_TEXT	Nivel Breaslã %d
GUILDWINDOW_LAND_BUY	Cumpãrã Teren
GUILDWINDOW_LAND_TAX	Arendã
GUILDWINDOW_LIST_ALL	Toate Regatele
GUILDWINDOW_LIST_ALREADY_REGISTER	[Breaslã] Deja ai aplicat.
GUILDWINDOW_LIST_APPLICANT_LIST	Listã Aplicaşii
GUILDWINDOW_LIST_CHRACTER_JOB	Clasã
GUILDWINDOW_LIST_CHRACTER_LV	Nivel
GUILDWINDOW_LIST_CHRACTER_NAME	Nume Caracter
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Sub-clasã
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membru
GUILDWINDOW_LIST_GUILD_LIST	Listã Breaslã
GUILDWINDOW_LIST_GUILD_LV	Nivel
GUILDWINDOW_LIST_GUILD_NAME	Breaslã
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Breaslã] Te rugãm sã introduci un nume de breaslã.
GUILDWINDOW_LIST_LADDER	Puncte Rang
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Breaslã] Breasla nu este publicã.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aplicaşie
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Listã Breaslã
GUILDWINDOW_LIST_RANKING	Pozişie
GUILDWINDOW_LIST_RANKING_COUNT	Pozişie
GUILDWINDOW_LIST_REGISTER	Aplicaşii
GUILDWINDOW_LIST_REGISTER_GUILD	Aplicã la breaslã
GUILDWINDOW_LIST_SEARCH	Cautã
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Te rugãm alege o breaslã sã aplici.
GUILDWINDOW_PROMOTE_REFRESH	Reclamã
GUILDWINDOW_PROMOTE_REGISTER	Reclamã
GUILDWINDOW_REFUND_REDUCED_TAX	Rambursare Cost Utilizare
GUILDWINDOW_SP_RECOVER	Puterea Zeului Dragon
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Îmbunãtãşire Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Îmbunãtãşire Bancã
GUILD_ATTENDANCE_FAIL_ALREADY	Ai participat deja astãzi.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Nu poşi participa acum. Participarea se reseteazã zilnic la ora 5:00 AM.
GUILD_BANKINFO_CLOSE	Închis
GUILD_BANKINFO_NAME	Membru
GUILD_BANKINFO_TYPE	Obiect/Valoare
GUILD_BANKINFO_USETYPE	Acşiune
GUILD_BANK_CLOSE	Închis
GUILD_BANK_INFO	Log Depozit Breaslã
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Te-ai înregistrat cu succes la Bãtãlia Breslelor.
GUILD_BATTLE_AREA_INFO_TEXT	Timp rãmas: %s\nMonºtri rãmaºi (%d/61)\nAlbastru: (%s) Galben: (%s) Verde: (%s) Roºu: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Monºtrii sunt atacaşi în %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Nu poşi participa acum la Bãtãlia Breslelor, deoarece toate locurile sunt ocupate. Încearcã din nou data viitoare!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Nu poşi participa încã. Timp rãmas: %d minute.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Poşi intra doar din primul sat sau din Aria Dong Gwang.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Nu poşi gãsi un combatant potrivit pentru breasla ta. Te rugãm, încearcã din nou data viitoare.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Nu este destul loc în inventar.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Nu îndeplineºti toate cerinşele pentru a participa la Bãtãlia Breslelor.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Nu poşi intra în aceastã zonã deoarece a fost deja cuceritã de o altã breaslã.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Se poate folosi doar dupã ce zona a fost cuceritã de breasla ta.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Doar liderul breslei poate folosi acest obiect.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Nu poşi folosi Tichet Bãtãlie Breaslã.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	A fost deja folosit ºi nu poate fi folosit din nou.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Trebuie sã aºtepşi pânã când participã cel puşin alte 2 bresle.
GUILD_BATTLE_DEAD_TO_PLAYER	Ai fost ucis de un membru al breslei %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	De la %s ai primit %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Bãtãlia Breslelor începe în %d minute. Eºti înregistrat pentru a participa. Pregãteºte-te ºi aratã tot ce poşi!
GUILD_BATTLE_END_MESSAGE	Bãtãlia Breslelor s-a terminat.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Bãtãlia Breslelor se terminã în %d minute.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Ai intrat în %s. Învinge toşi monºtrii!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Intrã
GUILD_BATTLE_ENTER_MESSAGE	Vei fi înregistrat în scurt timp la Bãtãlia Breslelor.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Ai intrat în %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Eºti membrul echipei albastre. Foloseºte portalul pentru a intra în zona pentru Bãtãlia Breslelor.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Eºti membrul echipei verzi. Foloseºte portalul pentru a intra în zona pentru Bãtãlia Breslelor.
GUILD_BATTLE_ENTER_OUTPOST_RED	Eºti membrul echipei roºii. Foloseºte portalul pentru a intra în zona pentru Bãtãlia Breslelor.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Eºti membrul echipei galbene. Foloseºte portalul pentru a intra în zona pentru Bãtãlia Breslelor.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Ai primit o recompensã de breaslã. O vei gãsi în inventarul tãu.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Ai primit o recompensã de suport! Clic pe iconişa de suport pentru a afla mai multe.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Colecteazã Recompensã Breaslã
GUILD_BATTLE_LIST_REMAIN_TIME	Timp rãmas: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s a ucis %d monºtri.
